question,A,B,C,D,E,answer,explanation
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq8_1003_1.gif""/></p><p>What type of waveform is shown in the given circuit?</p></p>",Sine wave,Square wave,Triangle wave,Sawtooth wave,,C,
<p>In both induction and synchronous ac motors</p>,the operating speed is very steady,the stator magnetic field is stationary,the stator magnetic field rotates,"the ""squirrel cage"" forms the rotor",,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq8_1006_1.gif""/></p> <p>What is the peak-to-peak voltage of the waveform in the given circuit?</p></p>",2 V,4 V,6 V,8 V,,D,
<p>Most practical alternators generate electricity from</p>,a coil rotating within a magnetic field,a magnetic field rotating around fixed windings,a permanent magnet rotating within a varying electromagnetic field,none of the above,,B,
<p>A half-cycle average voltage of 12 V is equal to what rms voltage?</p>,13.33 V,8.48 V,18.84 V,7.64 V,,A,
<p>What is the instantaneous peak voltage at 250° on a 6 V peak sine wave?</p>,+5.64 V,–5.64 V,+26.13 V,–26.13 V,,B,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq8_1003_1.gif""/></p><p>Calculate the positive-going slope of the waveform in the given circuit.</p></p>",5 V/ms,2.5 V/ms,2.5 V/s,5 V/s,,B,
<p>A rectangular wave that has a duty cycle of 50% could be called a</p>,"""c"" wave",sawtooth wave,square wave,triangular wave,,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq8_1001_1.gif""/></p> <p>Calculate the duty cycle of the repetitive pulse waveform in the given circuit.</p></p>",8.33%,0%,33.33%,25%,,D,
<p>The effective value of a sine wave is equal to</p>,0.707 of peak voltage,0.636 of peak voltage,sin 45° of peak voltage,both 0.707 of peak voltage and sin 45° of peak voltage,,D,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq8_1006_1.gif""/></p> <p>What is the dc voltage of the waveform in the given circuit?</p></p>",2 V,4 V,6 V,8 V,,C,
<p>What is the fourth harmonic of a fundamental frequency of 400 Hz?</p>,100 Hz,4 kHz,4 Hz,1.6 kHz,,D,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq8_1008_1.gif""/></p><p>What is the peak voltage across R<sub>3</sub> in the given circuit?</p></p>",1.2 V,5 V,7 V,12 V,,B,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq8_1001_1.gif""/></p> <p>Which point is the trailing edge of the repetitive pulse waveform in the given circuit?</p></p>",Point A,Point B,Point C,Point D,,A,
<p>A single-phase induction motor</p>,is self-starting,operates at a fixed speed,is less reliable than a three-phase synchronous motor,none of the above,,D,
"<p>What is the average voltage when a rectangular wave's base line voltage is 20 V, its peak-to-peak voltage is 50 V, and its duty cycle is 20%?</p>",26 V,30 V,40 V,45 V,,B,
