question,A,B,C,D,E,answer,explanation
<p>A decrease in base current of a C-E amplifier causes the voltage measured between the emitter and the collector to increase.</p>,True,False,,,,A,
"<p>In this analog amplifier the input is in phase with the output.<br/><br/><img alt=""tfq12_1017_1.gif"" src=""/_files/images/basic-electronics/complete/tfq12_1017_1.gif""/></p>",True,False,,,,B,
<p>The voltage measured from the collector to the emitter is the sum of the voltage base-emitter plus the voltage collector-base.</p>,True,False,,,,A,
"<p>This is a PNP transistor.<br/><br/><img alt=""tfq12_1013_1.gif"" src=""/_files/images/basic-electronics/complete/tfq12_1013_1.gif""/></p>",True,False,,,,B,
"<p>A transistor used in a digital circuit will have two operating states, which are cutoff and saturation.</p>",True,False,,,,A,
<p>When a transistor is operating as a variable resistor it has transistance.</p>,True,False,,,,A,
"<p>In a BJT, the collector current is approximately equal to the base current.</p>",True,False,,,,B,
<p>The voltage gain of a transistor is inversely proportional to the change in output current.</p>,True,False,,,,A,
"<p>The three bipolar transistor circuit configurations are common-base, common-emitter, and emitter-follower.</p>",True,False,,,,A,
"<p>When troubleshooting a bipolar junction transistor using an ohmmeter, if one of the junctions reads low in both directions, the junction is shorted and the transistor is bad. If one of the junctions reads high in both directions, the junction is shorted and the transistor is good.</p>",True,False,,,,B,
"<p>BJTs are ""junction"" transistors because they use current-carrying P-N junctions.</p>",True,False,,,,A,
<p>The voltage measured from the collector to the emitter is the sum of the base-emitter voltage plus the collector-base voltage.</p>,True,False,,,,A,
<p>Transistors are controlled to operate as a switch or to operate as a variable resistor.</p>,True,False,,,,A,
"<p>If this circuit were used in a digital circuit, it would be a NOT gate.<br/><br/><img alt=""tfq12_1016_1.gif"" src=""/_files/images/basic-electronics/complete/tfq12_1016_1.gif""/></p>",True,False,,,,A,
<p>A common-emitter (C-E) is so called because the emitter is connected to both the input and output signals.</p>,True,False,,,,A,
<p>Current gain in a transistor is inversely proportional to collector current.</p>,True,False,,,,B,
"<p>In a common-base (C-B) amplifier, the output is 180 degrees out of phase with the input.</p>",True,False,,,,B,
"<p>A bipolar transistor has three leads: the base, collector, and emitter.</p>",True,False,,,,A,
<p>The polarity of V<sub>BE</sub> is such that it reverse biases the base-emitter junction.</p>,True,False,,,,B,
<p>With a common-collector (C-C) amplifier the input is applied to the base and the output is taken from the emitter.</p>,True,False,,,,A,
"<p>In a BJT, the collector current is approximately equal to the base current.</p>",True,False,,,,B,
