question,A,B,C,D,E,answer,explanation
<p>Breakdown voltage and pinch-off voltage of a JFET are different terms for the same voltage level.</p>,True,False,,,,B,
<p>A JFET can be either a current-controlled device or a voltage-controlled device.</p>,True,False,,,,A,
"<p>A JFET has 3 terminals: gate, drain, and source.</p>",True,False,,,,A,
<p>An enhancement-type MOSFET or E-MOSFET can be turned on when the channel is depleted.</p>,True,False,,,,B,
<p>The charge carriers in a junction field effect transistor (JFET) will flow from source to drain in a p-channel and from drain to source in an n-channel.</p>,True,False,,,,B,
"<p>In a voltage-divider JFET circuit, I<sub>D</sub> is a maximum when V<sub>GS</sub> = 0 V.</p>",True,False,,,,A,
<p>The amount of gate voltage needed to turn the JFET completely off is called V<sub>GS(OFF)</sub>.</p>,True,False,,,,A,
<p>A common-drain configured JFET is also called a source-follower.</p>,True,False,,,,A,
"<p>If the drain, source, and channel are all a p-type material, and the transistor operates in both modes, this is a p-channel E-MOSFET.</p>",True,False,,,,B,
<p>A D-MOSFET cannot be biased using zero biasing.</p>,True,False,,,,B,
<p>Breakdown voltage and pinch-off voltage of a JFET are different terms for the same voltage level.</p>,True,False,,,,B,
<p>Transconductance is also called mutual conductance.</p>,True,False,,,,A,
<p>A JFET is very similar to a BJT.</p>,True,False,,,,B,
<p>A MOSFET has an isolated gate.</p>,True,False,,,,A,
<p>The gate-biased JFET characteristic curve includes I<sub>DS</sub>.</p>,True,False,,,,B,
