question,A,B,C,D,E,answer,explanation
<p>Electricity may be generated by a wire:</p>,carrying current,wrapped as a coil,that has neutral domains,passing through a flux field,,D,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq11_1006_1.gif""/></p>
<p>In the given circuit, what will the voltage be across <i>R</i><sub>3</sub> 25 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>s after the switch is moved to position 2?</p></p>",2.88 V,5.9 V,8.34 V,14 V,,B,
<p>The electrical energy consumed by a coil is stored in the form of:</p>,an electrical field,a force field,an electrostatic field,a magnetic field,,D,
<p>What is magnetic flux?</p>,the number of lines of force in webers,the number of lines of force in maxwells,the number of lines of force in teslas,the number of lines of force in flux density,,A,
<p>As current travels within a conductor:</p>,the magnetic field aids the current,a magnetic field is developed around it,the wire tries to point north,an electrostatic field opposes the current,,B,
<p>What type of device consists of a coil with a moveable iron core?</p>,solenoid,reed switch,relay,armature,,A,
<p>What is hysteresis?</p>,lead between cause and effect,lag between cause and effect,lead between voltage and current,lag between voltage and current,,B,
"<p>In a purely inductive circuit,</p>",current leads voltage by 90°,voltage lags current by 90°,voltage leads current by 90°,voltage and current are in phase (0°),,C,
<p>A series RL filter circuit with an output across the inductor will result in what type of filtering?</p>,passing of the higher frequencies,passing of the lower frequencies,blocking of the higher frequencies,blocking of a certain range of frequencies,,A,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq11_1004_1.gif""/></p>
<p>What is the total inductance in the given circuit?</p></p>",160 mH,300 mH,900 mH,1700 mH,,A,
"<p>On a schematic, dashed lines between two vertical coils usually mean the transformer has:</p>",an air core,an iron core,a nonmetallic core,a ferrite core,,D,
<p>Faraday's law states that the:</p>,direction of the induced voltage produces an opposition,direction of an induced current produces an aiding effect,emf depends on the rate of cutting flux,emf is related to the direction of the current,,C,
<p>A henry value divided by a circuit resistive value provides the:</p>,counter emf value,induced voltage amplitude,rise or decay time constant,quality factor of the coil,,B,
<p>What does Faraday's law concern?</p>,a magnetic field in a coil,a magnetic field cutting a conductor,a magnetic field hystersis,a magnetic field in a conductor,,B,
<p>The polarity of induced voltage while a field is collapsing is:</p>,independent of the force creating it,opposite to the force creating it,identical to the force creating the field,present only if the force is stationary,,B,
<p>What is the permeability of transformer iron?</p>,50,450,"1,500","5,500",,D,
<p>Electromagnetism is the:</p>,magnetic field caused by a permanent magnet,action between a permanent and an artificial magnet,magnetic field action with a current-carrying wire,current in the coil,,C,
<p>A magnetic field has:</p>,polar fields,lines of force,magnetomotive force,lines of reluctance,,B,
<p>Which two values are plotted on a B-H curve graph?</p>,reluctance and flux density,permeability and reluctance,magnetizing force and permeability,flux density and magnetizing force,,D,
<p>What is the number of turns required in the secondary winding for a transformer when 120 volts is applied to a 2400-turn primary to produce 7.5 V<sub>ac</sub> at the secondary?</p>,75 turns,150 turns,900 turns,1920 turns,,B,
"<p>The four factors determining inductance are the number of turns, coil length, coil area, and:</p>",permeability,reluctance,counter emf,coefficient of coupling,,A,
"<p>What is the inductive reactance if the <i>Q</i> of a coil is 60, and the winding resistance is 5 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>?</p>","0.083 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","12 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","30 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","300 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>",,D,
"<p>The time difference, or lag, between flux density and magnetizing force is known as:</p>",eddy current,magnetic saturation,hysteresis,coercivity,,C,
<p>A magnetic circuit breaker will open to protect equipment only when:</p>,voltage is exceeded,an open is in the equipment,the equipment is operating properly,current is exceeded,,D,
<p>Electromagnetic induction is the generation of:</p>,electricity from magnetism,electricity from electricity,magnetism from electricity,magnetism from magnetism,,A,
<p>Inductance is:</p>,directly proportional to the length of the coil,directly proportional to the number of turns on the coil,inversely proportional to the cross-sectional area of the coil,inversely proportional to the permeability,,B,
<p>Current will cause a magnetic field in a conductor as follows:</p>,An ac current causes a fixed polarity magnetic field.,A dc current causes a fixed polarity magnetic field.,A dc current causes an alternating magnetic field.,An ac current causes a fixed polarity magnetic field and a dc current causes an alternating magnetic field.,,B,
"<p>What is the total inductance, assuming no mutual inductance?<br/><br/><img alt=""mcq8_1030_1.gif"" src=""/_files/images/basic-electronics/complete/mcq8_1030_1.gif""/></p>",12 mH,6 mH,0.73 mH,0 mH,,A,
"<p>During a current change, the ability of a conductor to produce counter emf within itself is called:</p>",back emf,self-induction,a henry,impedance,,B,
