question,A,B,C,D,E,answer,explanation
<p>The primary winding of a transformer is the side connected to the load.</p>,True,False,,,,B,
<p>An air-core inductor has a metal core.</p>,True,False,,,,B,
<p>The time constant of an inductive circuit is dependent on the circuit's resistance.</p>,True,False,,,,A,
<p>The amount of dc current that an inductor will allow to pass depends on the circuit's total resistance that is in series with it.</p>,True,False,,,,A,
<p>An inductor will boost current flow.</p>,True,False,,,,B,
<p>A step-up transformer will have a turns ratio greater than 1.</p>,True,False,,,,A,
<p>The secondary current in a transformer depends on the secondary voltage and load resistance values.</p>,True,False,,,,A,
<p>Kirchhoff's voltage law does not apply to series RL circuits.</p>,True,False,,,,B,
<p>Magnetic force is the force that produces a magnetic field.</p>,True,False,,,,A,
<p>A magnet consisting of a coil of wire wound around a soft iron or steel core is called an electromagnet.</p>,True,False,,,,A,
<p>An ideal inductor would not dissipate any energy.</p>,True,False,,,,A,
<p>Five time constants are required for current in an inductor to reach a maximum value.</p>,True,False,,,,A,
<p>The quality factor of an inductor is the ratio of inductive reactance to the winding resistance of the coil.</p>,True,False,,,,A,
"<p>In a dc circuit, the only conversion of energy to heat is in the inductance of the coil itself.</p>",True,False,,,,B,
<p>Inductance is proportional to the cross-sectional area of a coil.</p>,True,False,,,,A,
"<p>X<sub>L</sub> = 2<img align=""absmiddle"" src=""/_files/images/basic-electronics/complete/pi.gif""/>fL</p>",True,False,,,,A,
"<p>The primary and secondary are in phase.<br/><br/><img src=""/_files/images/basic-electronics/complete/tfq8_1023_1.gif""/></p>",True,False,,,,B,
<p>Lenz's law states that the current induced in a circuit due to a change in the magnetic field is so directed as to oppose the change in flux or to exert a mechanical force opposing the motion.</p>,True,False,,,,A,
"<p>The output of the secondary winding is 15 V.<br/><br/><img src=""/_files/images/basic-electronics/complete/tfq8_1021_1.gif""/></p>",True,False,,,,A,
"<p>For inductions in series, L<sub>T</sub> = L<sub>1</sub> + L<sub>2</sub> + L<sub>3</sub> +...</p>",True,False,,,,A,
<p>Maximum power will transfer across a transformer when the primary impedance equals the secondary impedance.</p>,True,False,,,,A,
<p>Increasing the inductance value in an ac inductive circuit will lower the circuit current.</p>,True,False,,,,A,
<p>A magnetic field results whenever a current flows through a conductor.</p>,True,False,,,,A,
"<p><p><img src=""/_files/images/basic-electronics/basics/tfq11_1002_1.gif""/></p>
<p>All the schematic symbols shown in the given figure are variable inductors.</p></p>",True,False,,,,B,
<p>Self-inductance is the property that causes an electromotive force to be produced in a conductor.</p>,True,False,,,,B,
"<p><p><img src=""/_files/images/basic-electronics/basics/tfq11_1004_1.gif""/></p>
<p>The total inductance in the given circuit is 0.6 mH.</p></p>",True,False,,,,A,
<p>Inductors connected in series will increase the total inductance value.</p>,True,False,,,,A,
<p>Inductors are not as versatile as capacitors.</p>,True,False,,,,A,
<p>An ac generator will produce a constant waveform.</p>,True,False,,,,B,
<p>The current through an inductor in a parallel RL circuit leads the current through the resistor.</p>,True,False,,,,A,
<p>An RL filter could be a high-pass or a low-pass filter.</p>,True,False,,,,A,
<p>Faraday's law states that the polarity of induced voltage in a coil is in opposition to the current change through that coil.</p>,True,False,,,,B,
<p>A transformer can be designed to step up or step down dc voltage.</p>,True,False,,,,B,
