question,A,B,C,D,E,answer,explanation
<p>Permeability is the inverse equivalent of which electrical term?</p>,Voltage,Current,Resistance,Conductance,,C,
<p>Which electromagnetic device uses <i><b>brushes</b></i> and a <i><b>commutator</b></i>?</p>,A speaker,A dc generator,A relay,A solenoid,,B,
<p>What is the flux density of a magnetic field whose flux is 3000 µWb and cross-sectional area is 0.25 m<sup>2</sup>?</p>,"12,000 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>T","83,330 T",0 T,More information is needed in order to find flux density.,,A,
"<p>How much flux is there in a magnetic field when its flux density is 5000 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>T and its cross-sectional area is 300 mm<sup>2</sup>?</p>",16.67 mWb,"5.0 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>Wb",3.0 mWb,"1.5 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>Wb",,D,
<p>What are the effects of moving a closed wire loop through a magnetic field?</p>,A voltage is induced in the wire.,A current is induced in the wire.,The polarity across the wire depends on the direction of motion.,All of the above,,D,
<p>The Hall effect</p>,is a phenomenon with no practical applications,is used in various sensor applications,can develop potentials of thousands of volts,is the basis for solar cell operation,,B,
"<p>""Series"" and ""parallel"" as applied to dc motors refer to</p>",the connection of the motor and controller,the connection of the field coil and armature windings,the connection of the brush and commutator,the connection of the motor batteries,,B,
<p>The component that produces power in an electromagnetic generator is called the</p>,armature,field winding,commutator,brush,,A,
<p>What is the magnetomotive force in a 150-turn coil of wire with 2 A flowing through it?</p>,13.33 mAt,300 At,75 At,152 At,,B,
<p>A Hall effect sensor</p>,exists only in theory,is a noncontacting magnetic sensor,can operate only a few times before failure,produces very large voltages,,B,
<p>Which two values are plotted on a <i>B-H</i> curve graph?</p>,Reluctance and flux density,Permeability and reluctance,Magnetizing force and permeability,Flux density and magnetizing force,,D,
<p>Which electromagnetic device has a flexible <i><b>cone</b></i>?</p>,A speaker,A dc generator,A relay,A solenoid,,A,
"<p>What is the reluctance of a material that has a length of 0.045 m, a cross-sectional area of 0.015 m<sup>2</sup>, and a permeability of 2500 µWb/At·m?</p>",833.33 µAt/Wb,0.27 At/Wb,1200 At/Wb,More information is needed in order to find the reluctance.,,C,
<p>The unit of flux density is known as</p>,magnetomotive force,a weber,a maxwell,a tesla,,D,
<p>What do you call the characteristic of a magnetic material whereby a change in magnetization lags the application of a magnetizing force?</p>,Hysteresis,Induction,Retentivity,Reluctance,,A,
<p>Which electromagnetic device has a movable iron core called a <i><b>plunger</b></i>?</p>,A speaker,A dc generator,A relay,A solenoid,,D,
<p>Which electromagnetic device contains an <i><b>armature</b></i>?</p>,A speaker,A dc generator,A relay,A solenoid,,B,
<p>The polarity of induced voltage while a field is collapsing is</p>,independent of the force creating the field,opposite to the force creating the field,identical to the force creating the field,present only if the force is stationary,,B,
