question,A,B,C,D,E,answer,explanation
<p>The unit of magnetic flux density is the <i><b>weber</b></i>.</p>,True,False,,,,B,
<p>The ability of a material to maintain a magnetized state (without the presence of a magnetizing force) is called <i><b>retentivity</b></i>.</p>,True,False,,,,A,
<p>Magnetic flux flows from the north pole to the south pole within the magnet.</p>,True,False,,,,B,
<p>The Hall voltage is the voltage created by a conductor moving through a magnetic field.</p>,True,False,,,,B,
<p>The ability of a material to maintain a magnetized state (without the presence of a magnetizing force) is called <i><b>hysteresis</b></i>.</p>,True,False,,,,B,
<p>Ferromagnetic materials have pre-existing magnetic fields.</p>,True,False,,,,B,
<p>The unit of magnetic flux is the <i><b>weber</b></i>.</p>,True,False,,,,A,
<p>A voltage is induced across a conductor if it remains absolutely stationary within a magnetic field.</p>,True,False,,,,B,
"<p><img src=""/_files/images/basic-electronics/basics/tfq7_1004_1.gif""/><br/> When the south poles of two bar magnets are brought close together, there will be a force of attraction.</p>",True,False,,,,B,
"<p><img src=""/_files/images/basic-electronics/basics/tfq7_1002_1.gif""/><br/> A magnetic field is produced around a current-carrying conductor.</p>",True,False,,,,A,
<p>A magnetic material such as iron can change the course of magnetic lines of force.</p>,True,False,,,,A,
<p>The induced emf of a conductor cutting flux lines is directly proportional to the rate of cutting.</p>,True,False,,,,A,
"<p>The magnetic field, current through the Hall element, and Hall voltage are all at right angles to each other.</p>",True,False,,,,A,
<p>The operation of an electrical generator relies on <i><b>electromagnetic induction</b></i>.</p>,True,False,,,,A,
