question,A,B,C,D,E,answer,explanation
<p>What device is similar to an RTD but has a negative temperature coefficient?</p>,Strain gauge,Thermistor,Negative-type RTD,Thermocouple,,B,
<p>The resistive change of a strain gauge</p>,"is based on the weight placed upon it, but can be many thousands of ohms","is usually no more than 100 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","is based on the gauge factor, but is typically less than an ohm",has a positive temperature coefficient,,C,
<p>The silicon-controlled rectifier can be turned off</p>,by a negative gate pulse,by forced commutation,with the off switch,when the breakover voltage is exceeded,,B,
<p>The output voltage of a typical thermocouple is</p>,less than 100 mV,greater than 1 V,"Thermocouples vary resistance, not voltage.",None of the above,,A,
<p>The connections to a thermocouple</p>,"can produce an unwanted thermocouple effect, which must be compensated for",produce an extra desirable thermocouple effect,"must be protected, since high voltages are present","produce an extra desirable thermocouple effect and must be protected, since high voltages are present",,A,
<p>What is the zero-voltage switch used for?</p>,To reduce radiation of high frequencies during turn-on of a high current to a load,To control low-voltage circuits,To provide power to a circuit when power is lost,For extremely low-voltage applications,,A,
<p>Temperature sensing can be achieved by the use of</p>,thermocouples,RTDs,thermistors,All of the above,,D,
<p>The purpose of compensation for a thermocouple is</p>,to decrease temperature sensitivity,to increase voltage output,to cancel unwanted voltage output of a thermocouple,used for high-temperature circuits,,C,
<p>The change in value of an analog signal during the conversion process produces what is called the</p>,quantization error,resolution error,Nyquist error,sampling error,,A,
<p>Which of the following performance specifications applies to a sample-and-hold circuit?</p>,Aperture time,Aperture droop,Feedback,Acquisition jitter,,A,
<p>RTDs are typically connected with other fixed resistors</p>,in a pi configuration,in a bridge configuration,and variable resistors,and capacitors in a filter-type circuit,,B,
<p>Holding current for an SCR is best described as</p>,the minimum current required for turn-off,the current required before an SCR will turn on,the amount of current required to maintain conduction,the gate current required to maintain conduction,,C,
<p>What is the moving part of a linear variable differential transformer?</p>,Primary,Secondary,Diaphragm,Core,,D,
