question,A,B,C,D,E,answer,explanation
<p>A PLL can be used as a(n) ___________.</p>,series voltage regulator,frequency multiplier,relaxation oscillator,Schmitt trigger,,B,
<p>Common-mode signals have _____.</p>,the same amplitude,the same phase,the same frequency,All of the above,,D,
<p>A circuit that has an output equal to the algebraic sum of the inputs is called a(n) ______ .</p>,integrator amplifier,summing amplifier,differential amplifier,voltage multiplier,,B,
<p>Switching voltage regulators have ______ than linear regulators.</p>,longer life,simpler circuitry,greater efficiency,lower cost,,C,
<p>A ______ is not a multivibrator.</p>,one-shot,flip-flop,VCO,bistable,,A,
<p>An op-amp circuit in which the output voltage is equal to the difference between the two input voltages is called a(n) _____</p>,integrator,differentiator,differential amplifier,voltage regulator,,C,
"<p><p><img alt=""fbq18_1007.gif"" src=""/_files/images/basic-electronics/basics/fbq18_1007.gif""/></p> <p>The feedback resistor has a value of ______ in the given circuit</p></p>","2 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","10.5 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","21 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","40 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>",,D,
"<p><p><img alt=""fbq18_1012.gif"" src=""/_files/images/basic-electronics/basics/fbq18_1012.gif""/></p><p>The input impedance is ______ for the amplifier in the given circuit. The data sheet values are Z<sub>in</sub> = 3 M<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>, Z<sub>out</sub> = 80 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>, and A<sub>ol</sub> = 250,000.</p></p>","4.7 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","22.7 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","3 M<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","68.6 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>",,A,
<p>The Q of a crystal _________.</p>,is extremely low,is about 40 or so in most cases,is extremely high,none of the above,,C,
<p>The 555 timer can be connected to operate a(n) ___________.</p>,astable multivibrator,bistable multivibrator,monostable multivibrator,astable multivibrator and a monostable multivibrator,,D,
"<p><p><img alt=""fbq18_1010.gif"" src=""/_files/images/basic-electronics/basics/fbq18_1010.gif""/></p><p>The input voltage must be ______ in the given circuit to obtain the given output voltage.</p></p>",343 mV,400 mV,480 mV,600 mV,,B,
<p>The voltage required to force the differential output to zero is called _______.</p>,input-offset current,input-offset voltage,input bias current,slew rate voltage,,B,
"<p>If the input to a comparator is a sine wave, the output is a(n) _________.</p>",ramp voltage,sine wave,sawtooth wave,rectangular wave,,D,
<p>The common-mode rejection ratio (CMMR) is the ratio of _____ to ______.</p>,"the differential voltage gain, the common-mode voltage gain","the differential power gain, the common-mode power gain","the ideal voltage gain, the actual voltage gain","signal voltage, noise voltage",,A,
"<p><p><img alt=""fbq18_1010.gif"" src=""/_files/images/basic-electronics/basics/fbq18_1010.gif""/></p><p>The voltage gain is ______ for the amplifier in the given circuit.</p></p>",–4,–5,–6,–7,,C,
"<p><p><img alt=""fbq18_1007.gif"" src=""/_files/images/basic-electronics/basics/fbq18_1007.gif""/></p> <p>The voltage gain of the amplifier in the given circuit would increase if ______.</p></p>",the feedback resistor was decreased in value,the input voltage was increased,the input resistor was increased in value,None of the above,,D,
<p>A virtual ground is a(n) ______ ground because this point is at zero volts.</p>,ordinary,voltage,chassis,earth,,B,
<p>The resistors <i>R<sub>f</sub></i> and <i>R<sub>i</sub></i> in an op-amp circuit control ______ .</p>,positive feedback and current gain,negative feedback and power gain,negative feedback and voltage gain,open and closed loop gain,,C,
<p>______ is NOT a characteristic of an ideal op-amp.</p>,Infinite voltage gain,Minimum bandwidth,Infinite input impedance,Zero output impedance,,B,
<p>Current cannot flow to ground through a(n) ________.</p>,mechanical ground,ac ground,virtual ground,virtual short,,C,
"<p><p><img alt=""fbq18_1007.gif"" src=""/_files/images/basic-electronics/basics/fbq18_1007.gif""/></p> <p>The given circuit is ___.</p></p>",an inverting amplifier,a noninverting amplifier,a voltage follower,a differential amplifier,,B,
"<p>An oscillator whose frequency can be controlled by an input ""control voltage"" is called a(n) ______ .</p>",PLL,Schmitt trigger,VCO,S-R latch,,C,
