question,A,B,C,D,E,answer,explanation
<p>An ideal operational amplifier has</p>,infinite output impedance,zero input impedance,infinite bandwidth,All of the above,,C,
<p>Another name for a unity gain amplifier is:</p>,difference amplifier,comparator,single ended,voltage follower,,D,
<p>The open-loop voltage gain (<i>A<sub>ol</sub></i>) of an op-amp is the</p>,external voltage gain the device is capable of,internal voltage gain the device is capable of,most controlled parameter,same as <i>A<sub>cl</sub></i>,,B,
"<p>What is the output waveform?<br/><br/><img src=""/_files/images/basic-electronics/complete/mcq15_1016_1.gif""/></p>",sine wave,square wave,sawtooth wave,triangle wave,,D,
<p>A series dissipative regulator is an example of a:</p>,linear regulator,switching regulator,shunt regulator,dc-to-dc converter,,A,
"<p>What is this circuit?<br/><br/><img src=""/_files/images/basic-electronics/complete/mcq15_1017_1.gif""/></p>",a low-pass filter,a high-pass filter,a bandpass filter,a band-stop filter,,D,
<p>A noninverting closed-loop op-amp circuit generally has a gain factor:</p>,less than one,greater than one,of zero,equal to one,,B,
"<p>In order for an output to swing above and below a zero reference, the op-amp circuit requires:</p>",a resistive feedback network,zero offset,a wide bandwidth,a negative and positive supply,,D,
<p>Op-amps used as high- and low-pass filter circuits employ which configuration?</p>,noninverting,comparator,open-loop,inverting,,D,
"<p><p><img alt=""mcq18_1012.gif"" src=""/_files/images/basic-electronics/basics/mcq18_1012.gif""/></p><p>Decreasing the gain in the given circuit could be achieved by</p></p>",reducing the amplitude of the input voltage,increasing the value of the feedback resistor,increasing the value of the input resistor,removing the feedback resistor,,C,
"<p>If ground is applied to the (+) terminal of an inverting op-amp, the (–) terminal will:</p>",not need an input resistor,be virtual ground,have high reverse current,not invert the signal,,B,
<p>An astable multivibrator is also known as a:</p>,one-shot multivibrator,free-running multivibrator,bistable multivibrator,monostable multivibrator,,B,
"<p>With negative feedback, the returning signal:</p>",aids the input signal,is proportional to output current,opposes the input signal,is proportional to differential voltage gain,,C,
<p>What starts a free-running multivibrator?</p>,a trigger,an input signal,an external circuit,nothing,,D,
<p>A portion of the output that provides circuit stabilization is considered to be:</p>,negative feedback,distortion,open-loop,positive feedback,,A,
<p>How many leads does the TO-5 metal can package of an operational amplifier have?</p>,"8, 10, or 12","6, 8, or 10",8 or 14,8 or 16,,A,
"<p>If a noninverting amplifier has an R<sub>IN</sub> of 1000 ohms and an R<sub>FB</sub> of 2.5 kilohms, what is the R<sub>IN</sub> voltage when 1.42 mV is applied to the correct input?</p>",3.5 mV,ground,1.42 mV,0.56 mV,,C,
<p>Input impedance [<i>Z<sub>in</sub></i>(I)] of an inverting amplifier is approximately equal to:</p>,<i>R<sub>i</sub></i>,<i>R<sub>f</sub></i> + <i>R<sub>i</sub></i>,"<font size=""4"">∞</font>",<i>R<sub>f</sub></i> – <i>R<sub>i</sub></i>,,A,
<p>The closed-loop voltage gain of an inverting amplifier equals:</p>,the ratio of the input resistance to the feedback resistance,the open-loop voltage gain,the feedback resistance divided by the input resistance,the input resistance,,C,
"<p>What is the cutoff frequency of this low-pass filter?<br/><br/><img src=""/_files/images/basic-electronics/complete/mcq15_1018_1.gif""/></p>",4.8 kHz,3.8 kHz,2.8 kHz,1.8 kHz,,D,
<p>All of the following are basic op-amp input modes of operation EXCEPT</p>,inverting mode,common-mode,double-ended,single-ended,,A,
"<p>What is the output voltage?<br/><br/><img src=""/_files/images/basic-electronics/complete/mcq15_1014_1.gif""/></p>",15 V,5 V,–5 V,–15 V,,C,
<p>A circuit whose output is proportional to the difference between the input signals is considered to be which type of amplifier?</p>,common-mode,darlington,differential,operational,,C,
"<p>With negative feedback, the returning signal</p>",is proportional to the output current,is proportional to the differential voltage gain,opposes the input signal,aids the input signal,,C,
"<p>What is the output waveform?<br/><br/><img src=""/_files/images/basic-electronics/complete/mcq15_1015_1.gif""/></p>",sine wave,square wave,+15 V,–15 V,,A,
<p>The voltage follower has a:</p>,closed-loop voltage gain of unity,small open-loop voltage gain,closed-loop bandwidth of zero,large closed-loop output impedance,,A,
"<p>What is the output waveform of the circuit?<br/><br/><img src=""/_files/images/basic-electronics/complete/mcq15_1013_1.gif""/></p>",sine wave,square wave,sawtooth wave,triangle wave,,B,
<p>The ratio between differential gain and common-mode gain is called:</p>,amplitude,differential-mode rejection,common-mode rejection,phase,,C,
"<p>What is the frequency of this 555 astable multivibrator?<br/><br/><img alt=""mcq15_1038_1.gif"" src=""/_files/images/basic-electronics/complete/mcq15_1038_1.gif""/></p>",278 Hz,178 Hz,78 Hz,8 Hz,,B,
"<p>If the gain of a closed-loop inverting amplifier is 3.9, with an input resistor value of 1.6 kilohms, what value of feedback resistor is necessary?</p>",6240 ohms,2.4 kilohms,410 ohms,0.62 kilohms,,A,
"<p>In an open-loop op-amp circuit, whenever the inverting input (–) is negative relative to the noninverting input (+), the output will:</p>",swing negative,close the loop,be balanced,swing positive,,D,
"<p>With a differential gain of 50,000 and a common-mode gain of 2, what is the common-mode rejection ratio?</p>",–87.9 dB,–43.9 dB,43.9 dB,87.9 dB,,D,
"<p>If the input to a comparator is a sine wave, the output is a:</p>",ramp voltage,sine wave,rectangular wave,sawtooth wave,,C,
<p>What three subcircuits does a phase locked loop (PLL) consist of?</p>,"phase comparator, comparator, and VCO","phase comparator, bandpass filter, and VCO","phase comparator, bandpass filter, and demodulator","phase comparator, low-pass filter, and VCO",,D,
<p>The major difference between ground and virtual ground is that virtual ground is only a:</p>,voltage reference,current reference,power reference,difference reference,,A,
"<p>If an op-amp has one input grounded and the other input has a signal feed to it, then it is operating as what?</p>",Common-mode,Single-ended,Double-ended,Noninverting mode,,B,
"<p>If the feedback/input resistor ratio of a feedback amplifier is 4.6 with 1.7 V applied to the noninverting input, what is the output voltage value?</p>",7.82 V,saturation,cutoff,9.52 V,,D,
<p>The Schmitt trigger is a two-state device that is used for:</p>,pulse shaping,peak detection,input noise rejection,filtering,,A,
"<p>When a capacitor is used in place of a resistor in an op-amp network, its placement determines:</p>",open- or closed-loop gain,integration or differentiation,saturation or cutoff,addition or subtraction,,B,
"<p><p><img alt=""mcq18_1012.gif"" src=""/_files/images/basic-electronics/basics/mcq18_1012.gif""/></p><p>What value of input resistance is needed in the given circuit to produce the given output voltage?</p></p>","50 <img alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","4 k<img alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","4.08 k<img alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","5 k<img alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>",,B,
<p>The common-mode voltage gain is</p>,smaller than differential voltage gain,equal to voltage gain,greater than differential voltage gain,None of the above,,A,
<p>How many logic states does an S-R flip-flop have?</p>,2,3,4,5,,C,
<p>An output that is proportional to the addition of two or more inputs is from which type of amplifier?</p>,differentiator,difference,summing,analog subtractor,,C,
"<p>In a PLL, to obtain lock, the signal frequency must:</p>",come within the lock range,be less than the capture frequency,come within the capture range,be greater than the capture frequency,,C,
<p>An ideal amplifier should have:</p>,high input current,zero offset,high output impedance,moderate gain,,B,
<p>A differential amplifier has a common-mode gain of 0.2 and a common-mode rejection ratio of 3250. What would the output voltage be if the single-ended input voltage was 7 mV rms?</p>,1.4 mV rms,650 mV rms,4.55 V rms,0.455 V rms,,C,
<p>The magnitude of closed-loop voltage gain (<i>A<sub>cl</sub></i>) of an inverting amplifier equals:</p>,the ratio of the input resistance to the feedback resistance,the open-loop voltage gain <i>A<sub>ol</sub></i>,the feedback resistance divided by the input resistance,the input resistance,,C,
<p>What is the difference between common-mode and differential-mode input signals?</p>,phase relationship,voltage,current,apparent power,,A,
<p>A circuit that uses an amplifier with passive filter elements is called a(n):</p>,relaxation oscillator,signal generator,differential amplifier,active filter,,D,
<p>The input offset current equals the</p>,average of two base currents,collector current divided by the current gain,difference between two base-emitter voltages,difference between two base currents,,D,
