question,A,B,C,D,E,answer,explanation
<p>Feedback is used in an open-loop operational amplifier circuit.</p>,True,False,,,,B,
"<p>This circuit is operating in a closed-loop mode.<br/><br/><img src=""/_files/images/basic-electronics/complete/tfq15_1014_1.gif""/></p>",True,False,,,,B,
"<p>This circuit is a bandpass filter.<br/><br/><img src=""/_files/images/basic-electronics/complete/tfq15_1018_1.gif""/></p>",True,False,,,,A,
"<p>This circuit is a voltage follower.<br/><br/><img src=""/_files/images/basic-electronics/complete/tfq15_1015_1.gif""/></p>",True,False,,,,B,
"<p>If the two inputs to a differential amplifier are exactly the same, then the output is the signal multiplied by two.</p>",True,False,,,,B,
"<p>A virtual ground is a ground for current, but not for voltage.</p>",True,False,,,,B,
<p>An op-amp has very low open-loop gain.</p>,True,False,,,,B,
"<p>If an input signal is applied to the inverting input of an op-amp with the noninverting input grounded, the output signal would be opposite in polarity with the input.</p>",True,False,,,,A,
<p>The TO-5 operational amplifier package can have 5 pins.</p>,True,False,,,,B,
<p>Operational amplifiers (op-amps) use internal capacitive coupling between stages.</p>,True,False,,,,B,
"<p>An operational amplifier contains a differential amplifier, a voltage amplifier, and an output amplifier.</p>",True,False,,,,A,
"<p>If an input signal is applied to the inverting input of an op-amp with the noninverting input grounded, the output signal would be opposite in polarity to the input.</p>",True,False,,,,A,
"<p>The inverting input is pin 2.<br/><br/><img src=""/_files/images/basic-electronics/complete/tfq15_1010_1.gif""/></p>",True,False,,,,A,
<p>An S-R flip-flop is an example of a bistable multivibrator circuit.</p>,True,False,,,,A,
"<p>The ideal output impedance for an <b><i>operational amplifier</i></b> is 0 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>.</p>",True,False,,,,A,
<p>Current actually flows into or out of a <b><i>virtual ground</i></b>.</p>,True,False,,,,B,
<p>A voltage-follower op-amp has the output connected directly to the inverting input.</p>,True,False,,,,A,
<p>The frequency of a crystal is dependent on how much voltage is applied to activate it.</p>,True,False,,,,B,
"<p>If the two inputs to a differential amplifier are exactly the same, then the output is the signal multiplied by 2.</p>",True,False,,,,B,
<p>An <b><i>inverting amplifier</i></b> has a phase shift of 180° from input to output.</p>,True,False,,,,A,
<p>The feedback resistor adds to the gain of an op-amp.</p>,True,False,,,,B,
<p>A 555 timer can be configured as an astable multivibrator.</p>,True,False,,,,A,
<p>A monostable multivibrator must be triggered.</p>,True,False,,,,A,
<p>The <b><i>voltage-follower</i></b> amplifier circuit has a fixed voltage gain of approximately 10.</p>,True,False,,,,B,
<p>An astable multivibrator has two states.</p>,True,False,,,,A,
<p>If the frequency of an astable multivibrator is 54.86 kHz then its period is 1.82 s.</p>,True,False,,,,B,
<p>An open feedback resistor in an inverting or noninverting op-amp circuit can cause severe clipping of the output signal.</p>,True,False,,,,A,
"<p>It takes 4 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>s for the output voltage of an op-amp to rise from –14 V to +14 V. The <b><i>slew rate </i></b>of this op-amp is 3.5 V/<img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>s.</p>",True,False,,,,B,
<p>The difference between the upper and lower trigger points is called the Schmitt trigger.</p>,True,False,,,,B,
<p>Changing the input voltage to an op-amp circuit will change its voltage gain.</p>,True,False,,,,B,
"<p>This circuit is a differentiator.<br/><br/><img src=""/_files/images/basic-electronics/complete/tfq15_1017_1.gif""/></p>",True,False,,,,A,
<p>Crystal oscillator circuits have a very low Q.</p>,True,False,,,,B,
"<p>In a common-mode input to an op-amp, both inputs are connected to the same signal source.</p>",True,False,,,,A,
