question,A,B,C,D,E,answer,explanation
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq12_1004_1.gif""/></p><p>If the resistance is larger than the inductive reactance in the given circuit, the phase angle is _______.</p></p>",less than 0°,between 0° and 45°,between 45° and 0°,greater than 90°,,B,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq12_1006_1.gif""/></p><p>The phase angle in the circuit in the given circuit is approximately equal to ______.</p></p>",53°,90°,37°,0°,,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq12_1001_1.gif""/></p><p>If V<sub>S</sub> increases in the given circuit, then the _____.</p></p>",impedance increases,real power decreases,phase angle increases,current increases,,D,
<p>The frequency at which <i>X<sub>L</sub></i> = <i>R</i> in an <i>RL</i> circuit is called the _______________.</p>,cutoff frequency,optimum frequency,bandwidth characteristic,resonant frequency,,A,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq12_1001_1.gif""/></p><p>In  the given circuit, I<sub>T</sub> equals _____.</p></p>",0.5 A,2 A,1.5 A,2.5 A,,D,
"<p>The impedance of a series circuit when <i>R</i> = 15 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/> and <i>X<sub>L</sub></i> = 10 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/> is approximately equal to ________.</p>","5 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","6 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","18 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","25 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>",,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq12_1009_1.gif""/></p><p>The given circuit is a _______.</p></p>",low-pass filter,high-pass filter,band-pass filter,band-stop filter,,A,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq12_1001_1.gif""/></p><p>If the frequency decreases in the given circuit, then _____.</p></p>",<i>I</i><sub>T</sub> decreases,<i>I</i><sub><i>R</i></sub> increases,<i>I</i><sub><i>L</i></sub> increases,none of the currents will change,,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq12_1009_1.gif""/></p><p>The cutoff frequency of the circuit in the given circuit is approximately equal to _____.</p></p>",21 Hz,60 Hz,0 Hz,365 Hz,,D,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq12_1004_1.gif""/></p><p>In the circuit given is, _____.</p></p>",<i>V</i><sub><i>R</i></sub> leads V<sub><i>L</i></sub>,<i>V</i><sub><i>R</i></sub> lags V<sub><i>L</i></sub>,<i>V</i><sub><i>R</i></sub> is in phase with V<sub><i>L</i></sub>,"<i>V</i><sub><i>R</i></sub>, <i>V</i><sub><i>L</i></sub>, and <i>V</i><sub>S</sub> are all in phase",,A,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq12_1006_1.gif""/></p><p>The voltage dropped across the resistor in the circuit in the given circuit is approximately equal to ___.</p></p>",5 V,10 V,7.98 V,6.02 V,,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq12_1006_1.gif""/></p><p>The impedance of the circuit in the given circuit is approximately equal to _____.</p></p>","2 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","750 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","1.25 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","1 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>",,C,
