question,A,B,C,D,E,answer,explanation
"<p>What is the applied voltage for a series RLC circuit when I<sub>T</sub> = 3 mA, V<sub>L</sub> = 30 V, V<sub>C</sub> = 18 V, and R = 1000 ohms?</p>",3.00 V,12.37 V,34.98 V,48.00 V,,B,
"<p>What is the bandwidth of the circuit?<br/><br/><img src=""/_files/images/basic-electronics/complete/mcq9_1013_1.gif""/></p>",31.8 Hz,32.3 Hz,142 Hz,7.2 kHz,,A,
"<p>In a parallel RLC circuit, which value may always be used as a vector reference?</p>",current,reactance,resistance,voltage,,D,
"<p>How much current will flow in a 100 Hz series RLC circuit if V<sub>S</sub> = 20 V, R<sub>T</sub> = 66 ohms, and X<sub>T</sub> = 47 ohms?</p>",1.05 A,303 mA,247 mA,107 mA,,C,
"<p>What is the Q (Quality factor) of a series circuit that resonates at 6 kHz, has equal reactance of 4 kilo-ohms each, and a resistor value of 50 ohms?</p>",0.001,50,80,4.0,,C,
<p>What is the range between <i>f</i><sub>1</sub> and <i>f</i><sub>2</sub> of an <i>RLC</i> circuit that resonates at 150 kHz and has a <i>Q</i> of 30?</p>,100.0 kHz to 155.0 kHz,147.5 kHz to 152.5 kHz,4500 kHz to 295.5 kHz,"149,970 Hz to 150,030 Hz",,B,
"<p>What is the quality factor?<br/><br/><img src=""/_files/images/basic-electronics/complete/mcq9_1012_1.gif""/></p>",999,223,2.2,0.99,,C,
<p>What effect will a parallel tank have upon final filter current?</p>,very little,The bandpass frequencies will change.,The frequency cutoff will change.,The impedance will block output.,,A,
"<p>What is the total current?<br/><br/><img src=""/_files/images/basic-electronics/complete/mcq9_1008_1.gif""/></p>",56.6 mA,141 mA,191 mA,244 mA,,B,
<p>When a parallel circuit resonates it is said to:</p>,flywheel,oscillate,both of the above,none of the above,,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq13_1008.gif""/></p><p>What is the resonant frequency in the given circuit?</p></p>",11.6 Hz,275.8 Hz,1.5 kHz,3.2 kHz,,D,
<p>Series RLC voltage or impedance totals must be calculated by:</p>,subtracting the values,graphing the angles,adding vectors,multiplying the values,,C,
"<p>What is the total current?<br/><br/><img src=""/_files/images/basic-electronics/complete/mcq9_1006_1.gif""/></p>",15.6 mA,17.8 mA,21.9 mA,26.0 mA,,A,
<p>When X<sub>C</sub> = X<sub>L</sub> the circuit:</p>,draws maximum current,applied voltage is zero,is at resonance,draws minimum current,,C,
"<p>How much current will flow in a series <i>RLC</i> circuit when <i>V</i><sub>T</sub> = 100 V, <i>X<sub>L</sub></i> = 160 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>, <i>X<sub>C</sub></i> = 80 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>, and <i>R</i> = 60 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>?</p>",1 A,1 mA,6.28 A,10 A,,A,
"<p>When a full band of frequencies is allowed to pass through a filter circuit to the output, the resonant circuit is called a:</p>",low-pass filter,high-pass filter,band-stop filter,bandpass filter,,D,
"<p>At resonance, the term bandwidth includes all frequencies that allow what percentage of maximum current to flow?</p>",50,62.3,70.7,95.3,,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq13_1002.gif""/></p> <p>What is the voltage across the capacitor in the given circuit?</p></p>",6.8 V,11.9 V,16.1 V,22.9 V,,D,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq13_1006.gif""/></p> <p>What is the impedance of the circuit in the given circuit?</p></p>","1.05 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","1.33 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","2.19 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>","3.39 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>",,A,
<p>In a series RLC circuit the current can be found using:</p>,"<img align=""absmiddle"" src=""/_files/images/basic-electronics/complete/mca9_1001a1.gif""/>","<img align=""absmiddle"" src=""/_files/images/basic-electronics/complete/mca9_1001b1.gif""/>",both of the above,none of the above,,C,
<p>What is the true power consumed in a 30 V series RLC circuit if Z = 20 ohms and R = 10 ohms?</p>,15.0 watts,22.5 watts,30.0 watts,45.0 watts,,B,
"<p>What is the current phase angle for a parallel RLC circuit when I<sub>L</sub> = 15.3 A, I<sub>C</sub> = 0.43 A, and I<sub>R</sub> = 3.5 A?</p>",76.7 degrees,–4.25 degrees,88.8 degrees,–76.7 degrees,,D,
"<p>At any resonant frequency, what voltage is measured across the two series reactive components?</p>",applied,reactive,zero,inductive and capacitive,,C,
