question,A,B,C,D,E,answer,explanation
<p>A 12-volt battery is delivering 3 amperes to a resistor. The power dissipated by the resistor is 4 watts.</p>,True,False,,,,B,
<p>Resistance limits the flow of current.</p>,True,False,,,,A,
"<p>If 500 mA is flowing through a 10 <img align=""absmiddle"" src=""/_files/images/basic-electronics/complete/omega.gif""/> resistor, the wattage rating of the resistor should be 2 watts.</p>",True,False,,,,B,
<p>A digital voltmeter can be used to measure resistance.</p>,True,False,,,,A,
<p>Carbon composition resistors are the most common and the least expensive type of fixed-value resistor.</p>,True,False,,,,A,
"<p>In a resistive circuit, if the voltage increases, the current will increase.</p>",True,False,,,,A,
"<p>A 2% 55 k<img align=""absmiddle"" src=""/_files/images/basic-electronics/complete/omega.gif""/> resistor would have a color coding of green, green, black, red, red.</p>",True,False,,,,A,
<p>The resistive track of a rheostat or potentiometer can be classified as having either a linear or tapered resistance.</p>,True,False,,,,A,
<p>Resistance is inversely proportional to current.</p>,True,False,,,,A,
<p>A rheostat is not a type of variable resistor.</p>,True,False,,,,B,
<p>Resistivity is measured in cmil.Ω/ft.</p>,True,False,,,,A,
<p>A load resistance is the resistance of the load.</p>,True,False,,,,A,
<p>Variable resistors have problems with the wiper making contact.</p>,True,False,,,,A,
<p>The maximum potential a material can withstand without rupture is called breakdown voltage.</p>,True,False,,,,B,
<p>The cross-sectional area of a conductor is one factor that determines the conductor's resistance to current.</p>,True,False,,,,A,
<p>An ohmmeter uses an internal battery to measure the resistance of a resistor.</p>,True,False,,,,A,
<p>A protoboard is used to make experimental circuits.</p>,True,False,,,,A,
<p>One horsepower is 746 watts.</p>,True,False,,,,A,
<p>Fixed-value resistors can internally short-circuit.</p>,True,False,,,,B,
"<p>A resistor with a value of 9.9 k<img align=""absmiddle"" src=""/_files/images/basic-electronics/complete/omega.gif""/> <img align=""absmiddle"" src=""/_files/images/basic-electronics/complete/plusminus.gif""/> 10% could have a value between 8.91 k<img align=""absmiddle"" src=""/_files/images/basic-electronics/complete/omega.gif""/> and 10.89 k<img align=""absmiddle"" src=""/_files/images/basic-electronics/complete/omega.gif""/>.</p>",True,False,,,,A,
"<p>4 amperes will flow through a 10 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/complete/omega.gif""/> resistor if 20 volts are placed across the resistor.</p>",True,False,,,,B,
