question,A,B,C,D,E,answer,explanation
<p>A computerized self-diagnostic for a ROM test uses:</p>,the check-sum method,a ROM listing,ROM comparisons,a checkerboard test,,A,
<p>How many storage locations are available when a memory device has twelve address lines?</p>,144,512,2048,4096,,D,
<p>Which of the following memories uses a MOSFET and a capacitor as its memory cell?</p>,SRAM,DRAM,ROM,DROM,,B,
<p>Which of the following best describes nonvolatile memory?</p>,memory that retains stored information when electrical power is removed,memory that loses stored information when electrical power is removed,magnetic memory,nonmagnetic memory,,A,
<p>The access time (t<sub>acc</sub>) of a memory IC is governed by the IC's:</p>,internal address buffer,internal address decoder,volatility,internal address decoder and volatility,,B,
<p>Select the best description of read-only memory (ROM).</p>,"nonvolatile, used to store information that changes during system operation","nonvolatile, used to store information that does not change during system operation","volatile, used to store information that changes during system operation","volatile, used to store information that does not change during system operation",,B,
<p>Advantage(s) of an EEPROM over an EPROM is (are):</p>,the EPROM can be erased with ultraviolet light in much less time than an EEPROM,the EEPROM can be erased and reprogrammed without removal from the circuit,the EEPROM has the ability to erase and reprogram individual words,the EEPROM can erase and reprogram individual words without removal from the circuit,,D,
<p>Which of the following RAM timing parameters determine(s) its operating speed?</p>,t<sub>acc</sub>,t<sub>aa</sub> and t<sub>acs</sub>,t<sub>1</sub> and t<sub>3</sub>,t<sub>rc </sub>and t<sub>wc</sub>,,C,
<p>Memory that loses its contents when power is lost is:</p>,nonvolatile,volatile,random,static,,B,
<p>Select the best description of the fusible-link PROM.</p>,"user programmable, one-time programmable","manufacturer programmable, one-time programmable","user programmable, reprogrammable","manufacturer programmable, reprogrammable",,A,
"<p>A nonvolatile type of memory that can be programmed and erased in sectors, rather than one byte at a time is:</p>",flash memory,EPROM,EEPROM,MPROM,,A,
<p>Which of the following best describes static memory devices?</p>,memory devices that are magnetic in nature and do not require constant refreshing,semiconductor memory devices in which stored data is retained as long as power is applied,memory devices that are magnetic in nature and require constant refreshing,semiconductor memory devices in which stored data will not be retained with the power applied unless constantly refreshed,,B,
<p>What is the principal advantage of using address multiplexing with DRAM memory?</p>,reduced memory access time,reduced requirement for constant refreshing of the memory contents,reduced pin count and decrease in package size,"no requirement for a chip-select input line, thereby reducing the pin count",,C,
