question,A,B,C,D,E,answer,explanation
<p>The total resistance of a series circuit is equal to the average of all the resistance values.</p>,True,False,,,,B,
<p>The total resistance of a series circuit always depends on the highest value resistor in that circuit.</p>,True,False,,,,B,
"<p><img src=""/_files/images/basic-electronics/basics/tfq4_1004_1.gif""/><br/> If four 9 V batteries are connected <b><i>series-aiding</i></b>, the total voltage is 36 V.</p>",True,False,,,,A,
"<p>The total resistance is 35 <img src=""/_files/images/basic-electronics/complete/omega.gif""/>.<br/><br/><img src=""/_files/images/basic-electronics/complete/tfq3_1006_1.gif""/></p>",True,False,,,,A,
"<p>These components are in series.<br/><br/><img src=""/_files/images/basic-electronics/complete/tfq3_1003_1.gif""/></p>",True,False,,,,A,
"<p>In a series circuit, larger resistances drop larger voltages.</p>",True,False,,,,A,
"<p>To find the total resistance in series, add the individual resistances.</p>",True,False,,,,A,
<p>An open in a series circuit will cause maximum voltage across the power supply terminals.</p>,True,False,,,,A,
<p>A short in a series circuit causes the total circuit current to decrease.</p>,True,False,,,,B,
<p>Voltage sources are added when they are <b><i>series-opposing</i></b>.</p>,True,False,,,,B,
<p>The total power dissipated in a series resistive circuit exceeds the sum of the resistor powers.</p>,True,False,,,,B,
<p>A series circuit provides only one path for current between two points.</p>,True,False,,,,A,
"<p>Using a voltage divider the voltage across R1 is 10 V, R2 is 15 V, and R3 is 30 V.<br/><br/><img src=""/_files/images/basic-electronics/complete/tfq3_1009_1.gif""/></p>",True,False,,,,B,
"<p>If 7.3 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>, 1.8 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>, and 4.9 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/> resistors are wired in series, the total resistance is 14 k<img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/>.</p>",True,False,,,,A,
<p>The sum of the voltage drops across series resistors must equal the total voltage applied.</p>,True,False,,,,A,
<p>The sum of all the voltage drops in a series circuit equals the source voltage.</p>,True,False,,,,A,
"<p>To find the total current in series, add the individual currents.</p>",True,False,,,,B,
<p><b><i>Ground</i></b> is the reference point from which voltages are measured in an electronic circuit.</p>,True,False,,,,A,
"<p>The voltage across R1 is 10 volts.<br/><br/><img src=""/_files/images/basic-electronics/complete/tfq3_1008_1.gif""/></p>",True,False,,,,B,
"<p>In a series circuit, the current flowing out of a resistor won't always equal the current flowing into that resistor.</p>",True,False,,,,B,
"<p>As additional resistors are added to a series circuit, the total circuit resistance increases.</p>",True,False,,,,A,
