question,A,B,C,D,E,answer,explanation
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq15_1003_1.gif""/></p><p>The output voltage in the given circuit is _____ at the end of the second pulse.</p></p>",1.06 V,7.56 V,3.32 V,12 V,,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq15_1007_1.gif""/></p><p>It takes ______ for the output voltage in the given circuit to reach its maximum value.</p></p>",0 s,"243.9 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>s",1 ms,1.22 ms,,D,
"<p>For a capacitor to completely charge in an <i>RC</i> integrator, the pulse width must be _____ 5 time constants.</p>",less than,greater than,equal to,greater than or equal to,,D,
<p>The _____ is the time it takes for a capacitor to fully charge or discharge.</p>,transient time,pulse response,time constant,steady state,,A,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq15_1005_1.gif""/></p><p>After the rising edge of the input pulse occurs, it takes ______ for the voltage across the resistor to decrease to zero in the given circuit.</p></p>",0 s,"68 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>s","340 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>s","500 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>s",,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq15_1003_1.gif""/></p><p>The voltage across the capacitor in the given circuit is _______ at the beginning of the second pulse. Assume the capacitor is initially uncharged.</p></p>",0 V,427.74 mV,2.8 V,7.56 V,,B,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq15_1005_1.gif""/></p><p>If the pulse width were cut in half in the given circuit, the voltage across the resistor would be ______ at the end of the pulse.</p></p>",0 V,0.36 V,0.46 V,0.9 V,,C,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq15_1007_1.gif""/></p><p>If the pulse source has an internal resistance of 80 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/> in the given circuit, it will take ______ for the output voltage to decrease to zero.</p></p>",1 ms,1.1 ms,1.2 ms,2.5 ms,,B,
<p>A(n) _____ will decrease the time constant in an <i>RC</i> integrator or differentiator.</p>,open resistor,open capacitor,shorted capacitor,leaky capacitor<br/><br/><br/>,,D,
"<p><p><img src=""/_files/images/basic-electronics/basics/fbq15_1007_1.gif""/></p><p>If the component positions were switched in the given circuit, the circuit would be an ______.</p></p>",<i>RL</i> differentiator,<i>RC</i> differentiator,<i>RL</i> integrator,<i>RC</i> integrator,,A,
