question,A,B,C,D,E,answer,explanation
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq15_1002.gif""/></p><p>What voltage will the capacitor charge up to in the given circuit for the single input pulse shown?</p></p>",3.15 V,4.3 V,4.75 V,4.9 V,,B,
"<p>If a periodic pulse waveform is applied to an <i>RC</i> differentiating circuit, which two conditions are possible?</p>","<i>t<sub>w</sub></i> <img align=""absmiddle"" alt=""greaterthanorequalto.gif"" src=""/_files/images/basic-electronics/basics/greaterthanorequalto.gif""/> 5<img align=""absmiddle"" alt=""tau.gif"" src=""/_files/images/basic-electronics/basics/tau.gif""/> or <i>t<sub>w</sub></i> &gt; 5<img align=""absmiddle"" alt=""tau.gif"" src=""/_files/images/basic-electronics/basics/tau.gif""/>","<i>t<sub>w</sub></i> = 5<img align=""absmiddle"" alt=""tau.gif"" src=""/_files/images/basic-electronics/basics/tau.gif""/> or <i>t<sub>w</sub></i> &gt; 5<img align=""absmiddle"" alt=""tau.gif"" src=""/_files/images/basic-electronics/basics/tau.gif""/>","<i>t<sub>w</sub></i> <img align=""absmiddle"" alt=""lessthanorequalto.gif"" src=""/_files/images/basic-electronics/basics/lessthanorequalto.gif""/> 5<img align=""absmiddle"" alt=""tau.gif"" src=""/_files/images/basic-electronics/basics/tau.gif""/> or <i>t<sub>w</sub></i> &lt; 5<img align=""absmiddle"" alt=""tau.gif"" src=""/_files/images/basic-electronics/basics/tau.gif""/>","<i>t<sub>w</sub></i> <img align=""absmiddle"" alt=""greaterthanorequalto.gif"" src=""/_files/images/basic-electronics/basics/greaterthanorequalto.gif""/> 5<img align=""absmiddle"" alt=""tau.gif"" src=""/_files/images/basic-electronics/basics/tau.gif""/> or <i>t<sub>w</sub></i> &lt; 5<img align=""absmiddle"" alt=""tau.gif"" src=""/_files/images/basic-electronics/basics/tau.gif""/>",,D,
"<p>An <i>RL</i> integrator and an <i>RC</i> differentiator can act as what types of filters, respectively?</p>","low-pass, low-pass","low-pass, high-pass","high-pass, high-pass","high-pass, low-pass",,B,
"<p>In a repetitive-pulse <i>RC</i> integrator circuit, what would the steady-state voltage equal at the end of the fifth pulse? Assume a <i>V</i><sub><i>in</i></sub> of 20 V.</p>",1.46 V,14.62 V,20 V,0 V,,B,
<p>What is a circuit that produces short-duration spikes?</p>,A trigger pulse generator,An RL integrator,A timing circuit<br/>,A pulse waveform-to-dc converter,,A,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq15_1005.gif""/></p><p>In the given circuit, what must the pulse width and time between pulses be to allow the capacitor to completely charge by the end of each pulse and to completely discharge between each pulse?</p></p>","940 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>s",2.82 ms,3.76 ms,4.7 ms,,D,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq15_1002.gif""/></p><p>The given circuit is an</p></p>",RL integrator,RC differentiator,RL differentiator,RC integrator,,D,
<p>Which of the following is true for a capacitor?</p>,A capacitor acts like a short to instantaneous changes in current.,A capacitor's voltage cannot change instantaneously.,A capacitor acts like an open to dc.,All of the above,,D,
"<p>If the capacitor in an <i>RC</i> integrator shorts, the output</p>",is at ground,would measure the same as the input,would measure zero volts,None of the above,,A,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq15_1005.gif""/></p><p>What has the voltage across the resistor decayed to by the end of the pulse in the given circuit?</p></p>",0 V,0.75 V,5.55 V,14.25 V,,B,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq15_1002.gif""/></p><p>How long will it take the capacitor in the given circuit to discharge?</p></p>","16.4 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>s","32.8 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>s","65.6 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>s","82 <img align=""absmiddle"" alt=""mu.gif"" src=""/_files/images/basic-electronics/basics/mu.gif""/>s",,D,
"<p><p><img src=""/_files/images/basic-electronics/basics/mcq15_1007.gif""/></p><p>What is the voltage across the inductor in the given circuit on the falling edge of the first input pulse?</p></p>",–0.2 V,0.2 V,–9.8 V,9.8 V,,A,
