question,A,B,C,D,E,answer,explanation
"<p>What is the color code for a 220 <img align=""absmiddle"" alt=""omega.gif"" src=""/_files/images/basic-electronics/basics/omega.gif""/> 5% resistor?</p>","Red, Red, Brown, Gold","Orange, Orange, Black, Gold","Red, Red, Black, Gold","Red, Red, Brown, Silver",,A," <pre>Resistor colour coding series:

Black   0 
Brown   1 
Red     2 
Orange  3 
Yellow  4 
Green   5 
Blue    6 
Violet  7  
Gray    8   
White   9 
None    20% 
Silver  10% 
Gold    5% 

Therefore Red, Red, Brown, Gold 
           2    2    10<sup>1</sup>    5% 

 = 22 x 10 = 220 ohm 5% (tolerance). 

</pre>
<p class=""mx-bold mx-green"">Video Explanation: <a href=""https://youtu.be/8YHFQCqBGcA"" target=""_blank"">https://youtu.be/8YHFQCqBGcA</a></p> "
"<p>If 60 J of energy are available for every 15 C of charge, what is the voltage?</p>",4 V,60 V,15 V,0.25 V,,A,
<p>An atom's atomic number is determined by the number of:</p>,neutrons minus protons,protons,electrons,neutrons,,B,
<p>A voltage will influence current only if the circuit is:</p>,open,insulated,high resistance,closed,,D,
<p>Which resistive component is designed to be temperature sensitive?</p>,Thermistor,Rheostat,Potentiometer,Photoconductive cell,,A,
<p>The battery symbol is:</p>,"<img alt=""mca1_1009a1.gif"" src=""/_files/images/basic-electronics/complete/mca1_1009a1.gif""/>","<img alt=""mca1_1009b1.gif"" src=""/_files/images/basic-electronics/complete/mca1_1009b1.gif""/>","<img alt=""mca1_1009c1.gif"" src=""/_files/images/basic-electronics/complete/mca1_1009c1.gif""/>","<img alt=""mca1_1009d1.gif"" src=""/_files/images/basic-electronics/complete/mca1_1009d1.gif""/>",,B,
"<p>What type of switch is this?<br/><br/><img src=""/_files/images/basic-electronics/complete/mcq1_1010_1.gif""/></p>",push button,SPST,DPDT,SPDT,,D,
"<p>Primary batteries, unlike secondary batteries, may be:</p>",charged once,used once,recharged over and over,stored indefinitely,,B," <p>Primary batteries (disposable batteries), which are designed to be used once and discarded when they are exhausted.<br/><br/>

Secondary batteries (rechargeable batteries), which are designed to be recharged and used multiple times.</p> "
"<p>In practical applications, battery voltage:</p>",is restored as soon as disconnect occurs,is lowered as the load increases,may be stored indefinitely,will be reduced to zero as power is drawn,,B,
<p>The negative and positive charge symbols are assigned (in that order) to the:</p>,proton and electron,electron and proton,atom and nucleus,electron and element,,B,
