question,A,B,C,D,E,answer,explanation
"<p><p>Convert the following SOP expression to an equivalent POS expression.</p>
<p><img src=""/_files/images/digital-electronics/digital-fundamentals/mcq4_01600.gif""/></p></p>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0160a.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0160b.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0160c.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0160d.gif""/>",,B,
"<p>Determine the values of A, B, C, and D that make the sum term <img src=""/_files/images/digital-electronics/digital-fundamentals/mcq4_00100.gif""/> equal to zero.</p>","A = 1, B = 0, C = 0, D = 0","A = 1, B = 0, C = 1, D = 0","A = 0, B = 1, C = 0, D = 0","A = 1, B = 0, C = 1, D = 1",,B,
<p>Which of the following expressions is in the sum-of-products (SOP) form?</p>,(<i>A</i> + <i>B</i>)(<i>C</i> + <i>D</i>),(<i>A</i>)<i>B</i>(<i>CD</i>),<i>AB</i>(<i>CD</i>),<i>AB</i> + <i>CD</i>,,D,
"<p><p>Derive the Boolean expression for the logic circuit shown below:</p>
<p><img src=""/_files/images/digital-electronics/digital-fundamentals/mcq4_00900.gif""/></p></p>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0090a.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0090b.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0090c.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0090d.gif""/>",,A,
"<p><p>From the truth table below, determine the standard SOP expression.</p>
<p><img src=""/_files/images/digital-electronics/digital-fundamentals/mcq4_02100.gif""/></p></p>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0210a.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0210b.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0210c.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0210d.gif""/>",,D,
"<p>One of De Morgan's theorems states that <img align=""middle"" src=""/_files/images/digital-electronics/basic-digital-electronics/mcq5_1017_1u.jpg""/>. Simply stated, this means that logically there is no difference between:</p>",a NOR and an AND gate with inverted inputs,a NAND and an OR gate with inverted inputs,an AND and a NOR gate with inverted inputs,a NOR and a NAND gate with inverted inputs,,A,
<p>The commutative law of Boolean addition states that <i>A</i> + <i>B</i> = <i>A</i> × <i>B</i>.</p>,True,False,,,,B,
"<p>Applying DeMorgan's theorem to the expression <img src=""/_files/images/digital-electronics/digital-fundamentals/mcq4_00400.gif""/>, we get ________.</p>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0040a.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0040b.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0040c.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0040d.gif""/>",,A,
<p>The systematic reduction of logic circuits is accomplished by:</p>,using Boolean algebra,symbolic reduction,TTL logic,using a truth table,,A,
<p>Which output expression might indicate a product-of-sums circuit construction?</p>,"<img src=""/_files/images/digital-electronics/basic-digital-electronics/mca5_1023a1.gif""/>","<img src=""/_files/images/digital-electronics/basic-digital-electronics/mca5_1023b1.gif""/>","<img src=""/_files/images/digital-electronics/basic-digital-electronics/mca5_1023c1.gif""/>","<img src=""/_files/images/digital-electronics/basic-digital-electronics/mca5_1023d1.gif""/>",,D,
"<p>An AND gate with schematic ""bubbles"" on its inputs performs the same function as a(n)________ gate.</p>",NOT,OR,NOR,NAND,,C,
"<p>For the SOP expression <img src=""/_files/images/digital-electronics/digital-fundamentals/mcq4_01800.gif""/>, how many 1s are in the truth table's output column?</p>",1,2,3,5,,C,
"<p>A truth table for the SOP expression <img src=""/_files/images/digital-electronics/digital-fundamentals/mcq4_01700.gif""/> has how many input combinations?</p>",1,2,4,8,,D,
<p>How many gates would be required to implement the following Boolean expression before simplification? XY + X(X + Z) + Y(X + Z)</p>,1,2,4,5,,D,
"<p>Determine the values of A, B, C, and D that make the product term <img src=""/_files/images/digital-electronics/digital-fundamentals/mcq4_00200.gif""/> equal to 1.</p>","A = 0, B = 1, C = 0, D = 1","A = 0, B = 0, C = 0, D = 1","A = 1, B = 1, C = 1, D = 1","A = 0, B = 0, C = 1, D = 0",,A,
<p>What is the primary motivation for using Boolean algebra to simplify logic expressions?</p>,It may make it easier to understand the overall function of the circuit.,It may reduce the number of gates.,It may reduce the number of inputs required.,all of the above,,D,
<p>How many gates would be required to implement the following Boolean expression after simplification? XY + X(X + Z) + Y(X + Z)</p>,1,2,4,5,,B,
<p><i>AC</i> + <i>ABC</i> = <i>AC</i></p>,True,False,,,,A,
"<p>When <img align=""middle"" src=""/_files/images/digital-electronics/basic-digital-electronics/mcq5_1014_1.jpg""/> are the inputs to a NAND gate, according to De Morgan's theorem, the output expression could be:</p>",<i>X</i> = <i>A</i> + <i>B</i>,"<img src=""/_files/images/digital-electronics/basic-digital-electronics/mca5_1014b1.gif""/>",<i>X</i> = (<i>A</i>)(<i>B</i>),"<img src=""/_files/images/digital-electronics/basic-digital-electronics/mca5_1014d1.gif""/>",,A,
"<p>Which Boolean algebra property allows us to group operands in an expression in any order without affecting the results of the operation [for example, <i>A</i> + <i>B</i> = <i>B</i> + <i>A</i>]?</p>",associative,commutative,Boolean,distributive,,B,
"<p>Applying DeMorgan's theorem to the expression <img src=""/_files/images/digital-electronics/digital-fundamentals/mcq4_00700.gif""/>, we get ________</p>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0070a.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0070b.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0070c.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca4_0070d.gif""/>",,A,
"<p>When grouping cells within a K-map, the cells must be combined in groups of ________.</p>",2s,"1, 2, 4, 8, etc.",4s,3s,,B,
<p>Use Boolean algebra to find the most simplified SOP expression for <i>F</i> = <i>ABD</i> + <i>CD</i> + <i>ACD</i> + <i>ABC</i> + <i>ABCD</i>.</p>,<i>F</i> = <i>ABD</i> + <i>ABC</i> + <i>CD</i>,<i>F</i> = <i>CD</i> + <i>AD</i>,<i>F</i> = <i>BC</i> + <i>AB</i>,<i>F</i> = <i>AC</i> + <i>AD</i>,,A,
"<p>Occasionally, a particular logic expression will be of no consequence in the operation of a circuit, such as a BCD-to-decimal converter. These result in ________terms in the K-map and can be treated as either ________ or ________, in order to ________ the resulting term.</p>","don't care, 1s, 0s, simplify","spurious, ANDs, ORs, eliminate","duplicate, 1s, 0s, verify","spurious, 1s, 0s, simplify",,A,
"<p>The NAND or NOR gates are referred to as ""universal"" gates because either:</p>",can be found in almost all digital circuits,can be used to build all the other types of gates,are used in all countries of the world,were the first gates to be integrated,,B,
"<p>The truth table for the SOP expression <img src=""/_files/images/digital-electronics/digital-fundamentals/mcq4_01900.gif""/> has how many input combinations?</p>",1,2,4,8,,D,
"<p>Converting the Boolean expression LM + M(NO + PQ) to SOP form, we get ________.</p>",LM + MNOPQ,L + MNO + MPQ,LM + M + NO + MPQ,LM + MNO + MPQ,,D,
<p>A Karnaugh map is a systematic way of reducing which type of expression?</p>,product-of-sums,exclusive NOR,sum-of-products,those with overbars,,C,
"<p>The Boolean expression <img src=""/_files/images/digital-electronics/basic-digital-electronics/mcq5_1031_1.gif""/> is logically equivalent to what single gate?</p>",NAND,NOR,AND,OR,,A,
