question,A,B,C,D,E,answer,explanation
<p>How many 3-line-to-8-line decoders are required for a 1-of-32 decoder?</p>,1,2,4,8,,C,
"<p><p>Which of the figures shown below represents the exclusive-NOR gate? </p>
<p><img src=""/_files/images/digital-electronics/digital-systems/mcq4_1012_1.gif""/></p></p>",a,b,c,d,,B,
"<p><p>Which of the circuits in figure (a to d) is the sum-of-products implementation of figure (e)?</p>
<p><img src=""/_files/images/digital-electronics/digital-systems/mcq4_1021_1.gif""/></p></p>",a,b,c,d,,D,
"<p><p>For the device shown here, let all D inputs be LOW, both S inputs be HIGH, and the <img src=""/_files/images/digital-electronics/digital-fundamentals/mcq6_01801.gif""/> input be LOW. What is the status of the Y output?</p>
<p><img src=""/_files/images/digital-electronics/digital-fundamentals/mcq6_01802.gif""/></p></p>",LOW,HIGH,Don't Care,Cannot be determined,,A,
"<p><p>For the device shown here, let all D inputs be LOW, both S inputs be HIGH, and the <img src=""/_files/images/digital-electronics/digital-fundamentals/mcq6_01801.gif""/> input be HIGH. What is the status of the Y output?</p>
<p><img src=""/_files/images/digital-electronics/digital-fundamentals/mcq6_01900.gif""/></p></p>",LOW,HIGH,Don't Care,Cannot be determined,,A,
<p>Convert BCD 0001 0010 0110 to binary.</p>,1111110,1111101,1111000,1111111,,A,
<p>A 74HC147 priority encoder has ten active-LOW inputs and four active-LOW outputs. What would be the state of the four outputs if inputs 4 and 5 are LOW and all other inputs are HIGH?</p>,"<img src=""/_files/images/digital-electronics/digital-fundamentals/mca6_0110a.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca6_0110b.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca6_0110c.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/mca6_0110d.gif""/>",,A,
<p>Convert BCD 0001 0111 to binary.</p>,10101,10010,10001,11000,,C,
"<p><p>Which of the figures in figure (a to d) is equivalent to figure (e)?</p>
<p><img src=""/_files/images/digital-electronics/digital-systems/mcq4_1017_1.gif""/></p></p>",a,b,c,d,,B,
<p>How many data select lines are required for selecting eight inputs?</p>,1,2,3,4,,C,
"<p><p>The simplest equation which implements the K-map shown below is:</p>
<p><img src=""/_files/images/digital-electronics/digital-systems/mcq4_1016_1.gif""/></p></p>","<img src=""/_files/images/digital-electronics/digital-systems/mca4_1016a1.jpeg""/>","<img src=""/_files/images/digital-electronics/digital-systems/mca4_1016b1.jpeg""/>","<img src=""/_files/images/digital-electronics/digital-systems/mca4_1016c1.jpeg""/>","<img src=""/_files/images/digital-electronics/digital-systems/mca4_1016d1.jpeg""/>",,A,
<p>How many 1-of-16 decoders are required for decoding a 7-bit binary number?</p>,5,6,7,8,,D,
"<p><p>Which of the following logic expressions represents the logic diagram shown? </p>
<p><img src=""/_files/images/digital-electronics/digital-systems/mcq4_1018_1.gif""/></p></p>","<img align=""center"" src=""/_files/images/digital-electronics/digital-systems/mca4_1018a1.jpeg""/>","<img align=""center"" src=""/_files/images/digital-electronics/digital-systems/mca4_1018b1.jpeg""/>","<img align=""center"" src=""/_files/images/digital-electronics/digital-systems/mca4_1018c1.jpeg""/>","<img align=""center"" src=""/_files/images/digital-electronics/digital-systems/mca4_1018d1.jpeg""/>",,D,
<p>The implementation of simplified sum-of-products expressions may be easily implemented into actual logic circuits using all universal ________ gates with little or no increase in circuit complexity. (Select the response for the blank space that will BEST make the statement true.)</p>,AND/OR,NAND,NOR,OR/AND,,B,
<p>Which of the following statements accurately represents the two BEST methods of logic circuit simplification?</p>,Boolean algebra and Karnaugh mapping,Karnaugh mapping and circuit waveform analysis,Actual circuit trial and error evaluation and waveform analysis,Boolean algebra and actual circuit trial and error evaluation,,A,
"<p><p>For the device shown here, assume the D input is LOW, both S inputs are HIGH, and the <img src=""/_files/images/digital-electronics/digital-fundamentals/mcq6_01801.gif""/> input is HIGH. What is the status of the <img src=""/_files/images/digital-electronics/digital-fundamentals/mcq6_02101.gif""/> outputs?</p>
<p><img src=""/_files/images/digital-electronics/digital-fundamentals/mcq6_02102.gif""/></p></p>",All are HIGH.,All are LOW.,"All but <img src=""/_files/images/digital-electronics/digital-fundamentals/mca6_0210c.gif""/> are LOW.","All but <img src=""/_files/images/digital-electronics/digital-fundamentals/mca6_0210d.gif""/> are HIGH.",,A,
<p>Which of the following combinations cannot be combined into K-map groups?</p>,Corners in the same row,Corners in the same column,Diagonal corners,Overlapping combinations,,C,
