question,A,B,C,D,E,answer,explanation
<p>An encoder in which the highest and lowest value input digits are encoded simultaneously is known as a priority encoder.</p>,True,False,,,,B,
<p>Three select lines are required to address four data input lines.</p>,True,False,,,,B,
<p>Single looping in groups of three is a common K-map simplification technique.</p>,True,False,,,,B,
"<p>In true sum-of-products expressions, the inversion signs cannot cover more than single variables in a term.</p>",True,False,,,,A,
"<p>A combinatorial logic circuit has memory characteristics that ""remember"" the inputs after they have been removed.</p>",True,False,,,,B,
<p>A data selector is also called a demultiplexer.</p>,True,False,,,,B,
<p>A digital circuit that converts coded information into a familiar or non-coded form is known as an encoder.</p>,True,False,,,,B,
<p>An exclusive-OR gate will invert a signal on one input if the other is always HIGH.</p>,True,False,,,,A,
<p>The following combination is correct for an EVEN parity data transmission system:<br/> data = 100111100 and parity = 0</p>,True,False,,,,B,
<p>The CASE control structure is used when an expression has a list of possible values.</p>,True,False,,,,A,
<p>Even parity is the condition of having an even number of 1s in every group of bits.</p>,True,False,,,,A,
<p>The look-ahead carry method suffers from propagation delays.</p>,True,False,,,,B,
"<p><p>The Boolean equation <img src=""/_files/images/digital-electronics/digital-systems/tfq4_1017_2.gif""/> results from this Karnaugh map. </p>
<p><img src=""/_files/images/digital-electronics/digital-systems/tfq4_1017_1.gif""/></p></p>",True,False,,,,A,
<p>A pull-up resistor is a resistor used to keep a given point in a circuit HIGH when in the active state.</p>,True,False,,,,A,
"<p>The simplified form of <img src=""/_files/images/digital-electronics/digital-systems/tfq4_1014_1.gif""/>.</p>",True,False,,,,A,
"<p>In an even-parity system, the following data will produce a parity bit = 1.<br/>data = 1010011</p>",True,False,,,,B,
<p>The following combination is correct for an ODD parity data transmission system:<br/> data = 011011100 and parity = 0</p>,True,False,,,,A,
<p>The XOR gate will produce a HIGH output if only one but not both of the inputs is HIGH.</p>,True,False,,,,A,
"<p>When decisions demand one of many possible actions, the ELSIF control structure is used.</p>",True,False,,,,A,
"<p>The K-map provides a ""graphical"" approach to simplifying sum-of-products expressions.</p>",True,False,,,,A,
"<p>The 54 prefix on ICs indicates a broader operating temperature range, generally intended for military use.</p>",True,False,,,,A,
"<p><p>This is an example of a POS expression:</p>
<p><img align=""center"" src=""/_files/images/digital-electronics/digital-systems/tfq4_1015_1.jpeg""/></p></p>",True,False,,,,A,
"<p><p>The Boolean equation <img src=""/_files/images/digital-electronics/digital-systems/tfq4_1016_1.jpeg""/> results from this Karnaugh map.</p>
<p><img src=""/_files/images/digital-electronics/digital-systems/tfq4_1016_2.gif""/></p></p>",True,False,,,,B,
<p>The abbreviation for an exclusive-OR gate is XOR.</p>,True,False,,,,A,
"<p>In an even-parity system, the parity bit is adjusted to make an even number of one bits.</p>",True,False,,,,A,
"<p>The Boolean equation of the exclusive-NOR function is <img src=""/_files/images/digital-electronics/digital-systems/tfq4_1018_1u.png""/>.</p>",True,False,,,,A,
"<p>To implement the full-adder sum functions, two exclusive-OR gates can be used.</p>",True,False,,,,A,
"<p>The input at the 1, 2, 4, 8 inputs to a 4-line to 16-line decoder with active-low outputs is 1110. As a result, output line 7 is driven LOW.</p>",True,False,,,,B,
"<p>When decisions demand two possible actions, the IF/THEN/ELSE control structure is used.</p>",True,False,,,,A,
<p>TTL stands for transistor-technology-logic.</p>,True,False,,,,B,
<p>Truth tables are great for listing all possible combinations of independent variables.</p>,True,False,,,,A,
"<p>The K-map in the figure below shows the correct implementation of the expression <i>X</i> = <i>ACD</i> + <i>AB</i>(<i>CD</i> + <i>BC</i>).<p><img src=""/_files/images/digital-electronics/digital-systems/tfq4_1011_2.gif""/></p></p>",True,False,,,,B,
<p>A square in the top row of a K-map is considered to be adjacent to its corresponding square in the bottom row.</p>,True,False,,,,A,
"<p><img src=""/_files/images/digital-electronics/digital-systems/tfq4_1010_1.jpeg""/> is in the form of a sum-of-products expression.</p>",True,False,,,,A,
"<p><p>The circuit given below implements the equation, <img src=""/_files/images/digital-electronics/digital-systems/tfq4_1023_1.gif""/>.</p>
<p><img src=""/_files/images/digital-electronics/digital-systems/tfq4_1024_2.gif""/></p></p>",True,False,,,,A,
"<p>The simplified form of <img src=""/_files/images/digital-electronics/digital-systems/tfq4_1013_1.gif""/>.</p>",True,False,,,,B,
<p>The carry output of each adder in a ripple adder provides an additional sum output bit.</p>,True,False,,,,A,
<p>A good rule of thumb for determining the pin numbers of dual-in-line package IC chips would be to place the notch to your right and pin #1 will always be in the lower right corner.</p>,True,False,,,,B,
