question,A,B,C,D,E,answer,explanation
<p>A reliable method for eliminating decoder spikes is the technique called ________.</p>,strobing,feeding,wagging,waving,,A,
<p>A decade counter will count through decimal ________.</p>,10,9,15,0,,B,
<p>One method of troubleshooting involves ________ the circuit under test with a ________ or ________ and then observing the output to check for proper bit patterns.</p>,"checking, voltmeter, ohmmeter","exercising, stimulus, test pattern","testing, scope, logic analyzer","smashing, hammer, axe",,B,
"<p>In VHDL, if we need to remember a value it must be stored in a ________.</p>",function,type declaration,variable,process,,A,
<p>A glitch that appears on the decoded output of a ripple counter is often difficult to see on an oscilloscope because ________.</p>,it is a random event,it occurs less frequently than the normal decoded output,it is very fast,all of the above,,D,
<p>It is a characteristic of ring counters that the ________ equal to the number of flip-flops in the register.</p>,number of invalid states is,number of CASE statements is,modulus is,other states are,,C,
<p>Many parallel counters use ________ presetting whereby the counter is preset on the active transition of the same clock signal that is used for counting.</p>,feedback,synchronous,ripple,asynchronous,,B,
<p>A D flip-flop can be made to toggle by ________.</p>,"connecting to <span class=""overline"">Q</span> to D",connecting to Q to D,connecting D low,connecting D high,,A,
"<p><p>The given circuit represents a(n) ________.</p>
<p><img src=""/_files/images/digital-electronics/digital-systems/fbq7_1010_1.gif""/></p></p>",four-bit binary counter,asynchronous BCD decade counter,synchronous BCD decade counter,BCD-to-decimal decoder,,C,
"<p><p>The circuit shown below is a ________.</p>
<p><img src=""/_files/images/digital-electronics/digital-systems/fbq7_1017_1.jpg""/></p></p>",Johnson counter,ring counter,decade counter,BCD counter,,A,
<p>A(n) ________ one-shot starts a pulse in response to a trigger and will restart the internal pulse timer every time a subsequent trigger edge occurs before the pulse is complete.</p>,non-retriggerable,retriggerable,high-level triggered,edge-triggered,,B,
<p>Assume you want to determine the timing diagram for a 4-bit counter using an oscilloscope. The best choice for an oscilloscope trigger signal is ________.</p>,the most significant bit (MSB),the least significant bit (LSB),the clock signal,from a composite of the MSB and LSB,,C,
"<p><p>Referring to the function table given below, taking the <i>CLEAR</i>, <i>S</i>1, and <i>S</i>0 inputs all HIGH ________.</p>
<p><img src=""/_files/images/digital-electronics/digital-systems/fbq7_1022_1.jpg""/></p></p>",will inhibit the operation of the register,will reset the parallel registers and inhibit the serial data inputs,will cause the parallel data inputs to be loaded and passed to the parallel data outputs,will depend on what values are loaded into the parallel data inputs,,C,
"<p>Assume a 4-bit ripple counter has a failure in the second flip-flop such that it ""locks up."" The third and fourth stages will ________.</p>",continue to count with correct outputs,continue to count but have incorrect outputs,stop counting,turn into molten silicon,,C,
"<p>In order to use a shift register as a counter, ________.</p>",the register's serial input is the counter input and the serial output is the counter output,the parallel inputs provide the input signal and the output signal is taken from the serial data output,serial in/serial out register must be used,the serial output of the register is connected back to the serial input of the register,,D,
