question,A,B,C,D,E,answer,explanation
<p>How many flip-flops are required to make a MOD-32 binary counter?</p>,3,45,5,6,,C,
"<p>Using four cascaded counters with a total of 16 bits, how many states must be deleted to achieve a modulus of 50,000?</p>","50,000","65,536","25,536","15,536",,D,
<p>A MOD-16 ripple counter is holding the count 1001<sub>2</sub>. What will the count be after 31 clock pulses?</p>,1000<sub>2</sub>,1010<sub>2</sub>,1011<sub>2</sub>,1101<sub>2</sub>,,A,
<p>The terminal count of a modulus-11 binary counter is ________.</p>,1010,1000,1001,1100,,A,
<p>List which pins need to be connected together on a 7493 to make a MOD-12 counter.</p>,"12 to 1, 11 to 3, 9 to 2","12 to 1, 11 to 3, 12 to 2","12 to 1, 11 to 3, 8 to 2","12 to 1, 11 to 3, 1 to 2",,C,
<p>How can a digital one-shot be implemented using HDL?</p>,By using a resistor and a capacitor,By applying the concept of a counter,By using a library function,By applying a level trigger,,B,
<p>Integrated-circuit counter chips are used in numerous applications including:</p>,"timing operations, counting operations, sequencing, and frequency multiplication","timing operations, counting operations, sequencing, and frequency division","timing operations, decoding operations, sequencing, and frequency multiplication","data generation, counting operations, sequencing, and frequency multiplication",,B,
<p>Synchronous construction reduces the delay time of a counter to the delay of:</p>,all flip-flops and gates,all flip-flops and gates after a 3 count,a single gate,a single flip-flop and a gate,,D,
<p>Synchronous counters eliminate the delay problems encountered with asynchronous counters because the:</p>,input clock pulses are applied only to the first and last stages,input clock pulses are applied only to the last stage,input clock pulses are not used to activate any of the counter stages,input clock pulses are applied simultaneously to each stage,,D,
<p>What is the difference between combinational logic and sequential logic?</p>,"Combinational circuits are not triggered by timing pulses, sequential circuits are triggered by timing pulses.",Combinational and sequential circuits are both triggered by timing pulses.,Neither circuit is triggered by timing pulses.,,,A,
<p>What is the difference between a 7490 and a 7492?</p>,"7490 is a MOD-12, 7492 is a MOD-10","7490 is a MOD-12, 7492 is a MOD-16","7490 is a MOD-16, 7492 is a MOD-10","7490 is a MOD-10, 7492 is a MOD-12",,D,
"<p><p>What type of register is shown below?</p>
<p><img src=""/_files/images/digital-electronics/digital-systems/mcq7_1015_1.gif""/></p></p>",Parallel in/parallel out register,Serial in/parallel out register,Serial/parallel-in parallel-out register,Parallel-access shift register,,D,
"<p>When two counters are cascaded, the overall MOD number is equal to the ________ of their individual MOD numbers.</p>",product,sum,log,reciprocal,,A,
<p>A MOD-12 and a MOD-10 counter are cascaded. Determine the output frequency if the input clock frequency is 60 MHz.</p>,500 kHz,"1,500 kHz",6 MHz,5 MHz,,A,
<p>Which segments of a seven-segment display would be required to be active to display the decimal digit 2?</p>,"<i>a</i>, <i>b</i>, <i>d</i>, <i>e</i>, and <i>g</i>","<i>a</i>, <i>b</i>, <i>c</i>, <i>d</i>, and <i>g</i>","<i>a</i>, <i>c</i>, <i>d</i>, <i>f</i>, and <i>g</i>","<i>a</i>, <i>b</i>, <i>c</i>, <i>d</i>, <i>e</i>, and <i>f</i>",,A,
"<p>How many AND gates would be required to completely decode ALL the states of a MOD-64 counter, and how many inputs must each AND gate have?</p>","128 gates, 6 inputs to each gate","64 gates, 5 inputs to each gate","64 gates, 6 inputs to each gate","128 gates, 5 inputs to each gate",,C,
"<p><p>What decimal value is required to produce an output at ""X"" ? </p>
<p><img src=""/_files/images/digital-electronics/digital-systems/mcq7_1009_1.gif""/></p></p>",1,1 or 4,2,5,,D,
<p>A BCD counter is a ________.</p>,binary counter,full-modulus counter,decade counter,divide-by-10 counter,,C,
