question,A,B,C,D,E,answer,explanation
<p>Any number with an exponent of zero is equal to:</p>,zero,one,that number,ten,,B,
"<p>In the decimal numbering system, what is the MSD?</p>",The middle digit of a stream of numbers,The digit to the right of the decimal point,The last digit on the right,The digit with the most weight,,D,
<p>Which of the following statements does NOT describe an advantage of digital technology?</p>,The values may vary over a continuous range.,The circuits are less affected by noise.,The operation can be programmed.,Information storage is easy.,,A,
<p>The generic array logic (GAL) device is ________.</p>,one-time programmable,reprogrammable,a CMOS device,reprogrammable and a CMOS device,,B,
<p>The range of voltages between V<sub>L(max)</sub> and V<sub>H(min)</sub> are ________.</p>,unknown,unnecessary,unacceptable,between 2 V and 5 V,,C,
<p>What is a digital-to-analog converter?</p>,It takes the digital information from an audio CD and converts it to a usable form.,"It allows the use of cheaper analog techniques, which are always simpler.",It stores digital data on a hard drive.,It converts direct current to alternating current.,,A," A DAC converts an abstract finite-precision number (usually a fixed-point binary number) into a concrete physical quantity (e.g., a voltage or a pressure). "
<p>What are the symbols used to represent digits in the binary number system?</p>,"0,1","0,1,2",0 through 8,"1,2",,A,
<p>A full subtracter circuit requires ________.</p>,two inputs and two outputs,two inputs and three outputs,three inputs and one output,three inputs and two outputs,,D,
<p>The output of an AND gate is LOW ________.</p>,all the time,when any input is LOW,when any input is HIGH,when all inputs are HIGH,,B,
<p>Give the decimal value of binary 10010.</p>,6<sub>10</sub>,9<sub>10</sub>,18<sub>10</sub>,20<sub>10</sub>,,C,
<p>Parallel format means that:</p>,each digital signal has its own conductor.,several digital signals are sent on each conductor.,both binary and hexadecimal can be used.,no clock is needed.,,A,
<p>A decoder converts ________.</p>,noncoded information into coded form,coded information into noncoded form,HIGHs to LOWs,LOWs to HIGHs,,B,
<p>A DAC changes ________.</p>,an analog signal into digital data,digital data into an analog signal,digital data into an amplified signal,none of the above,,B,
<p>The output of a NOT gate is HIGH when ________.</p>,the input is LOW,the input is HIGH,the input changes from LOW to HIGH,voltage is removed from the gate,,A,
<p>The output of an OR gate is LOW when ________.</p>,all inputs are LOW,any input is LOW,any input is HIGH,all inputs are HIGH,,A,
<p>Which of the following is not an analog device?</p>,Thermocouple,Current flow in a circuit,Light switch,Audio microphone,,C,
<p>A demultiplexer has ________.</p>,"one data input and a number of selection inputs, and they have several outputs",one input and one output,several inputs and several outputs,several inputs and one output,,A,
<p>A flip-flop has ________.</p>,one stable state,no stable states,two stable states,none of the above,,C,
<p>Digital signals transmitted on a single conductor (and a ground) must be transmitted in:</p>,slow speed.,parallel.,analog.,serial.,,D,
"<p>In a certain digital waveform, the period is four times the pulse width. The duty cycle is ________.</p>",0%,25%,50%,100%,,B,
"<p>In positive logic, ________.</p>","a HIGH = 1, a LOW = 0","a LOW = 1, a HIGH = 0",only HIGHs are present,only LOWs are present,,A,
<p>Convert the fractional binary number 0000.1010 to decimal.</p>,0.625,0.50,0.55,0.10,,A,
<p>Digital representations of numerical values of quantities may BEST be described as having characteristics:</p>,that are difficult to interpret because they are continuously changing.,that vary constantly over a continuous range of values.,that vary in constant and direct proportion to the values they represent.,that vary in discrete steps in proportion to the values they represent.,,D,
<p>A common instrument used in troubleshooting a digital circuit is a(n) ________.</p>,logic probe,oscilloscope,pulser,all of the above,,D,
<p>The parallel transmission of digital data:</p>,is much slower than the serial transmission of data.,requires only one signal line between sender and receiver.,requires as many signal lines between sender and receiver as there are data bits.,is less expensive than the serial method of data transmission.,,C,
<p>Convert the fractional decimal number 6.75 to binary.</p>,0111.1100,0110.1010,0110.1100,0110.0110,,C,
<p>What is one relative disadvantage of serial transfer?</p>,It requires too many conductors.,Its interconnect system is complex.,It is slow.,It can only be used over very short distances.,,C,
<p>Which format requires fewer conductors?</p>,Parallel,Serial,Both are the same,Cannot tell,,B,
<p>A pulse has a period of 15 ms. Its frequency is ________.</p>,6.66 Hz,66.66 Hz,666.66 Hz,15 Hz,,B,
<p>Give the decimal value of binary 10000110.</p>,134<sub>10</sub>,144<sub>10</sub>,110<sub>10</sub>,126<sub>10</sub>,,A,
<p>The rise time is the time it takes a pulse to go from ________.</p>,the base line to the maximum HIGH voltage,10% of the pulse amplitude to the maximum HIGH voltage,the base line to 90% of the pulse amplitude,10% of the pulse amplitude to 90% of the pulse amplitude,,D,
<p>What is an analog-to-digital converter?</p>,It makes digital signals.,It takes analog signals and puts them in digital format.,It allows the use of digital signals in everyday life.,It stores information on a CD.,,B,
<p>A multiplexer has ________.</p>,one input and several outputs,one input and one output,several inputs and several outputs,several inputs and one output,,D,
<p>What is the decimal value of 2<sup>3 </sup>?</p>,2,4,6,8,,D, 2<sup>3 </sup> = 2*2*2=8 
<p>An encoder converts ________.</p>,noncoded information into coded form,coded information into noncoded form,HIGHs to LOWs,LOWs to HIGHs,,A,
<p>What kind of logic device or circuit is used to store information?</p>,Counter,Register,Inverter,Buffer,,B,
<p>PLCC packages have leads on ________.</p>,one side,two sides,three sides,four sides,,D,
<p>What is the typical invalid voltage for a binary signal?</p>,0.7–2.8 volts,0.8–3 volts,0.8–2 volts,0.7–2.5 volts,,C,
<p>Convert the fractional binary number 0001.0010 to decimal.</p>,1.40,1.125,1.20,1.80,,B,
<p>Convert the fractional binary number 10010.0100 to decimal.</p>,24.50,18.25,18.40,16.25,,B,
<p>How many binary bits are necessary to represent 748 different numbers?</p>,9,7,10,8,,C,
<p>A periodic digital waveform has a pulse width (t<sub>w</sub>) of 6 ms and a period (T) of 18 ms. The duty cycle is ________.</p>,3.3%,33.3%,6%,18%,,B,
<p>Any number with an exponent of one is equal to:</p>,zero.,one.,two.,that number.,,D,
<p>Serial format means digital signals are:</p>,sent over many conductors simultaneously.,sent over one conductor sequentially.,sent in groups of eight signals.,sent in binary coded decimal.,,B,
<p>What is the decimal value of 2<sup>–1 </sup>?</p>,0.5,0.25,0.05,0.1,,A,
<p>Which format can send several bits of information faster?</p>,Parallel,Serial,Both are the same,Cannot tell,,A,
<p>The frequency of a pulse train is 2 kHz. The pulse period is ________.</p>,5 ms,50 ms,"500 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>s","2 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>s",,C,
<p>What has happened to the advances in digital technologies over the past three decades?</p>,Slowed down considerably,"Continued to increase, but at a decreasing rate",Made excellent progress,Nothing short of phenomenal,,D,
<p>A type of digital circuit technology that uses bipolar junction transistors is ________.</p>,TTL,CMOS,LSI,NMOS,,A,
<p>How many unique symbols are used in the decimal number system?</p>,One,Nine,Ten,Unlimited,,C,
<p>A classification of ICs with complexities of 12 to 100 equivalent gates on a chip is known as ________.</p>,SSI,MSI,LSI,VLSI,,B,
<p>Which of the following is a semiconductor memory?</p>,RAM,MAR,CD-ROM,CD,,A,
<p>The holes through a PC board are ________.</p>,smaller with SMT than with through-hole mounting,larger with SMT than with through-hole mounting,the same size as with through-hole mounting,usually unnecessary,,C,
"<p>A classification of ICs with complexities of 100 to 10,000 equivalent gates per chip is known as ________.</p>",SSI,MSI,LSI,VLSI,,C,
