question,A,B,C,D,E,answer,explanation
<p>The voltage levels used to represent binary values (0 and 1) in a digital system are nearly equal in value.</p>,True,False,,,,B,
"<p>In a serial data system, the data is transmitted along a group of conductors simultaneously.</p>",True,False,,,,B,
<p>Temperature variation is normally an analog quantity.</p>,True,False,,,,A,
<p>Transistor-transistor logic (TTL) uses the bipolar transistor as its main circuit element.</p>,True,False,,,,A,
<p>A digital quantity has a discrete set of values.</p>,True,False,,,,A,
<p>SMT stands for small-to-medium technology.</p>,True,False,,,,B,
"<p>X-ray, MRI, and ultrasound systems in hospitals are examples of analog systems.</p>",True,False,,,,A,
<p>Greater accuracy and precision are possible with digital techniques.</p>,True,False,,,,A,
"<p>With an OR gate, the output is HIGH only when both inputs are HIGH.</p>",True,False,,,,B,
<p>The time interval on the leading edge of a pulse between 10% and 90% of the amplitude is the rise time.</p>,True,False,,,,A,
<p>Telecommunications systems do not use digital techniques.</p>,True,False,,,,B,
<p>The real world is mainly analog.</p>,True,False,,,,A,
<p>Binary means having two states or values.</p>,True,False,,,,A,
<p>Four bits equal one byte.</p>,True,False,,,,B,
<p>An inverter performs a NOT operation.</p>,True,False,,,,A,
"<p>In a positive logic system, the logic LOW could be between 0 V and 0.8 V.</p>",True,False,,,,A,
<p>In a binary system there are only two symbols.</p>,True,False,,,,A,
<p>Using digital techniques of information storage is easy.</p>,True,False,,,,A,
<p>One advantage of analog circuits over digital circuits is that it's easier to store data.</p>,True,False,,,,B,
<p>Digital circuits cannot perform logic comparisons since the circuit can have only one of two values at any instant.</p>,True,False,,,,B,
<p>A digital circuit will not obey a set of logic rules.</p>,True,False,,,,B,
<p>Circuits that exhibit the property of memory normally revert to their original state when the input is removed.</p>,True,False,,,,B,
<p>A logic analyzer is used to display a timing diagram.</p>,True,False,,,,A,
<p>Parallel transmission is faster than serial.</p>,True,False,,,,A,
<p>A microcomputer is the smallest type of computer.</p>,True,False,,,,A,
<p>A device to convert a binary number to a 7-segment display format is a decoder.</p>,True,False,,,,A,
<p>The two binary digits are 1 and 2.</p>,True,False,,,,B,
<p>It is possible to have an overlap between high and low levels in digital logic.</p>,True,False,,,,B,
<p>A microcomputer is not a general-purpose computer.</p>,True,False,,,,B,
<p>An invalid digital signal is used as a zero.</p>,True,False,,,,B,
<p>Memory devices store binary data.</p>,True,False,,,,A,
<p>A graph of phase vs. time is a timing diagram.</p>,True,False,,,,B,
"<p>In a negative logic system, a high is represented by 0.</p>",True,False,,,,A,
<p>The LSB is always to the right of the MSB.</p>,True,False,,,,A,
"<p>With an AND gate, if one input is HIGH, the output reflects the other input.</p>",True,False,,,,A,
<p>An ADC is an analog-to-digital converter.</p>,True,False,,,,A,
<p>The arithmetic/logic unit will send the results of its decisions to memory.</p>,True,False,,,,B,
<p>Digital systems require that voltage levels change between high and low.</p>,True,False,,,,A,
<p>The CPU (Central Processing Unit) is composed of memory and outputs.</p>,True,False,,,,B,
<p>PALs are relatively simple integrated circuit devices.</p>,True,False,,,,A,
