question,A,B,C,D,E,answer,explanation
"<p>In a flash analog-to-digital converter, the output of each comparator is connected to an input of a ________.</p>",decoder,priority encoder,multiplexer,demultiplexer,,B,
<p>Which term applies to the maintaining of a given signal level until the next sampling?</p>,Holding,Aliasing,Shannon frequency sampling,"""Stair-stepping""",,A,
<p>An op-amp has very ________.</p>,high voltage gain,high input impedance,low output impedance,all of the above,,D,
"<p>For a 4-bit DAC, the least significant bit (LSB) is ________.</p>",6.25% of full scale,0.625% of full scale,12% of full scale,1.2% of full scale,,A,
<p>The dual-slope analog-to-digital converter finds extensive use in ________.</p>,digital voltmeters,function generators,frequency counters,all of the above,,D,
<p>The ADC0804 is an example of a ________.</p>,single-slope analog-to-digital converter,dual-slope analog-to-digital converter,digital-ramp analog-to-digital converter,successive-approximation analog-to-digital converter,,D,
"<p>In a digital representation of voltages using an 8-bit binary code, how many values can be defined?</p>",16,64,128,256,,D,
<p>A 4-bit R/2R ladder digital-to-analog converter uses ________.</p>,one resistor value,two resistor values,three resistor values,four resistor values,,B,
"<p>A binary-weighted-input digital-to-analog converter has a feedback resistor, R<sub>f</sub>, of 12 k<img src=""/_files/images/digital-electronics/digital-fundamentals/omega.gif""/>. If 50 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>A of current is through the resistor, voltage out of the circuit is ________.</p>",0.6 V,–0.6 V,0.1 V,–0.1 V,,B,
<p>The resolution of a 6-bit DAC is ________.</p>,63%,64%,15.9%,1.59%,,D,
<p>Which type of ADC quantizes the analog signal into a stream of bits whose amount corresponds to the signal level?</p>,Successive approximation,Sigma-delta,Dual-slope,None of the above,,B,
"<p>A binary-weighted-input digital-to-analog converter has an input resistor of 100 k<img src=""/_files/images/digital-electronics/digital-fundamentals/omega.gif""/>. If the resistor is connected to a 5 V source, current through the resistor is ________.</p>",50 mA,"50 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>A",5 mA,"500 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>A",,B,
"<p>In troubleshooting a DAC, we check its performance characteristics, such as ________.</p>",nonmonotonicity,differential nonlinearity,low and high gain,all of the above,,D,
"<p>In a digital reproduction of an analog curve, accuracy can be increased by ________.</p>",sampling the curve more often,sampling the curve less often,decreasing the number of bits used to represent each sampled value,all of the above,,A,
"<p>In a 4-bit R/2R ladder digital-to-analog converter, because of negative feedback, the operational amplifier keeps the inverting (minus) input near ________.</p>",5 volts,zero volts,a voltage determined by the binary weighted input,none of the above,,B,
<p>What is the result of taking more samples during the quantization process?</p>,More errors in the analog-to-digital conversion,More bit requirements,More accurate signal representation,More bit requirements and more accurate signal representation,,D,
<p>Which A/D conversion method has a fixed conversion time?</p>,Single-slope analog-to-digital converter,Dual-slope analog-to-digital converter,Digital-ramp analog-to-digital converter,Successive-approximation analog-to-digital converter,,D,
<p>Which is a typical application of digital signal processing?</p>,Noise elimination,Music signal processing,Image processing,All of the above,,D,
"<p>If a DAC has a full-scale, or maximum, output of 12 V and accuracy of <img src=""/_files/images/digital-electronics/digital-fundamentals/plusminus.gif""/>0.1%, then the maximum error for any output voltage is ________.</p>",12 V,120 mV,12 mV,0 V,,C,
<p>What do we call the manipulation of an analog signal in a digital domain?</p>,Analog-to-digital conversion,Digital-to-analog conversion,Digital signal processing,Signal filtering,,B,
<p>How are unwanted frequencies removed prior to digital conversion?</p>,Pre-filters,Digital signal processing,Sample-and-hold circuits,All of the above,,A,
<p>Which type of programming is typically used for digital signal processors?</p>,Assembly language,Machine language,C,None of the above,,A,
<p>Which of the following best defines Nyquist frequency?</p>,The frequency of resonance for the filtering circuit,The second harmonic,The lower frequency limit of sampling,The highest frequency component of a given analog signal,,D,
<p>Which is not an A/D conversion error?</p>,Differential nonlinearity,Missing code,Incorrect code,Offset,,A,
<p>Settling time is normally defined as the time it takes a DAC to settle within ________.</p>,"<img src=""/_files/images/digital-electronics/digital-fundamentals/plusminus.gif""/>1/8 LSB of its final value when a change occurs in the input code","<img src=""/_files/images/digital-electronics/digital-fundamentals/plusminus.gif""/>1/4 LSB of its final value when a change occurs in the input code","<img src=""/_files/images/digital-electronics/digital-fundamentals/plusminus.gif""/>1/2 LSB of its final value when a change occurs in the input code",1 LSB of its final value when a change occurs in the input code,,C,
