question,A,B,C,D,E,answer,explanation
"<p>In a frequency counter, what happens at high frequencies when the sampling interval is too long?</p>",The counter works fine.,The counter undercounts the frequency.,The measurement is less precise.,The counter overflows.,,D,
"<p>In the digital clock project, when does the PM indicator go high?</p>",Never,Going from 11:59:59 to 12:00:00,Going from 12:59:59 to 01:00:00,On the falling edge of the clock after enable goes high,,B,
<p>How is the output frequency related to the sampling interval of a frequency counter?</p>,Directly with the sampling interval,Inversely with the sampling interval,More precision with longer sampling interval,Less precision with longer sampling interval,,C,
"<p>In an HDL application of a stepper motor, after an up/down counter is built what is done next?</p>",Build the sequencer,Test it on a simulator,Test the decoder,Design an intermediate integer variable,,B,
"<p>In a digital clock application, the basic frequency must be divided down to:</p>",1 Hz.,60 Hz.,100 Hz.,1000 Hz.,,A,
"<p>In the keypad application, what does the data signal define?</p>",The row and column encoded data,The ring encoded data,The freeze locator data,The ring counter data,,A,
<p>What does the ring counter in the HDL keypad application do when a key is pressed?</p>,Count to find the row,Freeze,Count to find the column,Start the D flip-flop,,B,
"<p>In the digital clock project, the purpose of the frequency prescaler is to:</p>",find the basic frequency.,transform a 60 pps input to a 1 pps timing signal.,prevent the clock from exceeding 12:59:59.,allow the BCD display to have a value from 00–59.,,B,
<p>Which is not a step that should be followed in project management?</p>,Overall definition,System documentation,Synthesis and testing,System integration,,B,
"<p>In the keypad application, what does the preset state of the ring counter define?</p>",The proper output of the column encoder,The NANDing of the rows,The NANDing of the columns,The proper output of the row encoder,,D,
"<p>In an HDL stepper motor design, why is there more than one mode?</p>",To change the speed of the stepper motor,To change the direction of the stepper motor,To direct drive the stepper motor,All of the above,,D,
<p>Which is not a major block of an HDL frequency counter?</p>,Display register,Decoder/display,Timing and control unit,Bit shifter,,D,
"<p>In a full-step sequence involving two flip-flops driving four coils of a stepper motor, how far will the stepper motor step?</p>",90°,45°,30°,15°,,D,
<p>Which is not a step used to define the scope of an HDL project?</p>,Are the inputs and outputs active HIGH or active LOW?,A clear vision of how to make each block work,What are the speed requirements?,How many bits of data are needed?,,B,
"<p>In the digital clock project, what is the frequency of the MOD-6 counter in the minutes section?</p>",1 pulse per minute,6 pulses per minute,10 pulses per minute,1 pulse per hour,,D,
<p>Why should a real hardware functional test be performed on the HDL stepper motor design?</p>,To check the speed of the software,To check the current levels in the motor,To check the voltage levels of the real outputs,To provide a fully operational system,,A,
<p>What does the major block of an HDL code emulation of a keypad include?</p>,A sequencer,A clock,A multiplexer,A ring counter,,D,
<p>The accuracy of the frequency counter depends on the:</p>,system clock frequency.,number of displayed digits.,sampling rate.,display update rate.,,A,
"<p>In the frequency counter, if the clock generator produces a 100 kHz system clock signal, how many decade counters are required to measure 1 Hz?</p>",6,5,4,3,,B,
<p>What must a stepper motor HDL application include?</p>,Variables and processes,Types and bits,Counters and decoders,Sequencers and multiplexers,,C,
<p>Which is not a step in strategic planning for HDL development?</p>,There must be a way to test each piece.,Each block must fit together to make up the whole system.,The names of each input and output must be known.,The exact operation of each block must be thoroughly defined and understood.,,C,
"<p>In the frequency counter, when is the new count stored in the display register?</p>",After disabling the counter,When the count buffer is full,After the sample interval is set,When the timing and control block has put it there,,A,
<p>What are two ways to remember the current state of a counter in VHDL?</p>,With FUNCTIONS and PROCESS,With counters and timers,With SIGNAL and VARIABLE,With bit types,,C,
"<p>In the digital clock project, what type of counter is used to count to 59 seconds?</p>",MOD-60,MOD-6,BCD,BCD followed by a MOD-6,,D,
"<p>In the keypad application, when all columns are HIGH, the ring counter is enabled and counting, and <i>dav</i> is LOW, what is the status of the <i>d</i> outputs?</p>",On,Off,Hi-Z,1011,,C,
"<p>In the frequency counter, what is the function of the Schmitt trigger circuit?</p>",To reduce input noise,To condition the input signal,To convert non-square waveforms,To provide a usable signal to the display unit,,C,
<p>List three basic blocks in the digital clock project.</p>,"MOD-60, MOD-12 counters","MOD-5, MOD-10, MOD-12 counters","MOD-60, MOD-10 counters","MOD-6, MOD-12, and MOD-10 counters",,D,
"<p>When designing an HDL digital system, which is the worst mistake one can make?</p>",Concluding that a fundamental block works perfectly,Failing to provide proper documentation,Adding blocks of code prior to testing them,Overlooking a possible VARIABLE,,A,
"<p>In the keypad application, just after the 4 ms mark the simulation imitates the release of the key by changing the column value back to F hex, which causes the <i>d</i> output to go into its Hi-Z state. On the next rising clock edge, what happens to <i>dav</i>?</p>",It goes HIGH.,It goes LOW.,It goes to Hi-Z.,It goes to 1111H.,,B,
"<p>For the frequency counter, which is not a control signal from the control and timing block?</p>",Clear,Enable,Reset,Store,,C,
