question,A,B,C,D,E,answer,explanation
<p>Which of the following logic families has the highest maximum clock frequency?</p>,S-TTL,AS-TTL,HS-TTL,HCMOS,,B,
<p>Why is the fan-out of CMOS gates frequency dependent?</p>,Each CMOS input gate has a specific propagation time and this limits the number of different gates that can be connected to the output of a CMOS gate.,"When the frequency reaches the critical value, the gate will only be capable of delivering 70% of the normal output voltage and consequently the output power will be one-half of normal; this defines the upper operating frequency.","The higher the number of gates attached to the output, the more frequently they will have to be serviced, thus reducing the frequency at which each will be serviced with an input signal.","The input gates of the FETs are predominantly capacitive, and as the signal frequency increases the capacitive loading also increases, thereby limiting the number of loads that may be attached to the output of the driving gate.",,D,
"<p>Logic circuits that are designated as buffers, drivers, or buffer/drivers are designed to have:</p>",a greater current/voltage capability than an ordinary logic circuit.,greater input current/voltage capability than an ordinary logic circuit.,a smaller output current/voltage capability than an ordinary logic.,greater input and output current/voltage capability than an ordinary logic circuit.,,A,
<p>Which of the following will not normally be found on a data sheet?</p>,Minimum HIGH level output voltage,Maximum LOW level output voltage,Minimum LOW level output voltage,Maximum HIGH level input current,,C,
<p>Which of the following logic families has the shortest propagation delay?</p>,S-TTL,AS-TTL,HS-TTL,HCMOS,,B,
<p>Which of the following summarizes the important features of ECL?</p>,"Low noise margin, low output voltage swing, negative voltage operation, fast, and high power consumption","Good noise immunity, negative logic, high frequency capability, low power dissipation, and short propagation time","Slow propagation time, high frequency response, low power consumption, and high output voltage swings","Poor noise immunity, positive supply voltage operation, good low frequency operation, and low power",,A,
<p>What must be done to interface TTL to CMOS?</p>,A dropping resistor must be used on the CMOS 12 V supply to reduce it to 5 V for the TTL.,"As long as the CMOS supply voltage is 5 V, they can be interfaced; however, the fan-out of the TTL is limited to five CMOS gates.",A 5 V Zener diode must be placed across the inputs of the TTL gates in order to protect them from the higher output voltages of the CMOS gates.,A pull-up resistor must be used between the TTL output-CMOS input node and <i>V</i><sub>cc</sub>; the value of RP will depend on the number of CMOS gates connected to the node.,,D,
<p>What causes low-power Schottky TTL to use less power than the 74XX series TTL?</p>,The Schottky-clamped transistor,Nothing. The 74XX series uses less power.,A larger value resistor,Using NAND gates,,C,
<p>What are the major differences between the 5400 and 7400 series of ICs?</p>,The 5400 series are military grade and require tighter supply voltages and temperatures.,The 5400 series are military grade and allow for a wider range of supply voltages and temperatures.,The 7400 series are an improvement over the original 5400s.,"The 7400 series was originally developed by Texas Instruments. The 5400 series was brought out by National Semiconductors after TI's patents expired, as a second supply source.",,B,
<p>Which of the following statements apply to CMOS devices?</p>,The devices should not be inserted into circuits with the power on.,"All tools, test equipment, and metal workbenches should be tied to earth ground.",The devices should be stored and shipped in antistatic tubes or conductive foam.,All of the above.,,D,
<p>What must be done to interface CMOS to TTL?</p>,A dropping resistor must be used on the CMOS 12 V supply to reduce it to 5 V for the TTL.,"As long as the CMOS supply voltage is 5 V, they can be interfaced; however, the fan-out of the CMOS is limited to two TTL gates.",A 5 V Zener diode must be placed across the inputs of the TTL gates in order to protect them from the higher output voltages of the CMOS gates.,"The two series cannot be interfaced without the use of special interface buffers designed for that purpose, such as the open-collector buffers.",,B,
<p>What is the static charge that can be stored by your body as you walk across a carpet?</p>,300 volts,"3,000 volts","30,000 volts","Over 30,000 volts",,D,
"<p><p>What type of circuit is shown below, and how is the output ordinarily connected? </p>
<p><img height=""250"" src=""/_files/images/digital-electronics/digital-systems/mcq8_1011_1.gif"" width=""300""/></p></p>",It is an open-collector gate and is used to drive loads that cannot be connected directly to <i>V</i><sub>cc</sub> due to high noise levels.,It represents an active-LOW inverter and is used in negative logic systems.,It is an open-collector gate. An external load must be connected between the output terminal and an appropriate supply voltage.,"Any of the above could be correct, depending on the specific application involved.",,C,
"<p><p>What type of circuit is represented in the given figure, and which statement best describes its operation?</p>
<p><img src=""/_files/images/digital-electronics/digital-systems/mcq8_1012_1.gif""/></p></p>","It is a tristate inverter. When the ENABLE input is HIGH, the output is effectively an open circuit—it is neither LOW nor HIGH.",It is a programmable inverter. It can be programmed to function as either an active LOW or an active HIGH inverter.,"It is an active LOW buffer, which can be turned on and off by the ENABLE input.",None of the above.,,A,
<p>Which of the following logic families has the highest noise margin?</p>,TTL,LS TTL,CMOS,HCMOS,,D,
"<p>A ""floating"" TTL input may be defined as:</p>","unused input that is tied to <i>V</i><sub>cc</sub> through a 1 k <img src=""/_files/images/digital-electronics/digital-systems/omega.gif""/> resistor.",unused input that is tied to used inputs.,unused input that is tied to the ground.,unused input that is not connected.,,D,
<p>Which of the logic families listed below allows the highest operating frequency?</p>,74AS,ECL,HCMOS,54S,,B,
"<p><p>Refer to the given figure. What type of output arrangement is being used for the output?</p>
<p><img height=""250"" src=""/_files/images/digital-electronics/digital-systems/mcq8_1009_1.gif"" width=""250""/></p></p>",Complementary-symmetry,Push-pull,Quasi push-pull,Totem-pole,,D,
"<p><p>Refer the given figure. Which of the following describes the operation of the circuit?</p>
<p><img height=""250"" src=""/_files/images/digital-electronics/digital-systems/mcq8_1009_1.gif"" width=""250""/></p></p>",A LOW input turns <i>Q</i>1 and <i>Q</i>3 on; <i>Q</i>2 and <i>Q</i>4 are off.,A LOW input turns <i>Q</i>1 and <i>Q</i>4 off; <i>Q</i>2 and <i>Q</i>3 are on.,"A HIGH input turns <i>Q</i>1, <i>Q</i>2, and <i>Q</i>3 off, and <i>Q</i>4 is on.","A HIGH input turns <i>Q</i>1, <i>Q</i>2, and <i>Q</i>4 on; <i>Q</i>3 is off.",,C,
"<p><p>What type of logic circuit is shown below and what logic function is being performed? 
<p><img src=""/_files/images/digital-electronics/digital-systems/mcq8_1015_1.gif""/></p></p></p>",It is an NMOS AND gate.,It is a CMOS AND gate.,It is a CMOS NOR gate.,It is a PMOS NAND gate.,,C,
"<p>Whenever a totem-pole TTL output goes from LOW to HIGH, a high-amplitude current spike is drawn from the <i>V</i><sub>cc</sub> supply. How is this effect corrected to a digital circuit?</p>",By connecting a radio-frequency capacitor from <i>V</i><sub>cc</sub> to ground.,By using a switching power supply,By connecting a capacitor from <i>V</i><sub>out</sub> to ground,By connecting a large resistor from <i>V</i><sub>cc</sub> to <i>V</i><sub>out</sub>,,A,
"<p><p>What type of circuit is shown below and which statement best describes its operation? </p>
<p><img src=""/_files/images/digital-electronics/digital-systems/mcq8_1016_1.gif""/></p></p>",It is a two-input CMOS AND gate with open drain.,It is a two-input CMOS buffer with tristate output.,It is a CMOS inverter with tristate output.,It is a hybrid TTL-CMOS inverter with FET totem-pole output.,,C,
<p>What is the increase in switching speed between 74LS series TTL and 74HC/HCT (High-Speed CMOS)?</p>,5,10,50,100,,B,
<p>A logic signal experiences a delay in going through a circuit. The two propagation delay times are defined as:</p>,<i>t</i><sub>PLH</sub> and <i>t</i><sub>PHL</sub>.,<i>t</i><sub>DLH</sub> and <i>t</i><sub>DHL</sub>.,<i>t</i><sub>HPL</sub> and <i>t</i><sub>lph</sub>.,<i>t</i><sub>LDH</sub> and <i>t</i><sub>HDL</sub>.,,A,
<p>What does ECL stand for?</p>,It stands for electron-coupled logic; all of the devices used within the gates are N-type transistors.,It stands for emitter-coupled logic; all of the inputs are coupled into the device through the emitters of the input transistors.,It stands for emitter-coupled logic; all of the emitters of the input transistors are connected together and each transistor functions as an emitter follower.,It stands for energy-coupled logic; the input energy is amplified by the input transistors and allows the device to deliver higher output currents.,,C,
<p>What is unique about TTL devices such as the 74S00?</p>,"The gate transistors are silicon (S), and the gates therefore have lower values of leakage current.",The S denotes the fact that a single gate is present in the IC rather than the usual package of 2–6 gates.,"The S denotes a slow version of the device, which is a consequence of its higher power rating.","The devices use Schottky transistors and diodes to prevent them from going into saturation; this results in faster turn on and turn off times, which translates into higher frequency operation.",,D,
