question,A,B,C,D,E,answer,explanation
"<p>If an analog signal is to be converted to an 8-bit resolution, how many comparators are used in a parallel-encoded ADC?</p>",127,128,255,256,,D,
<p>A transducer is a device that:</p>,converts a physical variable to an electrical variable,converts analog data to meaningful data,controls a physical variable,stores digital data and then processes that data according to a set of specified instructions,,A,
<p>How many different voltages can be output from a DAC with a 6-bit resolution?</p>,6,16,32,64,,D,
<p>A 4-bit <i>R</i>/2<i>R</i> D/A converter has a reference of 5 V. What is the analog output for the input code 0101?</p>,3.125 V,0.3125 V,0.78125 V,–3.125 V,,D,
<p>Which of the following describes the basic operation of a single-slope A/D converter.</p>,"The input voltage is used to set the frequency of a voltage-controlled oscillator (VCO). The VCO quits changing frequency when the input voltage stabilizes. The frequency of the VCO, which is proportional to the analog input voltage, is measured and is displayed on the digital display as a voltage reading.",A ramp generator is used to enable a counter through a comparator. When the ramp voltage equals the input voltage the counter is latched and then reset. The counter reading is proportional to the input voltage since the ramp is changing at a constant V/second rate.,"A ramp voltage and analog input voltage are applied to a comparator. As the input voltage causes the integrating capacitor to charge, it will at some point equal the ramp voltage. The ramp voltage is measured and displayed on the digital panel meter.","Any of the above could be correct, depending on the specific type of A/D converter involved.",,B,
<p>The main advantage of the successive-approximation A/D converter over the counter-ramp A/D converter is its:</p>,more complex circuitry,less complex circuitry,longer conversion time,shorter conversion time,,D,
"<p><p>What is the current in the feedback resistor for the circuit given below?</p>
<p><img src=""/_files/images/digital-electronics/basic-digital-electronics/mcq15_1005_1.jpg""/></p></p>",0.625 mA,1.25 mA,1.875 mA,1.625 mA,,C,
<p>The quantization error in an analog-to-digital converter can be reduced by:</p>,increasing the number of bits in the counter and DAC.,decreasing the number of bits in the counter and increasing the number of bits in the DAC.,increasing the number of bits in the counter and decreasing the number of bits in the DAC.,decreasing the number of bits in the counter and DAC.,,A,
<p>One disadvantage of the tracking A/D converter is:</p>,that it requires two counters—one for up and one for down.,that the binary output will oscillate between two binary states when the analog input is constant.,the need for an accurate clock reference for the counter.,the need for a latch and its associated control circuit.,,B,
"<p>If the range of output voltage of a 6-bit DAC is 0 to 15 volts, what is the step voltage of the output?</p>",0.117 volt/step,0.234 volt/step,2.13 volts/step,4.26 volts/step,,B,
<p>The process by which a computer acquires digitized analog data is referred to as ________.</p>,data acquisition,monotonicity,analog resolution,systematic digital conversion,,A,
"<p><p>What is the output voltage of the given circuit if the inputs are as follows:
<br/> 2<sup>0</sup> = 1, 2<sup>1</sup> = 1, 2<sup>2</sup> = 0, 2<sup>3</sup> = 0?</p>
<p><img src=""/_files/images/digital-electronics/basic-digital-electronics/mcq15_1010_1.jpg""/></p></p>",–3.115 volts,–2.8025 volts,–1.875 volts,–1.24 volts,,C,
<p>Describe offset error for a DAC.</p>,missing codes,error in the slope of the output staircase waveform,more or less input voltage is required for the first step than what is specified,,,C,
<p>Two principal advantages of the dual-slope ADC are its:</p>,high speed and low cost.,high sensitivity to noise and low cost.,low sensitivity to noise and high speed.,low sensitivity to noise and low cost.,,D,
<p>________ are the most linear of all the temperature transducers.</p>,Thermistors,Thermocouples,IC temperature sensors,Resistance temperature detectors,,C,
<p>The basic approach to testing D/A converters is to:</p>,apply a sequence of binary codes covering the full range of input values to the circuit input while observing the output on an oscilloscope. The output should consist of a linear stairstep ramp.,single-step the device through its full input range while checking the output with a DMM.,"check the output with zero input and then full input. The output of the converter should extend from zero to its maximum value. If so, then everything in between can be assumed to be operating properly.",apply the correct input to the analog terminal and then check to see if the proper binary code exists on the digital inputs.,,A,
"<p><p>What is the maximum output voltage for the circuit shown below?</p>
<p><img src=""/_files/images/digital-electronics/basic-digital-electronics/mcq15_1010_1.jpg""/></p></p>",–20 volts,–5 volts,–9.375 volts,–2.1775 volts,,C,
<p>One major difference between a counter-ramp A/D converter and a successive-approximation converter is:</p>,the counter-ramp A/D converter is much faster than the successive-approximation converter,"with the successive-approximation converter the final binary result is always slightly less than the equivalent analog input, whereas with the counter-ramp A/D converter it is slightly more","with the successive-approximation converter the final binary result is always slightly more than the equivalent analog input, whereas with the counter-ramp A/D converter it is slightly less",none of the above,,B,
<p>Which of the following characterizes an analog quantity?</p>,Discrete levels represent changes in a quantity.,Its values follow a logarithmic response curve.,It can be described with a finite number of steps.,It has a continuous set of values over a given range.,,D,
<p>What is the resolution of a D/A converter?</p>,the comparison between the actual output of the converter and its expected output,the reciprocal of the number of discrete steps in the D/A output,the deviation between the ideal straight-line output and the actual output of the converter,the ability to resolve between forward and reverse steps when sequenced over its entire range,,B,
<p>What is the conversion time of a flash converter?</p>,"20 <img src=""/_files/images/digital-electronics/digital-systems/mu.gif""/>s","10 <img src=""/_files/images/digital-electronics/digital-systems/mu.gif""/>s","1 <img src=""/_files/images/digital-electronics/digital-systems/mu.gif""/>s",The conversion takes place continuously.,,D,
<p>What is the speed of the up/down digital-ramp ADC (tracking ADC)?</p>,"20 <img src=""/_files/images/digital-electronics/digital-systems/mu.gif""/>s","10 <img src=""/_files/images/digital-electronics/digital-systems/mu.gif""/>s","1 <img src=""/_files/images/digital-electronics/digital-systems/mu.gif""/>s",Relatively slow,,D,
