question,A,B,C,D,E,answer,explanation
<p>The DAC0808 and the MC1408 are very popular and inexpensive 8-bit D/A converters.</p>,True,False,,,,A,
<p>The delay between a change on the digital input of a DAC and the appearance of the change on the output is called settling time.</p>,True,False,,,,A,
<p>The main advantage of the SAR ADC method is its high speed.</p>,True,False,,,,A,
<p>One way to determine the resolution of a DAC is to calculate the ratio of one step voltage to the maximum output voltage.</p>,True,False,,,,A,
<p>The output voltage or current of a digital-to-analog converter is truly an analog signal.</p>,True,False,,,,B,
<p>The amount of deviation of the measured step size from the ideal step size is a measure of linearity.</p>,True,False,,,,A,
"<p>When analog inputs from several sources are to be converted, a multiplexing technique can be used so that one ADC may be time-shared.</p>",True,False,,,,A,
<p>An AD7524 is an eight-bit D/A converter that uses an <i>R</i>/2<i>R</i> ladder network.</p>,True,False,,,,A,
<p>Voltage-to-frequency ADC is more complicated than other ADCs.</p>,True,False,,,,B,
<p>Two characteristics of ideal operational amplifiers are very high input impedance and very high voltage gain.</p>,True,False,,,,A,
<p>Electrical quantities can be interpreted without conditioning by a digital computer.</p>,True,False,,,,B,
<p>It is possible to develop more than 16 different analog levels using 4-bit resolution.</p>,True,False,,,,B,
"<p>A simultaneous, multiple comparator, or flash converter uses parallel encoding.</p>",True,False,,,,A,
<p>A DAC is monotonic if its output increases as its binary input is incremented from one value to the next.</p>,True,False,,,,A,
<p>An operational amplifier is used as a comparator.</p>,True,False,,,,A,
<p>Resolution in the analog output of a DAC is primarily dependent on the number of input binary bits.</p>,True,False,,,,A,
<p>The primary disadvantage of the flash A/D converter is the large number of comparators required.</p>,True,False,,,,A,
<p>A summing op-amp can be used for DAC.</p>,True,False,,,,A,
<p>A data acquisition system may communicate via two common buses: the data bus and the control bus.</p>,True,False,,,,A,
<p>The time required to complete a conversion cycle is called conversion time.</p>,True,False,,,,A,
"<p>Generally speaking, DACs with a current output will have a shorter settling time than those with voltage outputs.</p>",True,False,,,,A,
<p>A D/A converter changes things such as temperature variations into digital quantities.</p>,True,False,,,,B,
"<p>If the least significant bit (LSB) of a four-bit binary-weighted resistor D/A converter connects to a 200 <img src=""/_files/images/digital-electronics/digital-systems/omega.gif""/> resistor, then the resistor needed for the next bit is 100 <img src=""/_files/images/digital-electronics/digital-systems/omega.gif""/>.</p>",True,False,,,,A,
<p>Flash A/D converters depend on an input clock pulse to perform each conversion.</p>,True,False,,,,B,
<p>Linearity error is the maximum deviation in step size from the ideal step size.</p>,True,False,,,,A,
<p>One form of a sigma/delta modulator circuit is designed to convert a continuous analog signal into a modulated bit stream (A/D).</p>,True,False,,,,A,
<p>In a binary-weighted D/A converter the sum of all the currents from the binary weighted resistors flows through the operational amplifier.</p>,True,False,,,,B,
<p>An eight-bit D/A converter has a resolution of 0.125.</p>,True,False,,,,B,
"<p>In a counter-ramp A/D converter, the end-of-conversion line must be tied back to the clear input of the counter to change the circuit to perform continuous conversions.</p>",True,False,,,,A,
<p>D/A conversion is the process of taking a voltage or current and converting it to a digital code.</p>,True,False,,,,B,
<p>A sample-and-hold circuit is used in D/A conversion.</p>,True,False,,,,B,
<p>The output of an analog-to-digital converter is a voltage level.</p>,True,False,,,,B,
<p>A CD player probably uses a sigma/delta D/A converter.</p>,True,False,,,,A,
"<p>When the inputs of a four-bit D/A converter are connected to a binary up-counter, the output looks like an upward sloping line.</p>",True,False,,,,B,
"<p>The current across the MSB ""rung"" of a 4-bit <i>R</i>/2<i>R</i> ladder DAC if the reference voltage is 5 v and R is 8 <img src=""/_files/images/digital-electronics/digital-systems/omega.gif""/> is 625 <img src=""/_files/images/digital-electronics/digital-systems/mu.gif""/>A.</p>",True,False,,,,B,
"<p>When the analog input to a tracking A/D converter is at a constant level, the digital output will oscillate.</p>",True,False,,,,A,
"<p>To be useful, A/D or D/A converters must have meaningful representation of the analog quantity and a digital representation and the digital quantity as an analog representation.</p>",True,False,,,,A,
<p>A light bulb and a switch are examples of an analog circuit.</p>,True,False,,,,B,
"<p>When a DAC output shows a deviation of the measured step size from the ideal step size, this error is called nonlinearity.</p>",True,False,,,,A,
"<p>In a digital storage scope, when memory is full, the next data point is lost.</p>",True,False,,,,B,
