question,A,B,C,D,E,answer,explanation
<p>What is unique about TTL devices such as the 74SXX?</p>,"These devices use Schottky transistors and diodes to prevent them from going into saturation; this results in faster turn-on and turn-off times, which translates into higher frequency operation.","The gate transistors are silicon (S), and the gates therefore have lower values of leakage current.",The S denotes the fact that a single gate is present in the IC rather than the usual package of 2–6 gates.,"The S denotes a slow version of the device, which is a consequence of its higher power rating.",,A,
<p>Which of the following logic families has the shortest propagation delay?</p>,CMOS,BiCMOS,ECL,74SXX,,C,
<p>Why must CMOS devices be handled with care?</p>,so they don’t get dirty,because they break easily,because they can be damaged by static electricity discharge,,,C,
<p>Special handling precautions should be taken when working with MOS devices. Which of the following statements is not one of these precautions?</p>,All test equipment should be grounded.,MOS devices should have their leads shorted together for shipment and storage.,Never remove or insert MOS devices with the power on.,Workers handling MOS devices should not have grounding straps attached to their wrists.,,D,
<p>What should be done to unused inputs on TTL gates?</p>,They should be left disconnected so as not to produce a load on any of the other circuits and to minimize power loading on the voltage source.,"All unused gates should be connected together and tied to <i>V</i><sub<cc< sub=""""> through a 1 k<img src=""/_files/images/digital-electronics/basic-digital-electronics/omega.gif""/> resistor.</sub<cc<>",All unused inputs should be connected to an unused output; this will ensure compatible loading on both the unused inputs and unused outputs.,"Unused AND and NAND inputs should be tied to <i>V<sub>CC</sub></i> through a 1 k<img src=""/_files/images/digital-electronics/basic-digital-electronics/omega.gif""/> resistor; unused OR and NOR inputs should be grounded.",,D,
<p>Assume that a particular IC has a supply voltage (<i>V<sub>cc</sub></i>) equal to +5 V and <i>I<sub>CCH</sub></i> = 10 mA and <i>I<sub>CCL</sub></i> = 23 mA. What is the power dissipation for the chip?</p>,50 mW,82.5 mW,115 mW,165 mW,,B,
<p>Can a 74HCMOS logic gate directly connect to a 74ALSTTL gate?</p>,Yes,No,,,,A,
<p>What is the major advantage of ECL logic?</p>,very high speed,wide range of operating voltage,very low cost,very high power,,A,
"<p>As a general rule, the lower the value of the speed–power product, the better the device because of its:</p>",long propagation delay and high power consumption,long propagation delay and low power consumption,,,,B,
<p>What is the range of invalid TTL output voltage?</p>,0.0–0.4 V,0.4–2.4 V,2.4–5.0 V,0.0–5.0 V,,B,
<p>What is the difference between the 54XX and 74XX series of TTL logic gates?</p>,54XX is faster.,54XX is slower.,54XX has a wider power supply and expanded temperature range.,54XX has a narrower power supply and contracted temperature range.,,C,
"<p>An open collector output can ________ current, but it cannot ________.</p>","sink, source current","source, sink current","sink, source voltage","source, sink voltage",,A,
<p>Why is a decoupling capacitor needed for TTL ICs and where should it be connected?</p>,"to block dc, connect to input pins","to reduce noise, connect to input pins","to reduce the effects of noise, connect between power supply and ground",,,C,
"<p>Using the schematic diagram of a TTL NAND gate, determine the state of each transistor (ON or OFF) when all inputs are high.</p>","<i>Q</i><sub>1</sub>-ON, <i>Q</i><sub>2</sub>-OFF, <i>Q</i><sub>3</sub>-ON, <i>Q</i><sub>4</sub>-OFF","<i>Q</i><sub>1</sub>-ON, <i>Q</i><sub>2</sub>-ON, <i>Q</i><sub>3</sub>-OFF, <i>Q</i><sub>4</sub>-OFF","<i>Q</i><sub>1</sub>-OFF, <i>Q</i><sub>2</sub>-OFF, <i>Q</i><sub>3</sub>-ON, <i>Q</i><sub>4</sub>-ON","<i>Q</i><sub>1</sub>-OFF, <i>Q</i><sub>2</sub>-ON, <i>Q</i><sub>3</sub>-OFF, <i>Q</i><sub>4</sub>-ON",,D,
"<p>If all inputs to a TTL NAND gate are low, what is the ON, OFF condition of each transistor in the circuit?</p>","<i>Q</i><sub>1</sub>-ON, <i>Q</i><sub>2</sub>-OFF, <i>Q</i><sub>3</sub>-ON, <i>Q</i><sub>4</sub>-OFF","<i>Q</i><sub>1</sub>-ON, <i>Q</i><sub>2</sub>-ON, <i>Q</i><sub>3</sub>-OFF, <i>Q</i><sub>4</sub>-OFF","<i>Q</i><sub>1</sub>-OFF, <i>Q</i><sub>2</sub>-OFF, <i>Q</i><sub>3</sub>-ON, <i>Q</i><sub>4</sub>-ON","<i>Q</i><sub>1</sub>-OFF, <i>Q</i><sub>2</sub>-ON, <i>Q</i><sub>3</sub>-OFF, <i>Q</i><sub>4</sub>-ON",,A,
<p>Which of the following summarizes the important features of emitter-coupled logic (ECL)?</p>,"low noise margin, low output voltage swing, negative voltage operation, fast, and high power consumption","good noise immunity, negative logic, high-frequency capability, low power dissipation, and short propagation time","low propagation time, high-frequency response, low power consumption, and high output voltage swings","poor noise immunity, positive supply voltage operation, good low-frequency operation, and low power",,A,
<p>Why is a pull-up resistor needed for an open collector gate?</p>,to provide <i>V<sub>cc</sub></i> for the IC,to provide ground for the IC,to provide the HIGH voltage,to provide the LOW voltage,,C,
<p>Why is a pull-up resistor needed when connecting TTL logic to CMOS logic?</p>,to increase the output LOW voltage,to decrease the output LOW voltage,to increase the output HIGH voltage,to decrease the output HIGH voltage,,C,
"<p>The word ""interfacing"" as applied to digital electronics usually means:</p>",a conditioning circuit connected between a standard TTL NAND gate and a standard TTL OR gate,a circuit connected between the driver and load to condition a signal so that it is compatible with the load,any gate that is a TTL operational amplifier designed to condition signals between NMOS transistors,any TTL circuit that is an input buffer stage,,B,
<p>The rise time (<i>t<sub>r</sub></i>) is the time it takes for a pulse to rise from its ________ point up to its ________ point. The fall time (<i>t<sub>f</sub></i>) is the length of time it takes to fall from the ________ to the ________ point.</p>,"10%, 90%, 90%, 10%","90%, 10%, 10%, 90%","20%, 80%, 80%, 20%","10%, 70.7%, 70.7%, 10%",,A,
<p>The term buffer/driver signifies the ability to provide low output currents to drive light loads.</p>,True,False,,,,B,
<p>PMOS and NMOS ________.</p>,represent MOSFET devices utilizing either <i>P</i>-channel or <i>N</i>-channel devices exclusively within a given gate,are enhancement-type CMOS devices used to produce a series of high-speed logic known as 74HC,"represent positive and negative MOS-type devices, which can be operated from differential power supplies and are compatible with operational amplifiers",None of the above,,A,
<p>Why is the operating frequency for CMOS devices critical for determining power dissipation?</p>,"At low frequencies, power dissipation increases.","At high frequencies, the gate will only be able to deliver 70.7 % of rated power.","At high frequencies, charging and discharging the gate capacitance will draw a heavy current from the power supply and thus increase power dissipation.","At high frequencies, the gate will only be able to deliver 70.7 % of rated power and charging and discharging the gate capacitance will draw a heavy current from the power supply and thus increase power dissipation.",,C,
