question,A,B,C,D,E,answer,explanation
<p>A device that selects one of several inputs to be placed on the output is a multiplexer.</p>,True,False,,,,A,
<p>A logic circuit that determines if one input is equal to another is called a comparator.</p>,True,False,,,,A,
<p>A VARIABLE can be thought of as a piece of scrap paper used to write down some numbers that can be used later.</p>,True,False,,,,A,
<p>Output 3 of a 74138 octal decoder is selected when it is enabled by a data input of: <br/> <i>A</i><sub>0</sub> = 1<br/> <i>A</i><sub>1</sub> = 1<br/> <i>A</i><sub>2</sub> = 0</p>,True,False,,,,A,
"<p><p>When data input <i>I</i><sub>1</sub> of a 74148 octal-to-binary encoder is active, the data output is:</p>
<p> <i>A</i><sub>0</sub> = 0<br/> <i>A</i><sub>1</sub> = 0<br/> <i>A</i><sub>2</sub> = 1</p></p>",True,False,,,,B,
<p>A four-line multiplexer must have as inputs four data inputs and two select inputs.</p>,True,False,,,,A,
"<p>In HDL, a process is usually thought of as a wire connecting two points in a circuit.</p>",True,False,,,,B,
<p>A demultiplexer is a device that converts some code to a recognizable number or character.</p>,True,False,,,,B,
"<p><p>Output 6 of a 74138 octal decoder is selected when it is enabled by a data input of:</p>
<p><i>A</i><sub>0</sub> = 1<br/> <i>A</i><sub>1</sub> = 1<br/> <i>A</i><sub>2</sub> = 0</p></p>",True,False,,,,B,
<p>A circuit that converts some binary code into a singular active output representing its numerical value is a comparator.</p>,True,False,,,,B,
"<p>All outputs of the 74138 octal decoder are disabled (HIGH) when the enable inputs are: <br/><img src=""/_files/images/digital-electronics/digital-systems/tfq9_1010_1.gif""/></p>",True,False,,,,A,
<p>Incandescent 7-segment displays are especially well suited for use in portable battery-operated devices.</p>,True,False,,,,B,
<p>The device that is an application of SOP logic is a multiplexer.</p>,True,False,,,,A,
<p>ADHL does not offer a multiplication operator.</p>,True,False,,,,A,
"<p><p>The outputs of a 7485 four-bit magnitude comparator when the inputs are <i>A</i> = 0110 and <i>B</i> = 1010 are:</p>
<p><i>A</i> &lt; <i>B</i> is 1<br/> <i>A</i> = <i>B</i> is 0<br/> <i>A</i> &gt; <i>B</i> is 1</p></p>",True,False,,,,B,
"<p>In order to select data input <i>I</i><sub>3</sub> of a 74151 eight-line multiplexer, the select inputs must be: <br/><img src=""/_files/images/digital-electronics/digital-systems/tfq9_1015_1.gif""/></p>",True,False,,,,A,
<p>A very important attribute of the conditional signal assignment statement is its sequential operation.</p>,True,False,,,,A,
"<p>The outputs of the 74138 octal decoder are enabled when the enable inputs are <br/><img src=""/_files/images/digital-electronics/digital-systems/tfq9_1021_1.gif""/>.</p>",True,False,,,,A,
<p>A multiplexer is a device that converts some code into a recognizable number or character.</p>,True,False,,,,B,
<p>A demultiplexer takes an input and turns it into a binary number.</p>,True,False,,,,B,
"<p>In order to select data input <i>I</i><sub>1</sub> of a 74151 eight-line multiplexer, the select inputs must be: <br/><img src=""/_files/images/digital-electronics/digital-systems/tfq9_1016_1.gif""/></p>",True,False,,,,A,
<p>A device that determines which of two numbers is greater is a comparator.</p>,True,False,,,,A,
"<p>When outputs a, b, c, d, and g of a 7447 BCD-to-seven-segment code converter are active, the number displayed is 5.</p>",True,False,,,,B,
"<p>When data input I<sub>4</sub> of a 74148 octal-to-binary encoder is active, the data output is: <br/> <i>A</i><sub>0</sub> = 1<br/> <i>A</i><sub>1</sub> = 1<br/> <i>A</i><sub>2</sub> = 0</p>",True,False,,,,A,
<p>It is normal for more than one decoder output to be active at the same time.</p>,True,False,,,,B,
"<p>When data input I<sub>5</sub> of a 74148 octal-to-binary encoder is active, the data output is: <br/> <i>A</i><sub>0</sub> = 1<br/> <i>A</i><sub>1</sub> = 0<br/> <i>A</i><sub>2</sub> = 0</p>",True,False,,,,B,
"<p>Basically, a multiplexer changes parallel data inputs to a serial output.</p>",True,False,,,,A,
"<p>The 74139 dual four-line demultiplexer functions as a demultiplexer if data input is on the <img src=""/_files/images/digital-electronics/digital-systems/e.gif""/> line.</p>",True,False,,,,A,
<p>Modern computers transfer data between different devices over a common set of connecting lines called a data bus.</p>,True,False,,,,A,
<p>The select inputs to a multiplexer may also be called address lines.</p>,True,False,,,,A,
