question,A,B,C,D,E,answer,explanation
<p>Static memory will maintain storage even if power is removed.</p>,True,False,,,,B,
<p>Static RAMs (SRAMs) use internal capacitors as basic storage elements.</p>,True,False,,,,B,
<p>A burst refresh and a normal memory operation of a DRAM can be interspersed.</p>,True,False,,,,B,
<p>ROMs are used to store data that generally cannot be easily changed.</p>,True,False,,,,A,
<p>RAM stands for Readily Accessible Memory.</p>,True,False,,,,B,
"<p>If a memory design allows a storage location to be accessed without first sequencing through other locations, it is called Random Access Memory.</p>",True,False,,,,A,
<p>An optical disk is an example of magnetic storage.</p>,True,False,,,,B,
<p>The address-decoding scheme for a 16K-byte EPROM memory system requires a 1-to-8-address decoder when 4K × 8 memory is used.</p>,True,False,,,,A,
<p>The time from the beginning of a read cycle to the point when the data output is valid is called propagation delay.</p>,True,False,,,,B,
"<p>Due to their ability to be easily erased and reused, magnetic memory devices are widely used for RAM.</p>",True,False,,,,B,
<p>The TMS44100 4M × 1 DRAM does not have a chip select (SC) input.</p>,True,False,,,,A,
<p>The highest-speed magnetic storage is achieved by using a floppy disk.</p>,True,False,,,,B,
<p>The floating-gate MOSFET is the actual storage element for EEPROMs. An electron charge will remain on the floating gate for more than 10 years unless drained off electrically.</p>,True,False,,,,A,
<p>ROMs are used to store data on a permanent basis.</p>,True,False,,,,A,
"<p>The time delay called access time, <i>t</i><sub>ac</sub>, is a measure of the ROM's operating speed.</p>",True,False,,,,B,
<p>A typical RAM will read (place stored data on its outputs) whenever the Chip Select line is active and the Write Enable line is inactive.</p>,True,False,,,,A,
<p>A group of 6 bits is also known as 1 byte.</p>,True,False,,,,B,
<p>Erasing or programming a flash memory device is a one-step operation.</p>,True,False,,,,B,
<p>EEPROM and Flash memory are electrically erasable.</p>,True,False,,,,A,
"<p>RAMs must have a <img src=""/_files/images/digital-electronics/digital-systems/tfq12_1008_1.jpeg""/> input, in addition to data in.</p>",True,False,,,,A,
<p>The EPROM is strictly a MOS device.</p>,True,False,,,,A,
<p>A term often used commercially to refer to read/write memory is sequential-access memory.</p>,True,False,,,,B,
<p>DRAM chips can be combined for larger capacity and word sizes using the same methods as for other memory types.</p>,True,False,,,,A,
<p>More than one bit of data can occupy each memory cell.</p>,True,False,,,,B,
<p>Flash memories are frequently used in place of floppy or small-capacity hard disk drives in portable computers.</p>,True,False,,,,A,
<p>A nibble is a group of eight bits.</p>,True,False,,,,B,
<p>Fusible-link PROMs are programmed by removing the desired fuse links using a microscope and tweezers.</p>,True,False,,,,B,
"<p>When a computer is executing a program of instructions, the CPU continually fetches information from those locations in memory that contain (1) the program codes representing the operations to be performed and (2) the data to be operated upon.</p>",True,False,,,,A,
<p>A ROM that allows the user to program data into the chip by permanently opening fusible links is the EPROM.</p>,True,False,,,,B,
"<p>A write operation may also be referred to as a ""fetch"" operation.</p>",True,False,,,,B,
<p>Address multiplexing is used to reduce the number of address lines.</p>,True,False,,,,A,
"<p>PROMs are basically the same as mask ROMs, once they have been programmed.</p>",True,False,,,,A,
<p>RAM is nonvolatile.</p>,True,False,,,,B,
<p>Cache memory is used in high-speed systems.</p>,True,False,,,,A,
"<p>Dynamic memories, such as the 2118 16K × 1 RAM, have to multiplex the address bus.</p>",True,False,,,,A,
<p>ROM is a type of memory in which data are stored permanently or semipermanently.</p>,True,False,,,,A,
<p>EEPROMS can be electrically erased and reused.</p>,True,False,,,,A,
<p>DRAM uses a cross-transistor configuration.</p>,True,False,,,,B,
<p>Main computer memory is usually DRAM because of its high density and low cost; cache memory is usually SRAM because of its high speed.</p>,True,False,,,,A,
<p>Information stored in an EPROM can be erased by prolonged exposure to ultraviolet light.</p>,True,False,,,,A,
<p>A CD player is an example of a device that has random access capability.</p>,True,False,,,,A,
<p>The most widespread application of ROMs is in the storage of data and program codes that must be available on power-down in the microprocessor-based systems. These data and program codes are called firmware because they are firmly stored in hardware.</p>,True,False,,,,B,
<p>One of the advantages of DRAMs is their ability to store data without needing periodic refreshment of the memory contents.</p>,True,False,,,,B,
<p>A typical RAM will write (store data internally) whenever the Chip Select line is active and the Write Enable line is inactive.</p>,True,False,,,,B,
"<p>When two or more devices try to send their own digital levels to a shared data bus at the same time, bus contention will take place.</p>",True,False,,,,A,
<p>The main advantage of bipolar (TTL) memories over MOS memories is speed.</p>,True,False,,,,B,
<p>Testing and troubleshooting the decoding logic will not reveal problems with the memory chips and their connections to the CPU busses.</p>,True,False,,,,A,
<p>Once a PROM is programmed it can be changed by applying a small electrical charge.</p>,True,False,,,,B,
"<p>In a register stack, data moves up but not down.</p>",True,False,,,,B,
<p>Most flash chips use a bulk erase operation in which all cells on the chip are erased simultaneously.</p>,True,False,,,,A,
