question,A,B,C,D,E,answer,explanation
<p>What is the function of the comparators in the 555 timer circuit?</p>,to compare the output voltages to the internal voltage divider,to compare the input voltages to the internal voltage divider,to compare the output voltages to the external voltage divider,to compare the input voltages to the external voltage divider,,B,
<p>When a capacitor charges:</p>,the voltage across the plates rises exponentially,the circuit current falls exponentially,the capacitor charges to the source voltage in 5×<i>RC</i> seconds,all of the above,,D,
<p>The ________ is defined as the time the output is active divided by the total period of the output signal.</p>,on time,off time,duty cycle,active ratio,,C,
"<p>A 22-k<img src=""/_files/images/digital-electronics/basic-digital-electronics/omega.gif""/> resistor and a 0.02-<img align=""middle"" src=""/_files/images/digital-electronics/basic-digital-electronics/mu.gif""/>F capacitor are connected in series to a 5-V source. How long will it take the capacitor to charge to 3.4 V?</p>",0.44 ms,0.501 ms,0.66 ms,0.70 ms,,B,
<p>What does the discharge transistor do in the 555 timer circuit?</p>,charge the external capacitor to stop the timing,charge the external capacitor to start the timing over again,discharge the external capacitor to stop the timing,discharge the external capacitor to start the timing over again,,D,
"<p>Pulse stretching, time-delay, and pulse generation are all easily accomplished with which type of multivibrator circuit?</p>",astable,monostable,multistable,bistable,,B,
"<p>The internal circuitry of the 555 timer consists of ________, an <i>R-S</i> flip-flop, a transistor switch, an output buffer amplifier, and a voltage divider.</p>",a comparator,a voltage amplifier,two comparators,a peak detector,,C,
"<p>With most monostable multivibrators, what is the <i>Q</i> output when no input trigger has occurred?</p>",LOW,+5 V,SET,HIGH,,A,
<p>An astable multivibrator requires:</p>,balanced time constants,a pair of matched transistors,no input signal,dual <i>J</i>-<i>K</i> flip-flops,,C,
<p>A crystal demonstrates the ________ effect when a mechanical force across the crystal causes a small voltage to be generated.</p>,photoelectric,Co-pitts,piezoelectric,flywheel,,C,
<p>What is the difference between an astable multivibrator and a monostable multivibrator?</p>,The astable is free running.,The astable needs to be clocked.,The monostable is free running.,none of the above,,A,
<p>Is there any limit to the number of times that a 74123 can be retriggered?</p>,yes,no,,,,B,
"<p><p>Determine <i>t</i><sub>HI</sub> and <i>t</i><sub>LO</sub> for the circuit given below.</p>
<p><img src=""/_files/images/digital-electronics/basic-digital-electronics/mcq14_1032_1.jpg""/></p></p>","<i>t</i><sub>HI</sub> = 7.95 <img align=""middle"" src=""/_files/images/digital-electronics/basic-digital-electronics/mu.gif""/>s, <i>t</i><sub>LO</sub> = 6.24 <img align=""middle"" src=""/_files/images/digital-electronics/basic-digital-electronics/mu.gif""/>s","<i>t</i><sub>HI</sub> = 6.24 <img align=""middle"" src=""/_files/images/digital-electronics/basic-digital-electronics/mu.gif""/>s, <i>t</i><sub>LO</sub> = 7.95 <img align=""middle"" src=""/_files/images/digital-electronics/basic-digital-electronics/mu.gif""/>s","<i>t</i><sub>HI</sub> = 3.97 <img align=""middle"" src=""/_files/images/digital-electronics/basic-digital-electronics/mu.gif""/>s, <i>t</i><sub>LO</sub> = 3.21 <img align=""middle"" src=""/_files/images/digital-electronics/basic-digital-electronics/mu.gif""/>s","<i>t</i><sub>HI</sub> = 3.21 <img align=""middle"" src=""/_files/images/digital-electronics/basic-digital-electronics/mu.gif""/>s, <i>t</i><sub>LO</sub> = 3.97 <img align=""middle"" src=""/_files/images/digital-electronics/basic-digital-electronics/mu.gif""/>s",,A,
<p>The output of the astable circuit ________.</p>,constantly switches between two states,is LOW until a trigger is received,is HIGH until a trigger is received,floats until triggered,,A,
"<p><p>If a diode is connected across resistor <i>R<sub>B</sub></i> (positive end up) in the given figure, what is the new duty cycle of the output waveform?</p>
<p><img src=""/_files/images/digital-electronics/basic-digital-electronics/mcq14_1032_1.jpg""/></p></p>",56%,44%,21.6%,17.4%,,C,
