question,A,B,C,D,E,answer,explanation
<p>Convert hexadecimal value 16 to decimal.</p>,22<sub>10</sub>,16<sub>10</sub>,10<sub>10</sub>,20<sub>10</sub>,,A,
<p>Convert the following decimal number to 8-bit binary.<br/>187</p>,10111011<sub>2</sub>,11011101<sub>2</sub>,10111101<sub>2</sub>,10111100<sub>2</sub>,,A,
<p>Convert binary 111111110010 to hexadecimal.</p>,EE2<sub>16</sub>,FF2<sub>16</sub>,2FE<sub>16</sub>,FD2<sub>16</sub>,,B,
<p>Convert the following binary number to decimal. <br/>01011<sub>2</sub></p>,11,35,15,10,,A,
<p>Convert the binary number 1001.0010<sub>2</sub> to decimal.</p>,90.125,9.125,125,12.5,,B,
<p>Decode the following ASCII message.<br/> <pre>10100111010100101010110001001011001<br/>01000001001000100000110100101000100</pre></p>,STUDYHARD,STUDY HARD,stydyhard,study hard,,B,
<p>The voltages in digital electronics are continuously variable.</p>,True,False,,,,B,
<p>One hex digit is sometimes referred to as a(n):</p>,byte,nibble,grouping,instruction,,B,
<p>Which of the following is the most widely used alphanumeric code for computer input and output?</p>,Gray,ASCII,Parity,EBCDIC,,B,
"<p>If a typical PC uses a 20-bit address code, how much memory can the CPU address?</p>",20 MB,10 MB,1 MB,580 MB,,C,
<p>Convert 59.72<sub>10 </sub>to BCD.</p>,111011,01011001.01110010,1110.11,0101100101110010,,B,
<p>Convert 8B3F<sub>16</sub> to binary.</p>,35647,011010,1011001111100011,1000101100111111,,D,
"<p>Which is typically the longest: bit, byte, nibble, word?</p>",Bit,Byte,Nibble,Word,,D,
<p>Assign the proper odd parity bit to the code 111001.</p>,1111011,1111001,0111111,0011111,,B,
<p>Convert decimal 64 to binary.</p>,01010010,01000000,00110110,01001000,,B,
<p>Convert hexadecimal value C1 to binary.</p>,11000001,1000111,111000100,111000001,,A,
<p>Convert the following octal number to decimal. <br/>17<sub>8</sub></p>,51,82,57,15,,D,
<p>Convert the following binary number to octal. <br/>010111100<sub>2</sub></p>,172<sub>8</sub>,272<sub>8</sub>,174<sub>8</sub>,274<sub>8</sub>,,D,
<p>How many binary digits are required to count to 100<sub>10</sub>?</p>,7,2,3,100,,A,
<p>The BCD number for decimal 347 is ________.</p>,1100 1011 1000,0011 0100 0111,0011 0100 0001,1100 1011 0110,,B,
<p>The binary number for octal 45<sub>8</sub> is ________.</p>,100010,100101,110101,100100,,B,
<p>The sum of 11101 + 10111 equals ________.</p>,110011,100001,110100,100100,,C,
<p>Convert the following binary number to decimal. <br/>10011010<sub>2</sub></p>,154,155,153,157,,A,
<p>The decimal number 188 is equal to the binary number ________.</p>,10111100,0111000,1100011,1111000,,A,
<p>Convert the following binary number to octal.<br/> 001101011<sub>2</sub></p>,153<sub>8</sub>,351<sub>8</sub>,253<sub>8</sub>,352<sub>8</sub>,,A,
<p>How many bits are in an ASCII character?</p>,16,8,7,4,,C,
<p>A binary number's value changes most drastically when the ________ is changed.</p>,MSB,frequency,LSB,duty cycle,,A,
<p>Convert decimal 213 to binary.</p>,11001101,11010101,01111001,11100011,,B,
<p>The decimal number for octal 74<sub>8</sub> is ________.</p>,74,60,22,62,,B,
"<p>The sum of the two BCD numbers, 0011 + 0011, is ________.</p>",0110,0111,0011,1100,,A,
<p>Convert binary 01001110 to decimal.</p>,4E,78,76,116,,B,
<p>Which is not a word size?</p>,64,28,16,8,,B,
<p>The octal numbering system:</p>,simplifies tasks,groups binary numbers in groups of 4,saves time,simplifies tasks and saves time,,D,
<p>The binary number 1110 is equal to the decimal number ________.</p>,3,1,7,14,,D,
