question,A,B,C,D,E,answer,explanation
<p>The difference between a PLA and a PAL is:</p>,"The PLA has a programmable OR plane and a programmable AND plane, while the PAL only has a programmable AND plane.","The PAL has a programmable OR plane and a programmable AND plane, while the PLA only has a programmable AND plane.",The PAL has more possible product terms than the PLA.,PALs and PLAs are the same thing.,,A,
<p>ALM is the acronym for ________.</p>,Array Logic Matrix,Arithmetic Logic Module,Asynchronous Local Modulator,Adaptive Logic Module,,D,
<p>The GAL16V8 has:</p>,16 dedicated inputs.,8 special function pins.,8 pins that are used as inputs or outputs.,All of the above,,C,
<p>PALs tend to execute ________ logic.</p>,SAP,SOP,PLA,SPD,,B,
<p>How many pins are in an EDF10K70 package?</p>,70,140,240,532,,C,
<p>A GAL is essentially a ________.</p>,non-reprogrammable PAL,PAL that is programmed only by the manufacturer,very large PAL,reprogrammable PAL,,D,
<p>What is an OTP device?</p>,Optical transporting port,Octal transmitting pixel,Operational topical portable,One-time programmable,,D,
<p>How many product terms can a MAX+Plus II compiler borrow from adjacent macrocells in the same LAB?</p>,0,5,10,20,,B,
"<p>Each programmable array logic (PAL) gate product is applied to an OR gate and, if combinational logic is desired, the product is ORed and then:</p>",the polarity fuse is restored,sent to an inverter for output,sent immediately to an output pin,passed to the AND function for output,,B,
<p>________ are used at the inputs of PAL/GAL devices in order to prevent input loading from a large number of AND gates.</p>,Simplified AND gates,Fuses,Buffers,Latches,,C,
<p>A(n) ________ consists of a programmable array of AND gates that connects to a fixed array of OR gates and is usually OTP.</p>,GAL,CPLD,PAL,SPLD,,C,
<p>What is another name for digital circuitry called sequential logic?</p>,logic macrocell,logic array,flip-flop memory circuitry,inverter,,C,
<p>When did the first PLD appear?</p>,More than 10 years ago,More than 20 years ago,More than 30 years ago,More than 40 years ago,,C,
"<p>SPLDs, CPLDs, and FPGAs are all which type of device?</p>",PAL,PLD,EPROM,SRAM,,B,
<p>Cascade chains are closely associated with ________.</p>,CLBs,SOP functions,logic expansion,all of the above,,D,
<p>FPLA is:</p>,a nonmemory programmable device.,a programmable AND array.,a programmable OR array.,All of the above,,D,
<p>A(n) ________ is a section of embedded logic that is commonly found in FPGAs.</p>,LUT,core,DSP,PI,,B,
"<p>In a FLEX10K, what two outputs will the LE produce?</p>",The LAB and the fast track,ON and OFF,Hi-Z and ON,Hi-Z and OFF,,A,
<p>What is the major downfall of microprocessor/DSP systems?</p>,Speed—they are too fast,Speed—they are too slow,Too much flexibility,Not enough flexibility,,B,
<p>ASIC stands for:</p>,advanced speed integrated circuit.,advanced standard integrated circuit.,application specific integrated circuit.,application speedy integrated circuit.,,C,
<p>A look-up table is simply a truth table with all the possible output connections listed with their desired input response.</p>,True,False,,,,B,
