question,A,B,C,D,E,answer,explanation
"<p>On the fifth clock pulse, a 4-bit Johnson sequence is Q<sub>0</sub> = 0, Q<sub>1</sub> = 1, Q<sub>2</sub> = 1, and Q<sub>3</sub> = 1. On the sixth clock pulse, the sequence is ________.</p>","Q<sub>0</sub> = 1, Q<sub>1</sub> = 0, Q<sub>2</sub> = 0, Q<sub>3</sub> = 0","Q<sub>0</sub> = 1, Q<sub>1</sub> = 1, Q<sub>2</sub> = 1, Q<sub>3</sub> = 0","Q<sub>0</sub> = 0, Q<sub>1</sub> = 0, Q<sub>2</sub> = 1, Q<sub>3</sub> = 1","Q<sub>0</sub> = 0, Q<sub>1</sub> = 0, Q<sub>2</sub> = 0, Q<sub>3</sub> = 1",,C,
<p>The bit sequence 0010 is serially entered (right-most bit first) into a 4-bit parallel out shift register that is initially clear. What are the Q outputs after two clock pulses?</p>,0000,0010,1000,1111,,C,
"<p>What is a shift register that will accept a parallel input, or a bidirectional serial load and internal shift features, called?</p>",tristate,end around,universal,conversion,,C,
"<p>On the third clock pulse, a 4-bit Johnson sequence is Q<sub>0</sub> = 1, Q<sub>1</sub> = 1, Q<sub>2</sub> = 1, and Q<sub>3</sub> = 0. On the fourth clock pulse, the sequence is ________.</p>","Q<sub>0</sub> = 1, Q<sub>1</sub> = 1, Q<sub>2</sub> = 1, Q<sub>3</sub> = 1","Q<sub>0</sub> = 1, Q<sub>1</sub> = 1, Q<sub>2</sub> = 0, Q<sub>3</sub> = 0","Q<sub>0</sub> = 1, Q<sub>1</sub> = 0, Q<sub>2</sub> = 0, Q<sub>3</sub> = 0","Q<sub>0</sub> = 0, Q<sub>1</sub> = 0, Q<sub>2</sub> = 0, Q<sub>3</sub> = 0",,A,
"<p>A bidirectional 4-bit shift register is storing the nibble 1101. Its <img src=""/_files/images/digital-electronics/digital-fundamentals/rightleft.gif""/> input is HIGH. The nibble 1011 is waiting to be entered on the serial data-input line. After three clock pulses, the shift register is storing ________.</p>",1101,0111,0001,1110,,B,
<p>How can parallel data be taken out of a shift register simultaneously?</p>,Use the <i>Q</i> output of the first FF.,Use the <i>Q</i> output of the last FF.,Tie all of the <i>Q</i> outputs together.,Use the <i>Q</i> output of each FF.,,D,
<p>What is meant by parallel load of a shift register?</p>,All FFs are preset with data.,"Each FF is loaded with data, one at a time.",,,,A,
<p>What does the output enable do on the 74395A chip?</p>,It determines when data can be loaded.,It forces all outputs to go HIGH.,It forces all outputs to go LOW.,It activates the three-state buffer.,,D,
"<p>To operate correctly, starting a ring shift counter requires:</p>",clearing all the flip-flops,presetting one flip-flop and clearing all others,clearing one flip-flop and presetting all others,presetting all the flip-flops,,B,
"<p>In a 6-bit Johnson counter sequence there are a total of how many states, or bit patterns?</p>",2,6,12,24,,C,
<p>A modulus-12 ring counter requires a minimum of ________.</p>,10 flip-flops,12 flip-flops,6 flip-flops,2 flip-flops,,B,
<p>Stepper motors have become popular in digital automation systems because ________.</p>,of their low cost,they are driven by sequential digital signals,they can be used to provide repetitive mechanical movement,they are driven by sequential digital signals and can be used to provide repetitive mechanical movement,,D,
"<p>The group of bits 11001 is serially shifted (right-most bit first) into a 5-bit parallel output shift register with an initial state 01110. After three clock pulses, the register contains ________.</p>",01110,00001,00101,00110,,C,
<p>Assume that a 4-bit serial in/serial out shift register is initially clear. We wish to store the nibble 1100. What will be the 4-bit pattern after the second clock pulse? (Right-most bit first.)</p>,1100,0011,0000,1111,,C,
"<p>A serial in/parallel out, 4-bit shift register initially contains all 1s. The data nibble 0111 is waiting to enter. After four clock pulses, the register contains ________.</p>",0000,1111,0111,1000,,C,
"<p>With a 200 kHz clock frequency, eight bits can be serially entered into a shift register in ________.</p>",4 μs,40 μs,400 μs,40 ms,,B,
<p>An 8-bit serial in/serial out shift register is used with a clock frequency of 2 MHz to achieve a time delay (t<sub>d</sub>) of ________.</p>,"16 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>s","8 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>s","4 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>s","2 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>s",,C,
<p>A sequence of equally spaced timing pulses may be easily generated by which type of counter circuit?</p>,ring shift,clock,Johnson,binary,,A,
<p>The bit sequence 10011100 is serially entered (right-most bit first) into an 8-bit parallel out shift register that is initially clear. What are the Q outputs after four clock pulses?</p>,10011100,11000000,00001100,11110000,,B,
"<p>If an 8-bit ring counter has an initial state 10111110, what is the state after the fourth clock pulse?</p>",11101011,00010111,11110000,00000000,,A,
<p>How would a latch circuit be used in a microprocessor system?</p>,as transportation for Intel employees,for a group of data that is the same,as a set of common connections for transfer of data,,,C,
<p>A 4-bit shift register that receives 4 bits of parallel data will shift to the ________ by ________ position(s) for each clock pulse.</p>,"right, one","right, two","left, one","left, three",,A,
<p>How many clock pulses will be required to completely load serially a 5-bit shift register?</p>,2,3,4,5,,D,
<p>How is a strobe signal used when serially loading a shift register?</p>,to turn the register on and off,to control the number of clocks,to determine which output <i>Q</i>s are used,to determine the FFs that will be used,,B,
<p>An 8-bit serial in/serial out shift register is used with a clock frequency of 150 kHz. What is the time delay between the serial input and the Q<sub>3</sub> output?</p>,"1.67 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>s","26.67 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>s",26.7 ms,267 ms,,B,
<p>What are the three output conditions of a three-state buffer?</p>,"HIGH, LOW, float","1, 0, float",both of the above,neither of the above,,C,
<p>The primary purpose of a three-state buffer is usually:</p>,to provide isolation between the input device and the data bus,to provide the sink or source current required by any device connected to its output without loading down the output device,temporary data storage,to control data flow,,A,
<p>What is the difference between a ring shift counter and a Johnson shift counter?</p>,There is no difference.,A ring is faster.,The feedback is reversed.,The Johnson is faster.,,C,
<p>What is a recirculating register?</p>,serial out connected to serial in,all <i>Q</i> outputs connected together,a register that can be used over again,,,A,
<p>When is it important to use a three-state buffer?</p>,when two or more outputs are connected to the same input,when all outputs are normally HIGH,when all outputs are normally LOW,when two or more outputs are connected to two or more inputs,,A,
"<p>A bidirectional 4-bit shift register is storing the nibble 1110. Its <img src=""/_files/images/digital-electronics/digital-fundamentals/rightleft.gif""/> input is LOW. The nibble 0111 is waiting to be entered on the serial data-input line. After two clock pulses, the shift register is storing ________.</p>",1110,0111,1000,1001,,D,
"<p>In a parallel in/parallel out shift register, D<sub>0</sub> = 1, D<sub>1</sub> = 1, D<sub>2</sub> = 1, and D<sub>3</sub> = 0. After three clock pulses, the data outputs are ________.</p>",1110,0001,1100,1000,,B,
"<p>The group of bits 10110111 is serially shifted (right-most bit first) into an 8-bit parallel output shift register with an initial state 11110000. After two clock pulses, the register contains ________.</p>",10111000,10110111,11110000,11111100,,D,
"<p>By adding recirculating lines to a 4-bit parallel-in, serial-out shift register, it becomes a ________, ________, and ________-out register.</p>","parallel-in, serial, parallel","serial-in, parallel, serial","series-parallel-in, series, parallel","bidirectional in, parallel, series",,A,
<p>What type of register would have a complete binary number shifted in one bit at a time and have all the stored bits shifted out one at a time?</p>,"parallel-in, parallel-out","parallel-in, serial-out","serial-in, parallel-out","serial-in, serial-out",,C,
"<p>When an 8-bit serial in/serial out shift register is used for a 20 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>s time delay, the clock frequency is ________.</p>",40 kHz,50 kHz,400 kHz,500 kHz,,C,
<p>Ring shift and Johnson counters are:</p>,synchronous counters,aynchronous counters,true binary counters,synchronous and true binary counters,,A,
<p>What is the difference between a shift-right register and a shift-left register?</p>,There is no difference.,the direction of the shift,,,,B,
<p>What is a transceiver circuit?</p>,a buffer that transfers data from input to output,a buffer that transfers data from output to input,a buffer that can operate in both directions,,,C,
<p>A 74HC195 4-bit parallel access shift register can be used for ________.</p>,serial in/serial out operation,serial in/parallel out operation,parallel in/serial out operation,all of the above,,D,
<p>Which type of device may be used to interface a parallel data format with external equipment's serial format?</p>,key matrix,UART,memory chip,"series in, parallel out",,B,
<p>What is the function of a buffer circuit?</p>,to provide an output that is inverted from that on the input,to provide an output that is equal to its input,to clean up the input,to clean up the output,,B,
<p>What is the preset condition for a ring shift counter?</p>,all FFs set to 1,all FFs cleared to 0,"a single 0, the rest 1","a single 1, the rest 0",,D,
<p>Which is not characteristic of a shift register?</p>,Serial in/parallel in,Serial in/parallel out,Parallel in/serial out,Parallel in/parallel out,,A,
"<p>To keep output data accurate, 4-bit series-in, parallel-out shift registers employ a ________.</p>",divide-by-4 clock pulse,sequence generator,strobe line,multiplexer,,C,
"<p>With a 50 kHz clock frequency, six bits can be serially entered into a shift register in ________.</p>","12 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>s","120 <img src=""/_files/images/digital-electronics/digital-fundamentals/mu.gif""/>s",12 ms,120 ms,,B,
<p>Another way to connect devices to a shared data bus is to use a ________.</p>,circulating gate,transceiver,bidirectional encoder,strobed latch,,B,
"<p>To serially shift a nibble (four bits) of data into a shift register, there must be ________.</p>",one clock pulse,four clock pulses,eight clock pulses,one clock pulse for each 1 in the data,,B,
<p>Computers operate on data internally in a ________ format.</p>,tristate,universal,parallel,serial,,C,
"<p>In a 4-bit Johnson counter sequence there are a total of how many states, or bit patterns?</p>",1,2,4,8,,D,
"<p>If a 10-bit ring counter has an initial state 1101000000, what is the state after the second clock pulse?</p>",1101000000,0011010000,1100000000,0000000000,,B,
<p>How much storage capacity does each stage in a shift register represent?</p>,One bit,Two bits,Four bits (one nibble),Eight bits (one byte),,A,
"<p>When the output of a tristate shift register is disabled, the output level is placed in a:</p>",float state,LOW state,high-impedance state,float or high-impedance state,,D,
