question,A,B,C,D,E,answer,explanation
<p>The internal RAM memory of the 8051 is:</p>,32 bytes,64 bytes,128 bytes,256 bytes,,C,
"<p>This program code will be executed continuously:<br/> <table> <tr><td align=""right"" width=""30%"">STAT:</td> <td width-70%="""">MOV A, #01H</td></tr> <tr><td> </td><td>JNZ STAT</td></tr> </table></p>",True,False,,,,A,
<p>The 8051 has ________ 16-bit counter/timers.</p>,1,2,3,4,,B,
"<p>The address space of the 8051 is divided into four distinct areas: internal data, external data, internal code, and external code.</p>",True,False,,,,A,
<p>Data transfer from I/O to external data memory can only be done with the MOVX command.</p>,True,False,,,,A,
<p>The 8051 can handle ________ interrupt sources.</p>,3,4,5,6,,C," There are five interrupt sources for the 8051, which means that they can recognize 5 different events that can interrupt regular program execution. Each interrupt can be enabled or disabled by setting bits of the IE register. Likewise, the whole interrupt system can be disabled by clearing the EA bit of the same register. "
<p>The special function registers are maintained in the next 128 locations after the general-purpose data storage and stack.</p>,True,False,,,,A,
"<p>This statement will set the address of the bit to 1 (8051 Micro-controller): <br/> <font face=""times"">SETB 01H</font></p>",True,False,,,,B,
"<p>MOV A, @ R1 will:</p>",copy R1 to the accumulator,copy the accumulator to R1,copy the contents of memory whose address is in R1 to the accumulator,copy the accumulator to the contents of memory whose address is in R1,,C,
<p>A label is used to name a single line of code.</p>,True,False,,,,A,
"<p>The following program will receive data from port 1, determine whether bit 2 is high, and then send the number FFH to port 3: <br/> READ: MOV A,P1<br/> ANL A,#2H<br/> CJNE A,#02H,READ<br/> MOV P3,#FFH</p>",True,False,,,,A,
<p>Device pins XTAL1 and XTAL2 for the 8051 are used for connections to an external oscillator or crystal.</p>,True,False,,,,A,
"<p>When the 8051 is reset and the <img src=""/_files/images/digital-electronics/basic-digital-electronics/mcq18_1018_1.gif""/> line is HIGH, the program counter points to the first program instruction in the:</p>",internal code memory,external code memory,internal data memory,external data memory,,A,
<p>An alternate function of port pin P3.4 in the 8051 is:</p>,Timer 0,Timer 1,interrupt 0,interrupt 1,,A,
<p>Both registers TL0 and TL1 are needed to start Timer 0.</p>,True,False,,,,B,
<p>The I/O ports that are used as address and data for external memory are:</p>,ports 1 and 2,ports 1 and 3,ports 0 and 2,ports 0 and 3,,C,
<p>The last 96 locations in the internal data memory are reserved for general-purpose data storage and stack.</p>,True,False,,,,B,
<p>Microcontrollers often have:</p>,CPUs,RAM,ROM,all of the above,,D,
<p>The 8051 has ________ parallel I/O ports.</p>,2,3,4,5,,C,
<p>The total external data memory that can be interfaced to the 8051 is:</p>,32K,64K,128K,256K,,B,
<p>Which of the following instructions will load the value 35H into the high byte of timer 0?</p>,"MOV TH0, #35H","MOV TH0, 35H","MOV T0, #35H","MOV T0, 35H",,A,
<p>Bit-addressable memory locations are:</p>,10H through 1FH,20H through 2FH,30H through 3FH,40H through 4FH,,B,
<p>The 8-bit address bus allows access to an address range of:</p>,0000 to FFFFH,000 to FFFH,00 to FFH,0 to FH,,C,
"<p>The contents of the accumulator after this operation <br/> MOV A,#0BH<br/> ANL A,#2CH<br/> will be</p>",11010111,11011010,00001000,00101000,,C,
<p>The start-conversion on the ADC0804 is done by using the:</p>,"<img src=""/_files/images/digital-electronics/basic-digital-electronics/mca18_1052a1.gif""/>",CS line,INTR line,<i>V</i> <sub>ref/2</sub> line,,A,
"<p>This program code will be executed once: <br/><table> <tr><td align=""right"" width=""30%"">STAT:</td> <td width-70%="""">MOV A, #01H</td></tr> <tr><td> </td><td>JNZ STAT</td></tr> </table></p>",True,False,,,,B,
<p>Which of the following instructions will move the contents of register 3 to the accumulator?</p>,"MOV 3R, A","MOV R3, A","MOV A, R3","MOV A, 3R",,C,
<p>Which of the following statements will add the accumulator and register 3?</p>,"ADD @R3, @A","ADD @A, R3","ADD R3, A","ADD A, R3",,D,
<p>Data transfer from I/O to external data memory can only be done with the MOV command.</p>,True,False,,,,B,
<p>Which of the following commands will move the number 27H into the accumulator?</p>,"MOV A, P27","MOV A, #27H","MOV A, 27H","MOV A, @27",,B,
"<p>This program code will read data from port 0 and write it to port 2, and it will stop looping when bit 3 of port 2 is set:<br/> <table> <tr><td align=""right"" width=""30%"">STAT:</td> <td width-70%="""">MOV A, PO</td></tr> <tr><td> </td><td>MOV P2,A</td></tr> <tr><td> </td><td>JNB P2.3, STAT</td></tr> </table></p>",True,False,,,,A,
<p>Which of the following commands will move the value at port 3 to register 2?</p>,"MOV P2, R3","MOV R3, P2","MOV 3P, R2","MOV R2, P3",,D,
<p>The number of data registers is:</p>,8,16,32,64,,C,
"<p>When the 8051 is reset and the <span style=""text-decoration:overline"">EA</span> line is LOW, the program counter points to the first program instruction in the:</p>",internal code memory,external code memory,internal data memory,external data memory,,B,
<p>The designs of a centigrade thermometer and a PWM speed-control circuit can be implemented by the 8051.</p>,True,False,,,,A,
<p>What is the difference between the 8031 and the 8051?</p>,The 8031 has no interrupts.,The 8031 is ROM-less.,The 8051 is ROM-less.,The 8051 has 64 bytes more memory.,,B,
<p>The I/O port that does not have a dual-purpose role is:</p>,port 0,port 1,port 2,port 3,,B,
"<p>To interface external EPROM memory for applications, it is necessary to demultiplex the address/data lines of the 8051.</p>",True,False,,,,A,
"<p>The following command will copy the accumulator to the location whose address is 23H:<br/> MOV 23H,A</p>",True,False,,,,A,
<p>The special function registers can be referred to by their hex addresses or by their register names.</p>,True,False,,,,A,
"<p>The contents of the accumulator after this operation <br/> MOV A,#2BH<br/> ORL A,00H<br/> will be:</p>",1B H,2B H,3B H,4B H,,B,
"<p>The following program will cause the 8051 to be stuck in a loop:<br/> <table> <tr><td align=""right"" width=""30%"">LOOP:</td> <td width-70%="""">MOV A, #00H</td></tr> <tr><td> </td><td>JNZ LOOP</td></tr> </table></p>",True,False,,,,B,
<p>Which of the following commands will copy the contents of RAM whose address is in register 0 to port 1?</p>,"MOV @ P1, R0","MOV @ R0, P1","MOV P1, @ R0","MOV P1, R0",,C,
<p>The statement LCALL READ passes control to the line labelled READ.</p>,True,False,,,,A,
<p>Which of the following commands will copy the contents of location 4H to the accumulator?</p>,"MOV A, 04H","MOV A, L4","MOV L4, A","MOV 04H, A",,A,
