question,A,B,C,D,E,answer,explanation
<p>A band-pass filter can be created by cascading a high-pass filter and a low-pass filter.</p>,True,False,,,,A,
<p>The bandwidth of a band-pass filter is the sum of the two cutoff frequencies.</p>,True,False,,,,B,
<p>A Sallen-Key filter is a second-order filter.</p>,True,False,,,,A,
<p>Filters with Bessel characteristics are used for filtering pulse waveforms.</p>,True,False,,,,A,
<p>The bandwidth of a practical high-pass filter is infinite.</p>,True,False,,,,B,
"<p>In filters, a single RC network is called a pole.</p>",True,False,,,,A,
<p>A band-pass filter passes all frequencies within a band between a lower and an upper cutoff frequency.</p>,True,False,,,,A,
<p>An active filter uses capacitors and inductors in the feedback network.</p>,True,False,,,,B,
<p>A second-order filter has a roll-off of –20 dB/decade.</p>,True,False,,,,B,
<p>Butterworth filters have the characteristic of a very flat response in the passband and a roll-off of –20 dB/decade.</p>,True,False,,,,A,
