question,A,B,C,D,E,answer,explanation
<p>The current gain for the Darlington connection is ________.</p>,"<img src=""/_files/images/electronic-devices-and-circuit-theory/mca05_0360a.gif""/>","<img src=""/_files/images/electronic-devices-and-circuit-theory/mca05_0360b.gif""/>","<img src=""/_files/images/electronic-devices-and-circuit-theory/mca05_0360c.gif""/>","<img src=""/_files/images/electronic-devices-and-circuit-theory/mca05_0360d.gif""/>",,B,
<p>Which of the following configurations has the lowest output impedance?</p>,Fixed-bias,Voltage-divider,Emitter-follower,None of the above,,C,
<p>Which of the h-parameters corresponds to r<sub>e</sub> in a common-base configuration?</p>,h<sub>ib</sub>,h<sub>fb</sub>,h<sub>rb</sub>,h<sub>ob</sub>,,A,
"<p>Refer to this figure. Find the value of I<sub>E</sub>.

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq6_1009_1.jpeg""/></p>",2 mA,4 mA,5 mA,6 mA,,D,
<p>Which of the following is referred to as the reverse transfer voltage ratio?</p>,h<sub>i</sub>,h<sub>r</sub>,h<sub>f</sub>,h<sub>o</sub>,,B,
<p>Which of the following conditions must be met to allow the use of the approximate approach in a voltage-divider bias configuration?</p>,"<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>r<sub>e</sub> &gt; 10R<sub>2</sub>","<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>R<sub>E</sub> &gt; 10R<sub>2</sub>","<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>R<sub>E</sub> &lt; 10R<sub>2</sub>","<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>r<sub>e</sub> &lt; 10R<sub>2</sub>",,D,
"<p>Refer to this figure. Determine the value of A<sub>v</sub>.

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq6_1009_1.jpeg""/></p>",49.6,5,100,595,,B,
"<p>For a common-emitter amplifier, the purpose of swamping is</p>",to minimize gain.,to reduce the effects of r'<sub>e</sub>,to maximize gain.,no purpose.,,B,
<p>What is the typical value of the current gain of a common-base configuration?</p>,Less than 1,Between 1 and 50,Between 100 and 200,Undefined,,A,
<p>What is the most important r parameter for amplifier analysis?</p>,r<sub>b</sub>′,r<sub>c</sub>′,r<sub>e</sub>′,,,C,
<p>An emitter-follower is also known as a</p>,common-emitter amplifier.,common-base amplifier.,common-collector amplifier.,Darlington pair.,,C,
<p>The ________ model fails to account for the output impedance level of the device and the feedback effect from output to input.</p>,hybrid equivalent,r<sub>e</sub>,"<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>",Thevenin,,B,
"<p>Refer to this figure. Calculate the value of V<sub>B</sub>.

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq6_1009_1.jpeg""/></p>",5 V,3.7 V,20 V,3 V,,B,
<p>You have a need to apply an amplifier with a very high power gain. Which of the following would you choose?</p>,common-collector,common-base,common-emitter,emitter-follower,,C,
<p>What is the voltage gain of a feedback pair connection?</p>,1,–1,100,–100,,A,
"<p>A common-emitter amplifier has ________ voltage gain, ________ current gain, ________ power gain, and ________ input impedance.</p>","high, low, high, low","high, high, high, low","high, high, high, high","low, low, low, high",,B,
<p>What is the range of the input impedance of a common-base configuration?</p>,"A few ohms to a maximum of 50 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","1 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to 5 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","100 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to 500 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","1 M<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to 2 M<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,A,
<p>The advantage that a Sziklai pair has over a Darlington pair is</p>,higher current gain.,less input voltage is needed to turn it on.,higher input impedance.,higher voltage gain.,,B,
<p>What is the typical range of the output impedance of a common-emitter configuration?</p>,"10 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to 100<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","1 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to 5 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","40 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to 50 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","500 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to 1 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,C,
<p>What is the unit of the parameter h<sub>o</sub>?</p>,Volt,Ohm,Siemen,No unit,,C,
"<p>Refer to this figure. Calculate the value of R<sub>in(tot)</sub>.


<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq6_1009_1.jpeg""/></p>","37.7 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","3.77 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","378 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","2.25 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,B,
<p>What is the range of the current gain for BJT transistor amplifiers?</p>,less than 1,1 to 100,above 100,All of the above,,D,
<p>What does the negative sign in the voltage gain of the common-emitter fixed-bias configuration indicate?</p>,The output and input voltages are 180º out of phase.,Gain is smaller than 1.,Gain is larger than 1.,None of the above,,A,
"<p>For the common-emitter fixed-bias configuration, there is a ________ phase shift between the input and output signals.</p>",0º,45º,90º,180º,,D,
