question,A,B,C,D,E,answer,explanation
"<p>How much is the base-to-emitter voltage of a transistor in the ""on"" state?</p>",0 V,0.7 V,0.7 mV,Undefined,,B,
<p>How many layers of material does a transistor have?</p>,1,2,3,4,,C,
<p>Which of the following equipment can check the condition of a transistor?</p>,Current tracer,Digital display meter (DDM),Ohmmeter (VOM),All of the above,,D,
<p>For what kind of amplifications can the active region of the common-emitter configuration be used?</p>,Voltage,Current,Power,All of the above,,D,
"<p>In the active region, while the collector-base junction is ________-biased, the base-emitter is ________-biased.</p>","forward, forward","forward, reverse","reverse, forward","reverse, reverse",,C,
<p>A transistor can be checked using a(n) ________.</p>,curve tracer,digital meter,ohmmeter,Any of the above,,D,
<p>What range of resistor values would you get when checking a transistor for forward- and reverse-biased conditions by an ohmmeter?</p>,"100<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to a few k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, exceeding 100 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","Exceeding 100 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, 100<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to a few k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","Exceeding 100 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, exceeding 100 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","100<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to a few k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, 100<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to a few k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,A,
<p>Calculate minority current I<sub>CO</sub> if I<sub>C</sub> = 20.002 mA and I<sub>C</sub> majority = 20 mA.</p>,"20 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A","0.002 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A",2 nA,"2 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A",,D,
<p>What is (are) the component(s) of electrical characteristics on the specification sheets?</p>,On,Off,Small-signal characteristics,All of the above,,D,
<p>In which region are both the collector-base and base-emitter junctions forward-biased?</p>,Active,Cutoff,Saturation,All of the above,,C,
<p>An example of a <i>pnp</i> silicon transistor is a 2N4123.</p>,True,False,,,,B,
<p>Which of the following is (are) the terminal(s) of a transistor?</p>,Emitter,Base,Collector,All of the above,,D,
"<p>Use this table of collector characteristics to calculate <img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/><sub>ac</sub> at V<sub>CE</sub> = 15 V and I<sub>B</sub> = 30 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq03_01800.gif""/></p></p>",100,106,50,400,,A,
<p>Which of the following configurations can a transistor set up?</p>,Common-base,Common-emitter,Common-collector,All of the above,,D,
<p>What does a reading of a large or small resistance in forward- and reverse-biased conditions indicate when checking a transistor using an ohmmeter?</p>,Faulty device,Good device,Bad ohmmeter,None of the above,,A,
"<p>Determine the value of <img src=""/_files/images/electronic-devices-and-circuit-theory/alpha.gif""/> when <img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/> = 100.</p>",1.01,101,0.99,Cannot be solved with the information provided,,C,
<p>Transistors are ________-terminal devices.</p>,2,3,4,5,,B,
"<p>Calculate <img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/><sub>dc</sub> at V<sub>CE</sub> = 15 V and I<sub>B</sub> = 30 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq03_01900.gif""/></p></p>",100,116,50,110,,D,
<p>Which of the following can be obtained from the last scale factor of a curve tracer?</p>,h<sub>FE</sub>,"<img src=""/_files/images/electronic-devices-and-circuit-theory/alpha.gif""/><sub>dc</sub>","<img src=""/_files/images/electronic-devices-and-circuit-theory/alpha.gif""/><sub>ac</sub>","<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/><sub>ac</sub>",,D,
