question,A,B,C,D,E,answer,explanation
<p>A change in frequency by a factor of ________ is equivalent to 1 octave.</p>,2,10,5,20,,A,
<p>What is the ratio of the capacitive reactance X<sub>CS</sub> to the input resistance R<sub>I </sub>of the input RC circuit of a single-stage BJT amplifier at the low-frequency cutoff?</p>,0.25,0.50,0.75,1.0,,D,
<p>For which of the following frequency region(s) can the coupling and bypass capacitors no longer be replaced by the short-circuit approximation?</p>,Low-frequency,Mid-frequency,High-frequency,All of the above,,A,
"<p>Determine the lower cutoff frequency of this network. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq09_0260a.gif""/> <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq09_0260b.gif""/></p></p></p>",15.8 Hz,46.13 Hz,238.73 Hz,1575.8 Hz,,C,
<p>The smaller capacitive elements of the design will determine the ________ cutoff frequencies.</p>,low,mid,high,,,C,
<p>What is the range of the capacitor C<sub>ds</sub>?</p>,0.01 to 0.1 pF,0.1 to 1 pF,0.1 to 1 nF,0.1 to 1 F,,B,
"<p>An amplifier rated at 30-W output is connected to a 5-<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> speaker. Calculate the input voltage for the rated output if the amplifier voltage gain is 20 dB.</p>",1.225 mV,12.25 mV,122.5 mV,1.225 V,,D,
<p>A 3-dB drop in h<sub>fe</sub> will occur at a frequency defined by ________.</p>,"<img src=""/_files/images/electronic-devices-and-circuit-theory/mca09_0320a.gif""/>","<img src=""/_files/images/electronic-devices-and-circuit-theory/mca09_0320b.gif""/>",1,2,,B,
"<p>An amplifier rated at 30-W output is connected to a 5-<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> speaker. Calculate the input power required for full power output if the power gain is 20 dB.</p>",3 mW,30 mW,300 mW,3 W,,C,
<p>The larger capacitive elements of the design will determine the ________ cutoff frequency.</p>,low,mid,high,,,A,
<p>Which of the following elements is (are) important in determining the gain of the system in the high-frequency region?</p>,Interelectrode capacitances,Wiring capacitances,Miller effect capacitance,All of the above,,D,
"<p>The input power to a device is 10,000 W at 1000 V. The output power is 500 W, and the output impedance is 100 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>. Find the voltage gain in decibels.</p>",–30.01 dB,–20.0 dB,–13.01 dB,–3.01 dB,,C,
<p>By what factor does an audio level change if the power level changes from 4 W to 4096 W?</p>,2,4,6,8,,C,
"<p>For audio systems, the reference level is generally accepted as ________.</p>",1 mW,1 W,10 mW,100 mW,,A,
<p>What is the range of the capacitors C<sub>gs</sub> and C<sub>gd</sub>?</p>,1 to 10 pF,1 to 10 nF,1 to 10 F,1 to 10 F,,A,
"<p>For the low-frequency response of a BJT amplifier, the maximum gain is where ________ .</p>","R<sub>B </sub>= 0 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","R<sub>C</sub> = 0 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","R<sub>E</sub> = 0 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,,C,
