question,A,B,C,D,E,answer,explanation
"<p>For the typical transistor amplifier in the active region, V<sub>CE</sub> is usually about ________ % to ________ % of V<sub>CC</sub>.</p>","0, 100","25, 75","45, 55",None of the above,,B,
<p>For the dc analysis the network can be isolated from the indicated ac levels by replacing the capacitor with ________.</p>,an open circuit equivalent,a short circuit equivalent,a source voltage,None of the above,,A,
<p>________is the least stabilized circuit.</p>,Fixed bias,Emitter-stabilized bias,Voltage divider,Voltage feedback,,A,
<p>The emitter resistor in an emitter-stabilized bias circuit appears to be ________ in the base circuit.</p>,larger,smaller,the same,None of the above,,A,
"<p>In a fixed-bias circuit, the slope of the dc load line is controlled by ________.</p>",R<sub>B</sub>,R<sub>C</sub>,V<sub>CC</sub>,I<sub>B</sub>,,B,
<p>A change in value of ________ will create a new load line parallel to its previous one in a fixed-bias circuit.</p>,R<sub>B</sub>,R<sub>C</sub>,V<sub>CC</sub>,V<sub>BE</sub>,,C,
<p>________is the primary difference between the exact and approximate techniques used in the analysis of a voltage divider circuit.</p>,Thevenin voltage E<sub>Th</sub>,Thevenin resistance R<sub>Th</sub>,Base voltage V<sub>B</sub>,R<sub>C</sub>,,B,
<p>The dc load line is determined solely by the ________.</p>,base-emitter loop,collector-emitter loop,base-collector loop,None of the above,,B,
"<p>For a transistor operating in the saturation region, the collector current I<sub>C</sub> is at its ________ and the collector-emitter voltage V<sub>CE</sub> is to the ________.</p>","minimum, left of the <img src=""/_files/images/electronic-devices-and-circuit-theory/vsubcesubsat.gif""/> line","minimum, right of the <img src=""/_files/images/electronic-devices-and-circuit-theory/vsubcesubsat.gif""/> line","maximum, left of the <img src=""/_files/images/electronic-devices-and-circuit-theory/vsubcesubsat.gif""/> line","maximum, right of the <img src=""/_files/images/electronic-devices-and-circuit-theory/vsubcesubsat.gif""/> line",,C,
"<p>In a transistor-switching network, the level of the resistance between the collector and emitter is ________ at the saturation and is ________at the cutoff.</p>","low, low","low, high","high, high","high, low",,B,
<p>A significant increase in leakage current due to increase in temperature creates ________between I<sub>B</sub> curves.</p>,smaller spacing,larger spacing,the same space as at lower temperature,None of the above,,B,
<p>The saturation current of a transistor used in a fixed-bias circuit is ________ its value used in an emitter-stabilized or voltage-divider bias circuit for the same values of R<sub>C</sub>.</p>,more than,the same as,less than,None of the above,,A,
"<p>In a collector feedback bias circuit, the current through the collector resistor is ________ and the collector current is ________.</p>","I<sub>C</sub>, I<sub>C</sub>","I<sub>B</sub> + I<sub>C</sub>, I<sub>C</sub>","I<sub>B</sub>, I<sub>C</sub>",None of the above,,B,
<p>The Thevenin equivalent network is used in the analysis of the ________ circuit.</p>,fixed bias,emitter-stabilized bias,voltage divider,voltage feedback,,C,
"<p>The ________the stability factor, the ________sensitive the network is to variations in that parameter.</p>","higher, more","higher, less","lower, more",None of the above,,A,
"<p>By definition, quiescent means ________.</p>",quiet,still,inactive,All of the above,,D,
"<p>As the temperature increases, <img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/> ________, V<sub>BE</sub> ________, and I<sub>CO</sub> ________ in value for every 10ºC.</p>","increases, decreases, doubles","decreases, increases, remains the same","decreases, increases, doubles","increases, increases, triples",,A,
"<p>In any amplifier employing a transistor, the collector current I<sub>C</sub> is sensitive to ________.</p>","<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>",V<sub>BE</sub>,I<sub>CO</sub>,All of the above,,D,
"<p>In a fixed-bias circuit, the magnitude of I<sub>C</sub> is controlled by and therefore is a function of ________.</p>",R<sub>B</sub>,R<sub>C</sub>,"<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>","R<sub>B</sub> and <img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>",,D,
"<p>In a transistor-switching network, the operating point switches from ________ to ________ regions along the load line.</p>","cutoff, active","cutoff, saturation","active, saturation",None of the above,,B,
"<p>In a fixed-bias circuit with a fixed supply voltage V<sub>CC</sub>, the selection of a ________ resistor sets the level of ________ current for the operating point.</p>","collector, base","base, base","collector, collector",None of the above,,B,
<p>________ should be considered in the analysis or design of any electronic amplifiers.</p>,dc,ac,dc and ac,None of the above,,C,
<p>Changes in temperature will affect the level of ________.</p>,"current gain <img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>",leakage current I<sub>CEO</sub>,"both current gain <img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/> and leakage current I<sub>CEO</sub>",None of the above,,C,
<p>________ is less dependent on the transistor beta.</p>,Fixed bias,Emitter bias,Voltage divider,Voltage feedback,,C,
"<p>In an emitter-bias configuration, the ________ the resistance R<sub>E</sub>, the ________ the stability factor, and the ________ stable is the system.</p>","smaller, lower, less","larger, more, more","smaller, more, more","larger, lower, more",,D,
