question,A,B,C,D,E,answer,explanation
"<p>Calculate V<sub>CE</sub>. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_01800.gif""/></p></p>",–4.52 V,4.52 V,–9 V,9 V,,B,
"<p>For the BJT to operate in the active (linear) region, the base-emitter junction must be ________-biased and the base-collector junction must be ________-biased.</p>","forward, forward","forward, reverse","reverse, reverse","reverse, forward",,B,
<p>The cutoff region is defined by I<sub>B</sub> ________ 0 A.</p>,&gt;,&lt;,"<img src=""/_files/images/electronic-devices-and-circuit-theory/lessthanorequalto.gif""/>","<img src=""/_files/images/electronic-devices-and-circuit-theory/greaterthanorequalto.gif""/>",,C,
"<p>Determine the reading on the meter when V<sub>CC</sub> = 20 V, R<sub>C</sub> = 5 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, and I<sub>C</sub> = 2 mA. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_01100.gif""/></p></p>",10 V,–10 V,0.7 V,20 V,,A,
"<p>In a fixed-bias circuit, which one of the stability factors overrides the other factors?</p>",S(I<sub>CO</sub>),S(V<sub>BE</sub>),"S(<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>)",Undefined,,C,
"<p>Calculate the voltage across the 91 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> resistor. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_01400.gif""/></p></p>",18 V,9.22 V,3.23 V,None of the above,,C,
"<p>Calculate the value of V<sub>CE<sub>Q</sub></sub>. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_01500.gif""/></p></p>",8.78 V,0 V,7.86 V,18 V,,C,
"<p>For what value of <img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/> does the transistor enter the saturation region? <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_01000.gif""/></p></p>",20,50,75,116,,D,
"<p>Determine the change in I<sub>C</sub> from 25ºC to 175ºC for the transistor defined in this table for fixed-bias with R<sub>B</sub> = 240 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> and <img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/> = 100 due to the S(V<sub>BE</sub>) stability factor. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_03400.gif""/></p></p>","145.8 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A",145.8 nA,"–145.8 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A",–145.8 nA,,A,
<p>Which of the following is (are) related to an emitter-follower configuration?</p>,The input and output signals are in phase.,The voltage gain is slightly less than 1.,Output is drawn from the emitter terminal.,All of the above,,D,
<p>At what region of operation is the base-emitter junction forward biased and the base-collector junction reverse biased?</p>,Saturation,Linear or active,Cutoff,None of the above,,B,
"<p>You can select the values for the emitter and collector resistors from the information that is provided for this circuit. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_02300.gif""/></p></p>",True,False,,,,B,
"<p>In the case of this circuit, you must assume that V<sub>E</sub> = 0.1·V<sub>CC</sub> in order to calculate R<sub>C</sub> and R<sub>E</sub>. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_02400.gif""/></p></p>",True,False,,,,A,
"<p>For an ""on"" transistor, the voltage V<sub>BE</sub> should be in the neighborhood of 0.7 V.</p>",True,False,,,,A,
"<p>In a voltage-divider circuit, which one of the stability factors has the least effect on the device at very high temperature?</p>",S(I<sub>CO</sub>),S(V<sub>BE</sub>),"S(<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>)",Undefined,,C,
<p>Which of the following is (are) a stability factor?</p>,S(I<sub>CO</sub>),S(V<sub>BE</sub>),"S(<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>)",All of the above,,D,
"<p>Calculate I<sub>C<sub>sat</sub></sub>. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_01600.gif""/></p></p>",35.29 mA,5.45 mA,1.86 mA,4.72 mA,,D,
"<p>Calculate the storage time in a transistor switching network if t<sub>off</sub> is 56 ns, t<sub>f</sub> = 14 ns, and t<sub>r</sub> = 20 ns.</p>",70 ns,42 ns,36 ns,34 ns,,B,
"<p>Determine I<sub>CQ</sub> at a temperature of 175º C if I<sub>CQ</sub> = 2 mA at 25º C for R<sub>B</sub> / R<sub>E</sub> = 20 due to the S(<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>) stability factor.</p>",2.417 mA,2.392 mA,2.25 mA,2.58 mA,,A,
"<p>Calculate E<sub>Th</sub> for this network. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_02100.gif""/></p></p>",−12.12 V,16.35 V,−3.65 V,10 V,,C,
<p>Which of the following currents is nearly equal to each other?</p>,I<sub>B</sub> and I<sub>C</sub>,I<sub>E</sub> and I<sub>C</sub>,I<sub>B</sub> and I<sub>E</sub>,"I<sub>B</sub>, I<sub>C</sub>, and I<sub>E</sub>",,B,
<p>Which of the following voltages must have a negative level (value) in any <i>npn</i> bias circuit?</p>,V<sub>BE</sub>,V<sub>CE</sub>,V<sub>BC</sub>,None of the above,,C,
"<p>Determine the values of V<sub>CB</sub> and I<sub>B</sub> for this circuit. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_02000.gif""/></p></p>","1.4 V, 59.7 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A","–1.4 V, 59.7 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A","–9.3 V, 3.58 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A","9.3 V, 3.58 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A",,A,
"<p>Use this table to determine the change in I<sub>C</sub> from 25ºC to 175ºC for R<sub>B</sub> / R<sub>E</sub> = 250 due to the S(I<sub>CO</sub>) stability factor. Assume an emitter-bias configuration. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_03300.gif""/></p></p>",140.34 nA,"140.34 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A",42.53 nA,0.14034 nA,,B,
"<p>For the typical transistor amplifier in the active region, V<sub>CE</sub> is usually about ________ % to ________ % of V<sub>CC</sub>.</p>","10, 60","25, 75","40, 90",,,B,
"<p>For the BJT to operate in the saturation region, the base-emitter junction must be ________-biased and the base-collector junction must be ________-biased.</p>","forward, forward","forward, reverse","reverse, reverse","reverse, forward",,A,
"<p>The total time required for the transistor to switch from the ""off"" to the ""on"" state is designated as t<sub>on</sub> and defined as the delay time plus the time element.</p>",True,False,,,,A,
"<p>Calculate R<sub>sat</sub> if V<sub>CE</sub> = 0.3 V. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_02200.gif""/></p></p>","49.2 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","49.2 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","49.2 m<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","49.2 M<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,A,
"<p>The ratio of which two currents is represented by <img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>?</p>",I<sub>C</sub> and I<sub>E</sub>,I<sub>C</sub> and I<sub>B</sub>,I<sub>E</sub> and I<sub>B</sub>,None of the above,,B,
<p>Which of the following is assumed in the approximate analysis of a voltage divider circuit?</p>,I<sub>B</sub> is essentially zero amperes.,R<sub>1</sub> and R<sub>2</sub> are considered to be series elements.,"<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>R<sub>E</sub> <img src=""/_files/images/electronic-devices-and-circuit-theory/greaterthanorequalto.gif""/> 10R<sub>2</sub>",All of the above,,D,
<p>The saturation region is defined by V<sub>CE</sub> ________ V<sub>CE<sub>sat</sub></sub>.</p>,&gt;,&lt;,"<img src=""/_files/images/electronic-devices-and-circuit-theory/lessthanorequalto.gif""/>","<img src=""/_files/images/electronic-devices-and-circuit-theory/greaterthanorequalto.gif""/>",,C,
"<p>Calculate V<sub>CE</sub>. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq04_01700.gif""/></p></p>",4.52 V,–4.52 V,4.48 V,–4.48 V,,B,
<p>Which of the following is (are) the application(s) of a transistor?</p>,Amplification of signal,Switching and control,Computer logic circuitry,All of the above,,D,
<p>It is desirable to design a bias circuit that is independent of the transistor beta.</p>,True,False,,,,A,
