question,A,B,C,D,E,answer,explanation
"<p>Calculate the value of V<sub>DS</sub>. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq07_01200.gif""/></p></p>",0 V,0.35 V,3.8 V,33.5 V,,C,
"<p>Calculate the value of V<sub>DS</sub>. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq07_00500.gif""/></p></p>",0 V,8 V,4.75 V,16 V,,D,
"<p>Given the values of V<sub>DQ</sub> and I<sub>DQ</sub> for this circuit, determine the required values of R<sub>D</sub> and R<sub>S</sub>. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq07_02500.gif""/></p></p>","2 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, 2 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","1 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, 5.3 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","3.2 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, 400 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","2.5 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, 5.3 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,C,
"<p>For what value of R<sub>D</sub> is the voltage across V<sub>DS</sub> zero? <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq07_01100.gif""/></p></p>","2.400 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","5.167 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","6.167 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","6.670 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,B,
"<p>For the FET, the relationship between the input and output quantities is ________ due to the ________ term in Shockley's equation.</p>","nonlinear, cubed","linear, proportional","nonlinear, squared",,,C,
"<p>For what value of R<sub>2</sub> is V<sub>GS<sub>Q</sub></sub> equal to 1 V? <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq07_01500.gif""/></p></p>","10 M<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","100 M<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","110 M<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","220 M<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,B,
<p>Which of the following is (are) true of a self-bias configuration compared to a fixed-bias configuration?</p>,One of the dc supplies is eliminated.,A resistor R<sub>S</sub> is added.,V<sub>GS</sub> is a function of the output current I<sub>D</sub>.,All of the above,,D,
<p>The input controlling variable for a(n) ________ is a current level and a voltage level for a(n) ________.</p>,"BJT, FET","FET, BJT","FET, FET","BJT, BJT",,A,
"<p>Through proper design, a ________ can be introduced that will affect the biasing level of a voltage-controlled JFET resistor.</p>",photodiode,thermistor,laser diode,Zener diode,,B,
"<p>For what value of R<sub>S</sub> can the depletion-type MOSFETs operate in enhancement mode? <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq07_01700.gif""/></p></p>","2.4 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","5 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","6.2 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",None of the above,,C,
