question,A,B,C,D,E,answer,explanation
"<p>Determine the total discharge time for the capacitor in a clamper having C = 0.01 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>F and R = 500 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>.</p>",5 ms,25 ms,2.5 ms,50 ms,,B,
"<p>Which element dictates the maximum level of source voltage? <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq02_03100.gif""/></p></p>",V<sub>Z</sub>,I<sub>ZM</sub>,I<sub>Z</sub>,None of the above,,B,
<p>What type of diode circuit is used to clip off portions of signal voltages above or below certain levels?</p>,clipper or limiter,clamper,IC voltage regulator,none of the above,,A,
<p>Each diode in a center-tapped full-wave rectifier is ________ -biased and conducts for ________ of the input cycle.</p>,"forward, 90º","reverse, 180º","forward, 180º","reverse, 90º",,C,
"<p>What is the voltage measured from the negative terminal of C<sub>4</sub> to the negative terminal of the transformer? <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq02_03300.gif""/></p></p>",–10 V,–20 V,10 V,20 V,,B,
<p>The output frequency of a full-wave rectifier is ________ the input frequency.</p>,one-half,equal to,twice,one-quarter,,C,
<p>PIV is which of the following?</p>,peak input voltage,peak inverse voltage,peak immediate voltage,positive input voltage,,B,
"<p>Determine the peak value of the current through the load resistor. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq02_02000.gif""/></p></p>",2.325 mA,5 mA,1.25 mA,0 mA,,A,
"<p>Determine the peak value of the output waveform. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq02_02400.gif""/></p></p>",25 V,15 V,–25 V,–15 V,,B,
"<p>In a regulated supply, what term describes how much change occurs in the output voltage for a given change in the input voltage?</p>",load regulation,voltage regulator,line regulation,ripple voltage,,C,
"<p>A short circuit has a ________ drop across its terminals, and the current is limited only by the surrounding network.</p>",5 V,0 V,1 V,"<img src=""/_files/images/electronic-devices-and-circuit-theory/infinity.gif""/>",,B,
"<p>Determine the peak for both half cycles of the output waveform. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq02_02500.gif""/></p></p>","16 V, –4 V","16 V, 4 V","–16 V, 4 V","–16 V, –4 V",,A,
<p>What is the peak inverse voltage across each diode in a voltage doubler?</p>,V<sub>m</sub>,2V<sub>m</sub>,0.5V<sub>m</sub>,0.25V<sub>m</sub>,,B,
<p>What is the V<sub>RRM</sub> (PIV rating) for the 1N4001 rectifier diode?</p>,50 V,100 V,200 V,400 V,none of the above,A,
<p>What type of diode circuit is used to add or restore a dc level to an electrical signal?</p>,clipper or limiter,clamper,IC voltage regulator,none of the above,,B,
"<p>Determine I<sub>D2</sub>. <p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq02_01400.gif""/></p></p>",6.061 mA,0.7 mA,3.393 mA,3.571 mA,,C,
