question,A,B,C,D,E,answer,explanation
<p>A common-gate amplifier is similar in configuration to which BJT amplifier?</p>,common-emitter,common-collector,common-base,emitter-follower,,C,
<p>The <i>theoretical</i> efficiency of a class D amplifier is</p>,75%.,85%.,90%.,100%.,,D,
<p>A common-source amplifier is similar in configuration to which BJT amplifier?</p>,common-base,common-collector,common-emitter,emitter-follower,,C,
"<p><p>Refer to this figure. If R<sub>6</sub> opened, the signal at the drain of Q<sub>1</sub> would</p>
<p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq8_1017_1.jpeg""/></p></p>",increase.,decrease.,remain the same.,distort.,,C,
"<p><p>Refer to this figure. Find the value of V<sub>D</sub>.</p>
<p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq8_1007_1.jpeg""/></p></p>",20 V,11 V,10 V,9 V,,D,
<p>A BJT is a ________-controlled device.</p>,current,voltage,,,,A,
"<p>Referring to this figure, calculate A<sub>v</sub> if r<sub>d</sub> = 19 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq08_03200.gif""/></p></p>",–2.85,–3.26,–2.95,–3.21,,C,
<p>A common-drain amplifier is similar in configuration to which BJT amplifier?</p>,common-emitter,common-collector,common-base,common-gate,,B,
"<p>Referring to this figure, calculate A<sub>v</sub> for y<sub>os</sub> = 58 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>S. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq08_02900.gif""/></p></p>",–7.29,–7.50,–8.05,–8.55,,A,
"<p><p>Refer to this figure. If V<sub>in</sub> = 1 V p-p, the output voltage V<sub>out</sub> would be</p>
<p><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq8_1007_1.jpeg""/></p></p>",undistorted.,clipped on the negative peaks.,clipped on the positive peaks.,0 V p-p.,,A,
"<p>Use the following equation to calculate g<sub>m</sub> for a JFET having I<sub>DSS</sub> = 10 mA, V<sub>P</sub> = –5 V, and V<sub>GS<sub>Q</sub></sub> = –2.5 V. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq08_00900.gif""/></p></p>",2 mS,3 mS,4 mS,5 mS,,A,
<p>For what value of I<sub>D</sub> is g<sub>m</sub> equal to 0.5 g<sub>m0</sub>?</p>,0 mA,0.25 I<sub>DSS</sub>,0.5 I<sub>DSS</sub>,I<sub>DSS </sub>,,B,
