question,A,B,C,D,E,answer,explanation
"<p>In a class D amplifier, the output transistors are operated in a nonlinear mode.</p>",True,False,,,,A,
"<p>Generally, higher voltage gains can be achieved with bipolar amplifiers than with FET amplifiers.</p>",True,False,,,,A,
<p>Bypassing a source resistor reduces the voltage gain.</p>,True,False,,,,B,
<p>Class D amplifier efficiencies can reach practical levels of more than 90%.</p>,True,False,,,,A,
<p>There is no phase inversion between the gate and the drain voltages.</p>,True,False,,,,B,
<p>The common-drain amplifier is also called a source-follower.</p>,True,False,,,,A,
<p>A load resistance connected to the output of an amplifier reduces the voltage gain.</p>,True,False,,,,A,
"<p>In a class D amplifier, the low-pass filter comes directly after the pulse-width modulator.</p>",True,False,,,,B,
<p>The common-drain configuration has extremely high input resistance.</p>,True,False,,,,A,
<p>The voltage gain of a common-source amplifier is found by the product of g<sub>m</sub> and R<sub>d</sub>.</p>,True,False,,,,A,
<p>The common-gate configuration has extremely high input resistance.</p>,True,False,,,,B,
<p>Digital MOSFET switches are used in the sample-and-hold circuit of an analog-to-digital converter.</p>,True,False,,,,B,
"<p>In an analog MOSFET switch, the input is applied to the gate and the output is taken from the source.</p>",True,False,,,,B,
<p>The common-source configuration has extremely high input resistance.</p>,True,False,,,,A,
<p>There is a 180º phase inversion between the gate and source voltages.</p>,True,False,,,,B,
