question,A,B,C,D,E,answer,explanation
<p>One of the most important characteristics of the FET is its ________ impedance.</p>,low input,medium input,high input,None of the above,,C,
<p>The pinch-off voltage continues to drop in a ________ manner as V<sub>GS</sub> becomes more and more negative.</p>,linear,parabolic,cubic,None of the above,,B,
"<p>In a curve tracer, the ________ reveals the distance between the V<sub>GS</sub> curves for the n-channel device.</p>",vertical sens.,horizontal sens.,Per step,g<sub>m</sub>,,C,
<p>The specification sheet provides ________ to calculate the value of <i>k</i> for enhancement-type MOSFETs.</p>,V<sub>GS(on)</sub>,I<sub>D(on)</sub>,V<sub>GS(Th)</sub>,All of the above,,D,
"<p>In an FET circuit, ________ is normally the parameter to be determined first.</p>",V<sub>GS</sub>,V<sub>DS</sub>,V<sub>DG</sub>,I<sub>D</sub>,,A,
"<p>In an FET transistor, the depletion region is ________ near the top of both <i>p</i>-type materials.</p>",wider,narrower,the same as the rest of the depletion region,None of the above,,A,
<p>The ________ transistor has become one of the most important devices used in the design and construction of integrated circuits for digital computers.</p>,MOSFET,BJT,JFET,None of the above,,A,
<p>The silicon dioxide (SiO<sub>2</sub>) layer used in a MOSFET is ________.</p>,an insulator,a conductor,a semiconductor,None of the above,,A,
<p>VMOS FETs have a ________ temperature coefficient that will combat the possibility of thermal runaway.</p>,positive,negative,zero,None of the above,,A,
<p>The enhancement-type MOSFET is in the cutoff region if ________.</p>,applied V<sub>GS</sub> is larger than V<sub>GS(Th)</sub>,applied V<sub>GS</sub> is less than or equal to V<sub>GS(Th)</sub>,V<sub>GS</sub> has a positive level,None of the above,,B,
<p>A(n) ________ can be used to check the condition of an FET.</p>,digital display meter (DDM),ohmmeter (VOM),curve tracer,All of the above,,C,
"<p>________ has high input impedance, fast switching speeds, and lower operating power levels.</p>",CMOS,FET,BJT,None of the above,,A,
<p>The primary difference between the construction of depletion-type and enhancement-type MOSFETs is ________.</p>,the size of the transistor,the absence of the channel,the reverse bias junction,All of the above,,B,
<p>The region to the right of the pinch-off locus is commonly referred to as the ________ region.</p>,constant-current,saturation,linear amplification,All of the above,,D,
<p>The primary difference between the construction of a MOSFET and an FET is the ________.</p>,construction of the gate connection,low input impedance,threshold voltage,None of the above,,A,
<p>The FET is a ________ device depending solely on either electron (<i>n</i>-channel) or hole (<i>p</i>-channel) conduction.</p>,unipolar,bipolar,tripolar,None of the above,,A,
<p>In an <i>n</i>-channel depletion-type MOSFET the region of positive gate voltages on the drain or transfer characteristics is referred to as the ________ region with the region between cutoff and the saturation level of I<sub>D</sub> referred to as the ________ region.</p>,"depletion, enhancement","enhancement, enhancement","enhancement, depletion",None of the above,,C,
<p>The active region of an FET is bounded by ________.</p>,ohmic region,cutoff region,power line,All of the above,,D,
<p>The level of ________ that results in the significant increase in drain current in enhancement-type MOSFETs is called threshold voltage V<sub>T</sub>.</p>,V<sub>DD</sub>,V<sub>DS</sub>,V<sub>GS</sub>,V<sub>DG</sub>,,C,
<p>A junction field-effect transistor (JFET) is a ________ device.</p>,current-controlled,voltage-controlled,voltage-current controlled,None of the above,,B,
"<p>As V<sub>GS</sub> becomes ________ negative, the slope of each curve in the characteristics becomes ________ horizontal corresponding with an increasing resistance level.</p>","less, more","more, less","more, more",None of the above,,C,
"<p>In an <i>n</i>-channel enhancement-type MOSFET with a fixed value of V<sub>T</sub>, the ________ the level of V<sub>GS</sub>, the ________ the saturation level for V<sub>DS</sub>.</p>","higher, more","higher, less","lower, lower",None of the above,,A,
<p>The FET resistance in the ohmic region is ________ at V<sub>P</sub> and ________ at the origin.</p>,"smallest, largest","largest, smallest","larger, smaller","smaller, larger",,B,
"<p>In the <i>n</i>-channel transistor, the drain and source are connected to the ________ channel while the gate is connected to the two layers of ________ material.</p>","<i>p</i>-type, <i>n</i>-type","<i>p</i>-type, <i>p</i>-type","<i>n</i>-type, <i>p</i>-type","<i>n</i>-type, <i>n</i>-type",,C,
<p>The transfer curve can be obtained by ________.</p>,using Shockley's equation,using both Shockley's equation and by output characteristics,characteristics,None of the above,,B,
