question,A,B,C,D,E,answer,explanation
<p>Which of the following ratings appear(s) in the specification sheet for an FET?</p>,Voltages between specific terminals,Current levels,Power dissipation,All of the above,,D,
<p>What is the level of drain current I<sub>D</sub> for gate-to-source voltages V<sub>GS</sub> less than (more negative than) the pinch-off level?</p>,zero amperes,I<sub>DSS</sub>,Negative value,Undefined,,A,
<p>What is the level of I<sub>G</sub> in an FET?</p>,Zero amperes,Equal to I<sub>D</sub>,Depends on V<sub>DS</sub>,Undefined,,A,
<p>What is the range of an FET's input impedance?</p>,"10 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to 1 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","1 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to 10 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","50 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to 100 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","1 M<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> to several hundred M<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,D,
<p>Which of the following applies to a safe MOSFET handling?</p>,Always pick up the transistor by the casing.,Power should always be off when network changes are made.,Always touch ground before handling the device.,All of the above,,D,
"<p>Refer to this portion of a specification sheet. Determine the values of reverse-gate-source voltage and gate current if the FET was forced to accept it. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq06_02200.gif""/></p></p>","25 Vdc, –200 nAdc","–25 Vdc, 10 mAdc","–6 Vdc, –1.0 nAdc",None of the above,,B,
<p>At which of the following condition(s) is the depletion region uniform?</p>,No bias,V<sub>DS</sub> &gt; 0 V,V<sub>DS</sub> = V<sub>P</sub>,None of the above,,A,
<p>What is the ratio of I<sub>D</sub> / I<sub>DSS</sub> for V<sub>GS</sub> = 0.5 V<sub>P</sub>?</p>,0.25,0.5,1,0,,A,
"<p>Referring to this transfer curve, determine I<sub>D</sub> at V<sub>GS</sub> = 2 V. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq06_01800.gif""/></p></p>",0.444 mA,1.333 mA,0.111 mA,4.444 mA,,A,
<p>Which of the following controls the level of I<sub>D</sub>?</p>,V<sub>GS</sub>,V<sub>DS</sub>,I<sub>G</sub>,V<sub>DG</sub>,,A,
<p>It is the insulating layer of ________ in the MOSFET construction that accounts for the very desirable high input impedance of the device.</p>,SiO,GaAs,SiO<sub>2</sub>,HCl,,C,
<p>The BJT is a ________ device. The FET is a ________ device.</p>,"bipolar, bipolar","bipolar, unipolar","unipolar, bipolar","unipolar, unipolar",,B,
"<p>Referring to this transfer curve. Calculate (using Shockley's equation) V<sub>GS </sub>at I<sub>D</sub> = 4mA. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq06_01700.gif""/></p></p>",2.54 V,–2.54 V,–12 V,Undefined,,B,
<p>The drain current will always be one-fourth of I<sub>DSS</sub> as long as the gate-to-source voltage is ________ the pinch-off value.</p>,one-fourth,one-half,three-fourths,None of the above,,B,
<p>The transfer curve is not defined by Shockley's equation for the ________.</p>,JFET,depletion-type MOSFET,enhancement-type MOSFET,BJT,,C,
"<p>What is the purpose of adding two Zener diodes to the MOSFET in this figure? <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq06_03200.gif""/></p></p>",To reduce the input impedance,To protect the MOSFET for both polarities,To increase the input impedance,None of the above,,B,
"<p>Referring to the following transfer curve, determine the level of V<sub>GS</sub> when the drain current is 20 mA. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq06_02600.gif""/></p></p>",1.66 V,–1.66 V,0.66 V,–0.66 V,,A,
<p>The region to the left of the pinch-off locus is referred to as the ________ region.</p>,saturation,cutoff,ohmic,All of the above,,C,
"<p>Refer to the following curves. Calculate I<sub>D</sub> at V<sub>GS</sub> = 1 V. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq06_02700.gif""/></p></p>",8.167 mA,4.167 mA,6.167 mA,0.616 mA,,B,
<p>Which of the following transistor(s) has (have) depletion and enhancement types?</p>,BJT,JFET,MOSFET,None of the above,,C,
"<p>The three terminals of the JFET are the ________, ________, and ________.</p>","gate, collector, emitter","base, collector, emitter","gate, drain, source","gate, drain, emitter",,C,
<p>Which of the following is (are) the terminal(s) of a field-effect transistor (FET).</p>,Drain,Gate,Source,All of the above,,D,
<p>A BJT is a ________-controlled device. The JFET is a ________ - controlled device.</p>,"voltage, voltage","voltage, current","current, voltage","current, current",,C,
<p>How many terminals can a MOSFET have?</p>,2,3,4,3 or 4,,D,
"<p>Refer to the following figure. Calculate V<sub>GS</sub> at I<sub>D</sub> = 8 mA for k = 0.278 × 10<sup>–2</sup> A/V<sup>2</sup>. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq06_02900.gif""/></p></p>",3.70 V,5.36 V,7.36 V,2.36 V,,A,
<p>The level of V<sub>GS</sub> that results in I<sub>D</sub> = 0 mA is defined by V<sub>GS</sub> = ________.</p>,V<sub>GS(off)</sub>,V<sub>P</sub>,V<sub>DS </sub>,None of the above,,B,
<p>Which of the following FETs has the lowest input impedance?</p>,JFET,MOSFET depletion-type,MOSFET enhancement-type,None of the above,,A,
<p>Which of the following applies to MOSFETs?</p>,No direct electrical connection between the gate terminal and the channel,Desirable high input impedance,"Uses metal for the gate, drain, and source connections",All of the above,,D,
<p>At which of the following is the level of V<sub>DS</sub> equal to the pinch-off voltage?</p>,When I<sub>D</sub> becomes equal to I<sub>DSS</sub>,When V<sub>GS</sub> is zero volts,I<sub>G</sub> is zero,All of the above,,D,
<p>Which of the following represent(s) the cutoff region for an FET?</p>,I<sub>D</sub> = 0 mA,V<sub>GS</sub> = V<sub>P</sub>,I<sub>G</sub> = 0,All of the above,,D,
<p>Which of the following is (are) the advantage(s) of VMOS over MOSFETs?</p>,Reduced channel resistance,Higher current and power ratings,Faster switching time,All of the above,,D,
<p>Hand-held instruments are available to measure ________ for the BJT.</p>,"<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/><align=absmiddle>dc</align=absmiddle>",I<sub>DSS</sub>,V<sub>P</sub>,All of the above,,A,
<p>Which of the following input impedances is not valid for a JFET?</p>,"10<sup>10</sup><img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","10<sup>9</sup> <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","10<sup>8</sup> <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","10<sup>11</sup> <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,C,
