question,A,B,C,D,E,answer,explanation
<p>What is the level of the output voltage of a ladder-network conversion?</p>,The analog output voltage proportional to the digital input voltage,The digital output voltage proportional to the linear input voltage,A fixed digital value V<sub>ref</sub>,A fixed analog value V<sub>ref</sub>,,A,
<p>Which of the following is not a linear/digital IC?</p>,Phase-locked loop,Voltage-controlled oscillator,Passive filter,Comparator,,C,
<p>A 339 IC is an example of a fourteen-pin DIP that can be made to function as a ________.</p>,comparator,555 timer,D to A converter,ladder network,,A,
<p>What is the minimum number of conversions per second of a clock rate of 1 MHz operating a 10-stage counter in an ADC?</p>,1000,976,769,697,,B,
<p>Which of the following is (are) the results of improvements built into a comparator IC?</p>,Faster switching between the two output levels,Noise immunity,Outputs capable of directly driving a variety of loads,All of the above,,D,
<p>What is the first phase of the dual-slope method of conversion?</p>,Connecting the analog voltage to the integrator for a fixed time,Setting the counter to zero,Connecting the integrator to a reference voltage,All of the above,,A,
<p>What is the maximum conversion time of a clock rate of 1 MHz operating a 10-stage counter in an ADC?</p>,1.024 s,102.3 ms,10.24 ms,1.024 ms,,D,
<p>On which of the following does the conversion depend in ladder-network conversion?</p>,Comparator,Control logic,Digital counter,Clock,,A,
"<p>The voltage-controlled oscillator is a subset of the ""test bench"" function generator.</p>",True,False,,,,A,
"<p>Which application best describes this 555 timer circuit? <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq13_02600.gif""/></p></p>",Monostable multivibrator,Astable multivibrator,Bistable multivibrator,Free-running multivibrator,,A,
<p>Which of the following applications include a phase-locked loop (PLL) circuit?</p>,Modems,Am decoders,Tracking filters,All of the above,,D,
"<p>Determine the free-running frequency when R<sub>3</sub> is set to 2.5 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq13_03000.gif""/></p></p>",19.7 kHz,32.5 kHz,116.39 kHz,212.9 kHz,,C,
"<p>This figure is a block diagram of a(n) ________. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq13_02200.gif""/></p></p>",ADC,DAC,comparator,555 timer,,A,
<p>What is the function of a ladder network?</p>,Changing an analog signal to a digital signal,Changing a linear signal to a digital signal,Changing a digital signal to an analog signal,None of the above,,C,
<p>Which of the slope intervals of the integrator does the counter in the analog-to-digital converter (ADC) operate?</p>,Positive,Negative,Both positive and negative,Neither positive nor negative,,C,
<p>A 311 IC is an example of an eight-pin DIP that can be made to function as a ________.</p>,comparator,555 timer,D to A converter,ladder network,,A,
"<p>Determine the free-running frequency for this circuit. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq13_02900.gif""/></p></p>",32.5 kHz,53.33 kHz,533.3 kHz,5.3 MHz,,B,
<p>What is (are) the level(s) of the input voltage to a ladder-network conversion?</p>,0,V<sub>ref </sub>,0 V or V<sub>ref </sub>,None of the above,,C,
"<p>Which application best describes this 555 timer circuit? <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq13_02500.gif""/></p></p>",Monostable multivibrator,Astable multivibrator,Bistable multivibrator,One-shot multivibrator,,B,
<p>At which of the following period(s) is the counter advanced (incremented) in dual-slope conversion?</p>,During the charging of the capacitor of the integrator,During the discharging of the capacitor of the integrator,During both the charging and discharging of the capacitor of the integrator,None of the above,,B,
<p>How many Vcc connections does the 565 PLL use?</p>,0,1,2,3,,C,
<p>What is (are) the input(s) to the comparator in the ladder-network conversion of an ADC?</p>,Staircase voltage,Analog input voltage,Both staircase and analog input voltage,None of the above,,C,
"<p>This circuit is an example of a ________. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq13_02100.gif""/></p></p>",comparator,555 timer,D to A converter,ladder network,,D,
<p>Which of the following best describes limitations for the 566 VCO?</p>,"<img src=""/_files/images/electronic-devices-and-circuit-theory/mca13_0280a.gif""/>","<img src=""/_files/images/electronic-devices-and-circuit-theory/mca13_0280b.gif""/>",f<sub>o</sub> &lt; 1 MHz,All of the above,,D,
<p>How many comparators does a 339 IC contain?</p>,4,3,2,1,,A,
<p>When is the counter set to zero in the dual-slope method of conversion?</p>,Prior to the charging of the capacitor of the integrator,While the capacitor is being charged,At the end of the charging of the capacitor,During the discharging of the capacitor,,C,
<p>The 555 timer IC is made up of a combination of linear comparators and digital flip-flops.</p>,True,False,,,,A,
"<p>This circuit is an example of a ________. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq13_00500.gif""/></p></p>",comparator,555 timer,D to A converter,ladder network,,A,
<p>Which of the following devices is (are) a component of a digital-to-analog converter (DAC)?</p>,Integrator,Comparator,Digital counter,All of the above,,D,
<p>Which of the following circuits is (are) linear/digital ICs?</p>,Comparators,Timers,Voltage-controlled oscillators,All of the above,,D,
<p>Which of the following best describes the output of a 566 voltage-controlled oscillator?</p>,Square-wave,Triangular-wave,Both square- and triangular-wave,None of the above,,C,
<p>What is the voltage resolution of an 8-stage ladder network?</p>,V<sub>ref</sub> /128,V<sub>ref</sub> /256,V<sub>ref</sub> /512,V<sub>ref</sub> /1024,,B,
"<p>The timing components for a PLL are 15 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> and 220 pF. Calculate the free-running frequency.</p>",90.91 kHz,136.36 kHz,156.1 kHz,181.8 kHz,,A,
<p>Which of the following frequencies is associated with the 565 frequency-shift keyed decoder?</p>,1070 Hz,1270 Hz,Both 1070 Hz and 1270 Hz,None of the above,,C,
"<p>Calculate the frequency of this circuit. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq13_02300.gif""/></p></p>",635 Hz,450 Hz,228 Hz,128 Hz,,D,
