question,A,B,C,D,E,answer,explanation
"<p>Calculate the output voltage for this circuit when V<sub>1</sub> = 2.5 V and V<sub>2</sub> = 2.25 V. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq11_02900.gif""/></p></p>",–5.25 V,2.5 V,2.25 V,5.25 V,,D,
"<p>Calculate the output voltage if V<sub>1</sub> = –0.2 V and V<sub>2</sub> = 0 V. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq11_01600.gif""/></p></p>",0 V,–6.6 V,–4 V,2 V,,D,
<p>A number of op-amp stages can be used to provide separate gains.</p>,True,False,,,,A,
"<p>Determine the output voltage when V<sub>1</sub> = –V<sub>2</sub> = 1 V. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq11_02200.gif""/></p></p>",0 V,–2 V,1 V,2 V,,B,
<p>How many op-amps are required to implement this equation? <p>V<sub>o</sub> = V<sub>1</sub></p></p>,2,3,4,1,,D,
"<p>Calculate the output voltage if V<sub>1</sub> = V<sub>2</sub> = 0.15 V. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq11_01200.gif""/></p></p>",0 V,4.65 V,6.45 V,–6.45 V,,D,
"<p>Determine the output voltage for this circuit with a sinusoidal input of 2.5 mV. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq11_00100.gif""/></p></p>",–0.25 V,–0.125 V,0.25 V,0.125 V,,B,
"<p>Determine the output voltage when V<sub>1</sub> = V<sub>2</sub> = 1 V. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq11_02100.gif""/></p></p>",0 V,–2 V,1 V,2 V,,A,
"<p>How many op-amps are required to implement this equation? <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq11_02500.gif""/></p></p>",2,3,4,1,,A,
"<p>Calculate the input voltage if the final output is 10.08 V. <br/><br/> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq11_00800.gif""/></p>",–1.05 V,0.525 V,0.168 V,4.2 V,,C,
"<p>Calculate the output of the first-stage op-amp when V<sub>1</sub> = 25 mV. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq11_00600.gif""/></p></p>",–1.05 V,0.075 V,0.06 V,4.2 V,,B,
"<p>How many op-amps are required to implement this equation? <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq11_02600.gif""/></p></p>",2,3,4,1,,D,
"<p>Calculate the output voltage if V<sub>1</sub> = V<sub>2</sub> = 700 mV. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq11_01900.gif""/></p></p>",0 V,–12 V,12 V,–8 V,,A,
"<p>Calculate the cutoff frequencies of a bandpass filter with R<sub>1</sub> = R<sub>2</sub> = 5 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> and C<sub>1</sub> = C<sub>2</sub> = 0.1 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>F.</p>","f<sub>OL</sub> = 318.3 Hz, f<sub>OH</sub> = 318.3 Hz","f<sub>OL</sub> = 636.6 Hz, f<sub>OH</sub> = 636.6 Hz","f<sub>OL</sub> = 318.3 Hz, f<sub>OH</sub> = 636.6 Hz","f<sub>OL</sub> = 636.6 Hz, f<sub>OH</sub> = 318.3 Hz",,A,
"<p>Calculate the output voltage if V<sub>1</sub> = 300 mV and V<sub>2</sub> = 700 mV. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq11_01800.gif""/></p></p>",0 V,–12 V,12 V,–4 V,,D,
"<p>Calculate the output voltage. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq11_00300.gif""/></p></p>",–6.00 mV,6.0 mV,6.12 mV,–6.12 mV,,C,
