question,A,B,C,D,E,answer,explanation
"<p>An amplifier is stable if the absolute magnitude of <img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>A is ________.</p>","<img src=""/_files/images/electronic-devices-and-circuit-theory/infinity.gif""/>",less than 1,greater than 1,None of the above,,B,
<p>________ is a frequency-determining component in a unijunction oscillator.</p>,Total resistance,Total capacitance,Intrinsic stand-off ratio,All of the above,,D,
"<p>In the Colpitts oscillator, the elements X<sub>1</sub> and X<sub>2</sub> are ________ and X<sub>3</sub> is a(n) ________. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/fbq14_01700.gif""/></p></p>","inductors, capacitor","capacitors, inductor","capacitors, resistor","inductors, resistor",,B,
"<p>In a Hartley oscillator, the elements X<sub>1</sub> and X<sub>2</sub> are ________ and X<sub>3</sub> is a(n) ________. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/fbq14_01800.gif""/></p></p>","inductors, capacitor","capacitors, inductor","capacitors, resistor","inductors, resistor",,A,
<p>A feedback amplifier has a ________ upper 3-dB frequency and a ________ lower 3-dB frequency compared to an amplifier without feedback.</p>,"smaller, higher","higher, smaller","smaller, smaller","higher, higher",,B,
<p>What is the gain at the origin of the Nyquist plot?</p>,Zero,A negative value,A positive value,Undefined,,A,
<p>Positive feedback results in ________.</p>,decreased voltage gain,increased voltage gain,oscillation in the circuit,None of the above,,C,
"<p>In the Wien bridge oscillator with R<sub>1</sub> = R<sub>2</sub> = R and C<sub>1</sub> = C<sub>2</sub> = C, a ratio of R<sub>3</sub> to R<sub>4</sub> will provide sufficient loop gain for the circuit to oscillate. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/fbq14_01500.gif""/></p></p>",0,0.5,1,2,,D,
"<p>In the phase-shift oscillator, the operating frequency is determined by ________.</p>",resistance only,capacitance only,LC combinations,RC combinations,,D,
"<p>In the Barkhausen criterion, the loop gain A is equal to ________.</p>","<img src=""/_files/images/electronic-devices-and-circuit-theory/infinity.gif""/>","200,000",0,1,,D,
<p>Negative feedback results in ________.</p>,decreased voltage gain,increased voltage gain,oscillation in the circuit,None of the above,,A,
"<p>With feedback, <img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>, the overall gain of the circuit is reduced by a factor ________ where A is the gain without the feedback.</p>","<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>","A<img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>",A,"1 + <img src=""/_files/images/electronic-devices-and-circuit-theory/beta.gif""/>A",,D,
<p>Series-feedback connections tend to ________ the input resistance. Shunt feedback connections tend to ________ the input resistance.</p>,"decrease, increase","increase, decrease","increase, increase","decrease, decrease",,B,
"<p>In practice, A is made ________ and the system is started oscillating by amplifying noise voltage, which is always present.</p>",greater than 1,smaller than 1,equal to 1,None of the above,,A,
<p>Voltage feedback connections tend to ________ the output impedance. Current feedback connections tend to ________ the output impedance.</p>,"decrease, increase","increase, decrease","increase, increase","decrease, decrease",,A,
"<p>In the phase-shift oscillator, the gain of the amplifier stage must be ________.</p>",0,less than 29,greater than 29,"<img src=""/_files/images/electronic-devices-and-circuit-theory/infinity.gif""/>",,C,
<p>The series-resonant impedance of a crystal oscillator is ________.</p>,very low,low,medium,very high,,A,
<p>An amplifier with negative feedback has ________ bandwidth than (as) the amplifier without feedback.</p>,the same,less,more,None of the above,,C,
<p>The parallel-resonant impedance of a crystal oscillator is ________.</p>,very low,low,medium,very high,,D,
"<p>In a Nyquist plot, as the frequency increases, the phase shift between input and output signals ________.</p>",remains the same,decreases,increases,None of the above,,C,
"<p>At the series-resonant frequency, the amount of positive feedback is ________.</p>",very large,large,small,very small,,A,
"<p>Since the crystal losses represented by R are small, the equivalent crystal Q (quality factor) is ________.</p>",very low,low,medium,high,,D,
"<p>In the Colpitts oscillator, the frequency is determined by ________ .</p>",resistance only,inductance only,capacitance only,both inductance and a capacitance,,D,
"<p>Typically, a unijunction transistor has a stand-off ratio from ________ to ________.</p>","0.0, 0.2","0.2, 0.4","0.4, 0.6","0.6, 0.8",,C,
<p>Crystal oscillators are used whenever a(n) ________ level of stability is required.</p>,lower,average,greater,None of the above,,C,
