question,A,B,C,D,E,answer,explanation
<p>The peak and valley currents of the PUT are typically ________ those of a similarly rated UJT.</p>,lower than,the same as,higher than,None of the above,,A,
"<p>The ________ the anode gate current, the ________ the required anode-to-cathode voltage to turn the SCS device on.</p>","higher, higher","lower, lower","higher, lower",None of the above,,C,
"<p>SCRs have been designed to control powers as high as ________, with individual ratings as high as ________ at ________.</p>","1800 MW, 10 A, 2000 V","1800 MW, 2000 A, 10 V","10 MW, 2000 A, 1800 V","2000 MW, 10 A, 1800 V",,C,
<p>The two-layer semiconductor diode has led to ________layer devices.</p>,three-,four-,five-,All of the above,,D,
<p>The minimum operating voltage of the UJT is typically ________ that of a similarly rated PUT.</p>,lower than,the same as,higher than,None of the above,,C,
"<p>In general, the triggering (turn-on) anode gate current is ________ the required cathode gate current.</p>",larger than,the same as,smaller than,None of the above,,A,
<p>The four-layer devices with a control mechanism are commonly referred to as ________.</p>,thyristors,transistors,diodes,None of the above,,A,
<p>________ is(are) example(s) of applications of phototransistors.</p>,Punch-card readers,"Lighting control (for example, on highways)",Level indication,All of the above,,D,
<p>________ in light intensity corresponds with ________ in collector current.</p>,"An increase, an increase","An increase, a decrease","A decrease, an increase",None of the above,,A,
<p>A(n) ________ can be triggered in either direction.</p>,SCR,Shockley diode,diac,SCS,,C,
"<p>At –65ºC the minimum current that will trigger the series of an SCR is ________, while at +150ºC only ________ is required.</p>","20 mA, 100 mA","50 mA, 75 mA","75 mA, 50 mA","100 mA, 20 mA",,D,
<p>The current induced by photoelectric effects is the ________ current of the transistor.</p>,collector,base,emitter,None of the above,,B,
"<p>The switching time of an opto-isolator ________ with increased current, while for many devices it is exactly the reverse.</p>",increases,decreases,remains the same,None of the above,,B,
<p>The ________ are the terminals of SCRs.</p>,anode and cathode,"anode, gate, and cathode","base, anode, and cathode",gate and anode,,B,
<p>An opto-isolator contains ________.</p>,an infrared LED,a photodetector,both an infrared LED and a photodetector,None of the above,,C,
<p>The method(s) for turning off an SCR is (are) categorized as ________.</p>,current interruption,forced commutation,both current interruption and forced commutation,None of the above,,C,
"<p>In a programmable unijunction transistor (PUT), the ________ can be controlled through a couple of resistors and the supply voltage.</p>",interbase resistance R<sub>BB</sub>,intrinsic stand-off ratio,emitter firing potential V<sub>P</sub>,All of the above,,D,
<p>The ________ are the terminals of an SCS.</p>,"anode, anode gate, cathode gate, and cathode","anode, cathode, cathode gate, and gate","anode, anode gate, cathode, and gate","anode, cathode, and gate",,A,
<p>The SCRs have typical turn-on times of ________ in the regeneration action.</p>,0.1 μs to 1 μs,0.1 ms to 1 ms,3 ms to 5 ms,5 ms to 9 ms,,A,
"<p>In the conduction region, the dynamic resistance of the SCR is typically ________ to ________.</p>","0.01 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, 0.1 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","1 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, 10 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","50 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, 100 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","500 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, 10 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,A,
<p>The anode gate connection can be used to turn the SCS device ________.</p>,on,off,neither on nor off,either on or off,,D,
<p>________ is (are) the element(s) of a unijunction transistor's equivalent circuit.</p>,One fixed resistor,A variable resistor,A diode,All of the above,,D,
"<p>To turn on an SCS device, a ________ pulse must be applied to the anode gate terminal; to turn off the device, a ________ pulse is required.</p>","positive, positive","negative, positive","positive, negative","negative, negative",,B,
"<p>In a half-wave variable-resistance phase control operation, the control cannot be extended past a ________ phase displacement.</p>",45º,90º,135º,180º,,B,
<p>________ are areas of application for SCRs.</p>,Relay controls,Time-delay circuits,Motor controls,All of the above,,D,
