question,A,B,C,D,E,answer,explanation
"<p>This is an example of the output swing for a class ________ amplifier. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq12_01000.gif""/></p></p>",A,B,AB,C,D,B,
"<p>Calculate V<sub>B2</sub>.

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq9_1015_1.jpeg""/></p>",0 V,0.7 V,9.3 V,10.7 V,,C,
"<p>Class B operation is provided when the dc bias leaves the transistor biased just off, the transistor turning on when the ac signal is applied.</p>",True,False,,,,A,
<p>The main features of a large-signal amplifier is the circuit's ________.</p>,power efficiency,maximum power limitations,impedance matching to the output device,All of the above,,D,
<p>The principal advantage(s) of BJTs over MOSFETs is (are) that</p>,voltage drop across the transistor is important.,they are not as prone to ESD.,both of the above,none of the above,,C,
"<p>A silicon power transistor is operated with a heat sink (<img src=""/_files/images/electronic-devices-and-circuit-theory/theta.gif""/> <sub>SA</sub> = 1.5ºC/W). The transistor, rated at 150 W (25ºC), has <img src=""/_files/images/electronic-devices-and-circuit-theory/theta.gif""/><sub>JC</sub> = 0.5º C/W, and the mounting insulation has <img src=""/_files/images/electronic-devices-and-circuit-theory/theta.gif""/><sub>CS</sub> = 0.6 ºC/W. What is the maximum power that can be dissipated if the ambient temperature is 50ºC and T<sub>Jmax</sub> = 200 ºC?</p>",61.5 W,60.0 W,57.7 W,55.5 W,,C,
"<p>Refer to this figure. The dc voltage on the collector, V<sub>C</sub>, is

<br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq7_1010_1.jpeg""/><br/></p>",5.4 V.,6.6 V.,12 V.,0 V.,,A,
<p>What is the ratio of the secondary voltage to the primary voltage with the turn ratio in the windings?</p>,N<sub>2</sub>/N<sub>1</sub>,(N<sub>1</sub>/N<sub>2</sub>)<sup>2</sup>,(N<sub>1</sub>/N<sub>2</sub>)<sup>1/3</sup>,N<sub>1</sub> × N<sub>2</sub>,,A,
<p>Class ________ amplifiers are normally operated in a push-pull configuration in order to produce an output that is a replica of the input.</p>,A,B,C,AB,,D,
"<p>You find that there is an input signal on the base of Q<sub>1</sub> and Q<sub>2</sub>. However, there is no output signal. You then measure the dc voltages on Q<sub>2</sub> and find them to be all 0 V. The possible trouble might be

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq9_1015_1.jpeg""/></p>",C<sub>3</sub> is shorted.,C<sub>1</sub> is open.,R<sub>L</sub> is shorted.,V<sub>CC</sub> is 0 V.,,D,
<p>Which type of power amplifier is biased for operation at less than 180º of the cycle?</p>,Class A,Class B or AB,Class C,Class D,,C,
<p>Class AB operation is ________ operation.</p>,similar to class A,similar to class B,similar to class C,None of the above,,D,
<p>The principal advantage(s) of MOSFETs over BJTs is (are)</p>,their biasing networks are simpler.,their drive requirements are simpler.,they can be connected in parallel for added drive capability.,all of the above,,D,
<p>Which of the following instruments allows more precise measurement of the harmonic components of a distorted signal?</p>,Digital multimeter,Spectrum analyzer,Oscilloscope,Wave analyzer,,D,
"<p>In class B operation, at what fraction of V<sub>CC</sub> should the level of V<sub>L</sub>(p) be to achieve the maximum power dissipated by the output transistor?</p>",0.5,0.636,0.707,1,,B,
<p>What is the maximum temperature rating for silicon power transistors?</p>,50º to 80º,100º to 110º,150º to 200º,250º to 300º,,C,
<p>What is the maximum efficiency of a class A circuit with a direct or series-fed load connection?</p>,90%,78.5%,50%,25%,,D,
"<p>You have an oscilloscope across R<sub>L</sub> and it shows a zero signal voltage. The problem might be that

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq9_1015_1.jpeg""/></p>",C<sub>3</sub> is open.,BE<sub>1</sub> is open.,BE<sub>2</sub> is open.,R<sub>1</sub> is open.,,A,
