question,A,B,C,D,E,answer,explanation
<p>The 7812 regulator IC provides ________.</p>,5 V,–5 V,12 V,–12 V,,C,
"<p>Refer to the given figure. If the zener diode had a rating of 1.7 V, the output voltage would be

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq18_1006_1a.jpeg""/></p>",2.13 V.,8.36 V.,20.16 V.,25 V.,,B,
"<p>Refer to the given figure. This circuit operates at a ________ frequency, and its efficiency is ________.

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq18_1006_1c.jpeg""/></p>","low, low","low, high","high, high","high, low",,C,
<p>Voltage regulators keep a constant ________ output voltage when the input or load varies within limits.</p>,dc,ac,ripple,,,A,
"<p>Calculate the ripple voltage of a full-wave rectifier with a 75-<img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>F filter capacitor connected to a load drawing 40 mA.</p>",1.20 V,1.28 V,1.32 V,1.41 V,,B,
<p>In which period is the capacitor filter discharged through the load in a full-wave rectifier?</p>,The time during the positive cycle,The time during which the diodes are not conducting,The time during which the diode(s) is (are) conducting,The time during the negative cycle,,B,
<p>The 7805 regulator IC provides ________.</p>,5 V,–5 V,12 V,–12 V,,A,
<p>What is the range of the voltage level of the LM317 adjusted voltage regulator?</p>,0 V to 5 V,1.2 V to 37 V,–5 V to –24 V,5 V to 24 V,,B,
"<p>A voltage regulator with a no-load output dc voltage of 12 V is connected to a load with a resistance of 10 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>. If the load resistance decreases to 7.5 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>, the load voltage will decrease to 10.9 V. The load current will be ________, and the percent load regulation is ________.</p>","1.45 A, 90.8%","1.45 A, 10.09%","1.2 A, 90.8%","1.2 A, 10.09%",,B,
"<p>Refer to the given figure. Determine the output voltage, V<sub>OUT</sub>.

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq18_1006_1a.jpeg""/></p>",25 V,5.1 V,20.2 V,4.1 V,,C,
"<p>Refer to the given figure. This circuit is known as

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq18_1006_1b.jpeg""/></p>",a series-pass voltage regulator.,a shunt voltage regulator.,a step-up switching regulator.,a step-down switching regulator.,,B,
<p>Calculate the voltage regulation of a power supply having V<sub>NL</sub> = 50 V and V<sub>FL</sub> = 48 V.</p>,4.17%,5.2%,6.2%,7.1%,,A,
<p>Switching regulator efficiencies can be greater than ________ percent.</p>,60,70,80,90,,D,
<p>The 7912 regulator IC provides ________ .</p>,5 V,–5 V,12 V,–12 V,,D,
"<p>If a peak rectified voltage for the full-wave filter circuit is 40 V, calculate the filter dc voltage if C = 75 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>F and load current is 40 mA.</p>",27.9 V,32.12 V,37.78 V,40 V,,C,
<p>What is the typical dropout voltage for the 7812 fixed positive voltage regulator?</p>,4 mV,100 mV,1.5 V,2 V,,D,
<p>What is the ratio of the period of the output voltage to the period of the input voltage in a full-wave rectifier?</p>,0,0.5,1,2,,B,
"<p>If the value of full-load voltage is the same as the no-load voltage, the voltage regulation calculated is ________ %, which is the best expected.</p>",0,1,99,100,,A,
<p>Calculate the ripple of a filter output having a 20-V dc component and a 1.7 V<sub>r</sub>(rms) ac component.</p>,6%,8.5%,85%,58%,,B,
<p>A voltage regulator has a no-load output of 18 V and a full-load output of 17.3 V. The percent load regulation is</p>,0.25%.,96.1%.,4.05%.,1.04%.,,C,
<p>A switching regulator that is configured as a voltage-inverter produces what type of output?</p>,an ac output with opposite phase to the input ac,a dc output that is the negative of the dc input voltage,an output that is a higher voltage than the input voltage,an ac output from a dc input voltage,,B,
"<p>Refer to the given figure. This circuit is called

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq18_1006_1c.jpeg""/></p>",a series-pass voltage regulator.,a shunt voltage regulator.,a step-up switching regulator.,a step-down switching regulator.,,D,
"<p>In Figure 17-1(a)(see question 6), the purpose of R<sub>1</sub> is to</p>",provide a reference voltage.,limit current through the diode.,limit voltage to the op-amp.,provide output voltage sampling.,,B,
"<p>For a full-wave rectifier with ac ripple at 120 Hz, the impedance of a capacitor can be calculated using X<sub>C</sub> = ________.</p>",0.707 ÷ C,1.414 ÷ C,1.3 ÷ C,0.785 ÷ C,,C,
<p>What is the purpose of an additional RC filter section in a power supply circuit?</p>,Increase the dc voltage component,Increase the ac voltage component,Decrease the ac voltage component,None of the above,,C,
<p>In which period is the capacitor filter charged in a full-wave rectifier?</p>,The time during the positive cycle,The time during which the diodes are not conducting,The time during which the diode(s) is (are) conducting,The time during the negative cycle,,C,
"<p>In this improved series regulator circuit, which of the following components is the sampling circuit? <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq15_02100.gif""/></p></p>",Zener diode,Load resistor,Either of the two transistors Q<sub>1</sub> or Q<sub>2</sub>,Resistors R<sub>1</sub> and R<sub>2</sub>,,D,
"<p>The ________ regulator is less efficient than the ________ type, but offers inherent short-circuit protection.</p>","series, shunt","shunt, series",,,,B,
<p>In which of the following applications is a pulsating dc voltage suitable?</p>,Battery charger,Radio,Stereo system,Computer,,A,
"<p>Refer to the given figure. If the output of the circuit were to be a short circuit, what power rating would R<sub>1</sub> need to have?

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq18_1006_1b.jpeg""/></p>",2.25 W,5 W,10 W,22.5 W,,D,
"<p>Refer to the given figure. This circuit is known as

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq18_1006_1a.jpeg""/></p>",a series-pass voltage regulator.,a shunt voltage regulator.,a step-up switching regulator.,a step-down switching regulator.,,A,
"<p>The purpose of the added RC section is to pass most of the dc component while reducing as much of the ac component as possible. <p> <img src=""/_files/images/electronic-devices-and-circuit-theory/mcq15_01700.gif""/></p></p>",True,False,,,,A,
"<p>In a series regulator, what is the purpose of fold-back limiting?</p>",to provide more current in the case of a short circuit,to limit output voltage if input voltage goes too high,"to bypass the pass-transistor, if the pass-transistor should fail","to provide current up to a maximum, but drop current to a lower value when the output becomes shorted, to prevent overheating of the device",,D,
"<p>Refer to the given figure. The purpose for the zener diode D<sub>1</sub> is

<br/><br/><img src=""/_files/images/electronic-devices-and-circuit-theory/mcq18_1006_1b.jpeg""/></p>",to supply a reference voltage.,to amplify the error signal.,to sense the error signal.,to limit the input voltage to the circuit.,,A,
"<p>In a simple series regulator circuit, which of the following components is the controlling element?</p>",Load resistor,Zener diode,Transistor Q<sub>1</sub>,None of the above,,C,
