question,A,B,C,D,E,answer,explanation
"<p><p>Match the following:</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""matching""><tbody><tr><th width=""5%""> </th><th>List I </th> <th width=""5%""></th><th>List II </th></tr><tr><td>A.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/45-714-1.png""/></td><td>1.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/45-714-5.png""/></td></tr><tr><td>B.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/45-714-2.png""/></td><td>2.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/45-714-6.png""/></td></tr><tr><td>C.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/45-714-3.png""/></td><td>3.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/45-714-7.png""/></td></tr><tr><td>D.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/45-714-4.png""/></td><td>4.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/45-714-8.png""/></td></tr><tr><td> </td><td> </td><td>5.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/45-714-9.png""/></td></tr></tbody></table> <br/></p>","A-2, B-4, C-3, D-5","A-3, B-4, C-2, D-5","A-5, B-2, C-3, D-1","A-3, B-1, C-2, D-4",,B,
"<p><p>Match the following:</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""matching""><tbody><tr><th width=""5%""> </th><th>List I (Location of characteristics roots) </th> <th width=""5%""></th><th>List II (System characteristic)</th></tr><tr><td>A.</td><td>(- 1 + <i>j</i>), (- 1 - <i>j</i>)</td><td>1.</td><td>Marginally stable</td></tr><tr><td>B.</td><td>(- 2 + <i>j</i>), (- 2 - <i>j</i>), (2, <i>j</i>) (- 2, <i>j</i>)</td><td>2.</td><td>Unstable</td></tr><tr><td>C.</td><td>- <i>j</i>, <i>j</i> - 1, 1</td><td>3.</td><td>Stable</td></tr></tbody></table> <br/></p>","A-1, B-2, C-3","A-2, B-3, C-1","A-3, B-1, C-2","A-1, B-3, C-2",,C,
"<p><p>Match the following:</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""matching""><tbody><tr><th width=""5%""> </th><th>List I </th> <th width=""5%""></th><th>List II </th></tr><tr><td>A.</td><td>Multiplexer</td><td>1.</td><td>Sequential memory</td></tr><tr><td>B.</td><td>De-multiplexer</td><td>2.</td><td>Converts decimal number to binary</td></tr><tr><td>C.</td><td>Shift register</td><td>3.</td><td>Data selector</td></tr><tr><td>D.</td><td>Encoder</td><td>4.</td><td>Routes single input to many outputs</td></tr></tbody></table> <br/></p>","A-3, B-4, C-1, D-2","A-4, B-3, C-1, D-2","A-3, B-4, C-2, D-1","A-1, B-2, C-3, D-4",,A,
"<p><p>Match the following:</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""matching""><tbody><tr><th width=""5%""> </th><th>List I </th> <th width=""5%""></th><th>List II </th></tr><tr><td>A.</td><td>FM</td><td>1.</td><td>slope-overload</td></tr><tr><td>B.</td><td>DM</td><td>2.</td><td>μ law</td></tr><tr><td>C.</td><td>PSK</td><td>3.</td><td>Envelope detector</td></tr><tr><td>D.</td><td>PCM</td><td>4.</td><td>Capture effect</td></tr><tr><td> </td><td> </td><td>5.</td><td>Hilbert transform</td></tr><tr><td> </td><td> </td><td>6.</td><td>Matched filter.</td></tr></tbody></table> <br/></p>","A-5, B-1, C-6, D-4","A-4, B-6, C-1, D-5","A-4, B-1, C-6, D-2","A-6, B-3, C-4, D-2",,C,
"<p><p>Match the following:</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""matching""><tbody><tr><th width=""5%""> </th><th>List I </th> <th width=""5%""></th><th>List II </th></tr><tr><td>A.</td><td>SUS</td><td>1.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/25-346-1.png""/></td></tr><tr><td>B.</td><td>SBS</td><td>2.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/25-346-2.png""/></td></tr><tr><td>C.</td><td>SCS</td><td>3.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/25-346-3.png""/></td></tr><tr><td>D.</td><td>Shockley diode</td><td>4.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/25-346-4.png""/></td></tr></tbody></table> <br/></p>","A-1, B-2, C-3, D-4","A-1, B-3, C-4, D-2","A-4, B-2, C-3, D-1","A-1, B-2, C-4, D-3",,D,
"<p><p>Match the following:</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""matching""><tbody><tr><th width=""5%""> </th><th>List I (Logic) </th> <th width=""5%""></th><th>List II (Characteristic) </th></tr><tr><td>A.</td><td>RTL</td><td>1.</td><td>High fan out</td></tr><tr><td>B.</td><td>CMOS</td><td>2.</td><td>Highest speed of operation</td></tr><tr><td>C.</td><td>I<sup>2</sup>L</td><td>3.</td><td>High noise immunity</td></tr><tr><td>D.</td><td>ECL</td><td>4.</td><td>Lowest product of power and delay</td></tr></tbody></table> <br/></p>","A-4, B-3, C-2, D-1","A-4, B-3, C-2, D-3","A-3, B-1, C-4, D-2","A-3, B-4, C-1, D-2",,C,
"<p><p>Match the following:</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""matching""><tbody><tr><th width=""5%""> </th><th>List I (Amplifier coupling) </th> <th width=""5%""></th><th>List II (Feature) </th></tr><tr><td>A.</td><td>RC</td><td>1.</td><td>High voltage gain and impedance matching</td></tr><tr><td>B.</td><td>Inductive</td><td>2.</td><td>Ability to amplify dc and low frequency signals</td></tr><tr><td>C.</td><td>Transformer</td><td>3.</td><td>Minimum non-linear distortion</td></tr><tr><td>D.</td><td>Direct</td><td>4.</td><td>Low collector supply voltage can be used</td></tr></tbody></table> <br/></p>","A-4, B-1, C-3, D-2","A-3, B-4, C-1, D-2","A-1, B-2, C-3, D-4","A-4, B-3, C-2, D-1",,B,
"<p><p>Match the following:</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""matching""><tbody><tr><th width=""5%""> </th><th>List I (Operator) </th> <th width=""5%""></th><th>List II (Description) </th></tr><tr><td>A.</td><td>&amp; &amp;</td><td>1.</td><td>Bitwise inclusive OR</td></tr><tr><td>B.</td><td>&amp;</td><td>2.</td><td>Bitwise AND</td></tr><tr><td>C.</td><td>| |</td><td>3.</td><td>Logical AND</td></tr><tr><td>D.</td><td>|</td><td>4.</td><td>Logical OR</td></tr></tbody></table> <br/></p>","A-1, B-2, C-3, D-4","A-3, B-2, C-4, D-1","A-2, B-3, C-1, D-4","A-1, B-4, C-2, D-3",,B,
"<p><p>Match the following:</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""matching""><tbody><tr><th width=""5%""> </th><th>List I </th> <th width=""5%""></th><th>List II </th></tr><tr><td>A.</td><td>Ampere's Law</td><td>1.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/01-7-1.png""/></td></tr><tr><td>B.</td><td>Faraday's Law</td><td>2.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/01-7-2.png""/></td></tr><tr><td>C.</td><td>Gauss's Law</td><td>3.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/01-7-3.png""/></td></tr><tr><td>D.</td><td>Free Space</td><td>4.</td><td><img src=""/_files/images/electronics-and-communication-engineering/matching-questions/01-7-4.png""/></td></tr></tbody></table> <br/></p>","A-1, B-4, C-2, D-3","A-2, B-4, C-3, D-1","A-3, B-1, C-2, D-4","A-4, B-3, C-2, D-1",,D,
"<p><p>Match the following:</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""matching""><tbody><tr><th width=""5%""> </th><th>List I </th> <th width=""5%""></th><th>List II </th></tr><tr><td>A.</td><td>bit</td><td>1.</td><td>10</td></tr><tr><td>B.</td><td>nat</td><td>2.</td><td><i>e</i></td></tr><tr><td>C.</td><td>decit</td><td>3.</td><td>2</td></tr></tbody></table> <br/></p>","A-1, B-2, C-3","A-1, B-3, C-2","A-3, B-2, C-1","A-2, B-3, C-1",,C,
