question,A,B,C,D,E,answer,explanation
<p>Which of the following amplifier circuits has highest input impedance?</p>,Circuit using BJT,Circuit using JFET,Circuit using MOSFET,Either (a) or (b),,C,
<p>Which of the following device acts as an N-P-N and a P-N-P transistor connected base to base and emitter to controller?</p>,UJT,SCR,Diac,Triac,,B,
<p>A differentiating amplifier has capacitor in the input path.</p>,True,False,,,,A,
<p>Which of the following statement about TRIAC is incorrect?</p>,It is not particularly suited to A.C. or mains power control,Any one of its main terminals can be used either as cathode or as anode,It can be triggered in response to both positive and negative gate terminals,None of the above,,A,
<p>A half wave diode rectifier and full wave diode bridge rectifier both have an input frequency of 50 Hz. The frequencies of outputs respectively are</p>,100 Hz and 50 Hz,50 Hz and 100 Hz,100 Hz each,50 Hz each,,B,
<p>Tuned amplifiers are used at radio frequencies.</p>,True,False,,,,A,
<p>The knee voltages in silicon and germanium diodes respectively are</p>,0.3 V and 0.7 V,0.7 V and 0.3 V,0.7 V each,0.3 V each,,B,
"<p>In calculating input impedance, the load impedance is considered to be connected at the output.</p>",True,False,,,,A,
<p>In a transistor β<sub><i>dc</i></sub> is likely to vary between 100 and 400. The proper value of β<sub><i>dc</i></sub> to be used to located Q point is</p>,100,400,250,200,,D,
<p>Which of the following noise becomes of great importance at high frequencies?</p>,Shot noise,Agitation noise,Flicker noise,Transit time noise,,D,
<p><p><b>Assertion (A):</b>  The duty cycle of a class C amplifier affects the power dissipation of transistor</p><p><b>Reason (R):</b>  At higher harmonics the efficiency of a class C amplifier becomes poor</p></p>,Both A and R are correct and R is correct explanation for A,Both A and R are correct but R is not correct explanation for A,A is correct R is wrong,A is wrong R is correct,,B,
"<p>If the op-amp in figure has a unity gain frequency of 1 MHz, the cut off frequency is<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/315-203-1.png""/></p>",100 kHz,1 MHz,10 MHz,90 MHz,,A,
<p>In a self bias circuit for CE amplifier the collector supply voltage is made twice. The collector current will</p>,decrease,increase,remain the same,increase or decrease,,B,
"<p>In a full wave voltage doubler circuit, the input frequency is 560 Hz. The ripple frequency is</p>",25 Hz,50 Hz,100 Hz,200 Hz,,C,
<p><p><b>Assertion (A):</b>  A tuned amplifier uses a parallel tuned circuit</p><p><b>Reason (R):</b>  A tuned amplifier is used to amplify a narrowband frequencies</p></p>,Both A and R are correct and R is correct explanation for A,Both A and R are correct but R is not correct explanation for A,A is correct R is wrong,A is wrong R is correct,,A,
<p>The ac collector current is nearly equal to</p>,ac base current,ac signal current,ac supply current,ac emitter current,,D,
"<p>From a measurement of the rise time of the output pulse of an amplifier whose input is a small amplitude square wave, one can estimate the following parameter of the amplifier</p>",gain bandwidth product,slew rate,upper 3 dB frequency,lower 3 dB frequency,,C,
"<p>In an amplifier, if the output current flows for 120° of the input cycle, the class of amplifier will be</p>",A,B,C,AB,,C,
<p><p><b>Assertion (A):</b>  If we overdrive an amplifier the output signal may get clipped</p><p><b>Reason (R):</b>  To dissipate heat to atmosphere a heat sink is sometimes attached to the case of transistor</p></p>,Both A and R are correct and R is correct explanation for A,Both A and R are correct but R is not correct explanation for A,A is correct R is wrong,A is wrong R is correct,,B,
