question,A,B,C,D,E,answer,explanation
"<p>Consider the following systems<br/>System I, <img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/19-142-1.png""/><br/>System II, <img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/19-142-2.png""/><br/>where C(<i>s</i>) is the output and R(<i>s</i>) is the input of these systems</p>",System I has larger bandwidth and faster speed of response than System II,System II has larger bandwidth and faster speed of response than System I,System I has larger bandwidth but System II has faster speed of response,System II has larger bandwidth but System I has faster speed of response,,A,
<p>Nyquist stability criterion is based on a theorem from the theory of complex variables.</p>,True,False,,,,A,
"<p>For the function G(<i>s</i>) H(<i>s</i>) = <img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/22-183.png""/> the phase cross-over frequency is</p>",0.5 rad/sec,0.707 rad/sec,1.732 rad/sec,2 rad/sec,,B,
"<p>While forming Routh's array, the situation of a row of zeros indicates that the system</p>",has symmetrically located roots,is not sensitive to variations in gain,is stable,is unstable,,A,
<p><p><b>Assertion (A):</b>  In liquid system the ratio of change in liquid level to change in flow rate is called resistance of liquid flow.</p><p><b>Reason (R):</b> In liquid level systems the ratio of change in liquid stored in a tank to the change in head is called capacitance of tank.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,R is correct but A is wrong,,B,
<p>The frequency at which phase angle is 180° is called</p>,phase crossover frequency,stability limit frequency,frequency of limited stability,gain margin frequency,,A,
"<p>In a mechanical accelerometer, the steady state displacement is a measure of</p>",constant input acceleration,constant input velocity,either (a) or (b),neither (a) nor (b),,A,
"<p>A unity feedback system has <img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/24-213.png""/> . If input <i>r</i>(<i>t</i>) = 1 + 2<i>t</i> + <img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/24-213-1.png""/> <i>t</i><sup>3</sup>, the steady error is</p>",zero,0.4,4,infinity,,D,
"<p><p><b>Assertion (A):</b>  The root locus of a control system is symmetrical about real axis.</p><p><b>Reason (R):</b> For all polynomials with real coefficients, complex poles always occur in conjugate pairs.</p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,R is correct but A is wrong,,A,
<p>In log magnitude Bode diagram the slope of high frequency asymptote of (1 + <i>j</i>ωT) is</p>,20 dB per decade,10 dB per decade,20 dB per octave,10 dB per octave,,A,
"<p>A compensator has its pole and zero as shown in the given figure<br/><img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/12-35.png""/></p>",lag compensator,lead compensator,lead-lag compensator,series compensator,,B,
<p>For a stable system having two or more gain crossover frequencies the phase margin is measured</p>,at lowest gain crossover frequency,at highest gain crossover frequency,at the gain crossover frequencies,none of the above,,B,
"<p>In a second order system, peak overshoot is independent of</p>",damping factor,natural frequency,both damping factor and natural frequency,neither damping factor nor natural frequency,,B,
<p>Nyquist plot provides information about absolute stability as well as relative stability.</p>,True,False,,,,A,
<p>Power handling capacity of wire wound potentiometer used in control systems is about</p>,0.1 W,5 W,25 W,100 W,,B,
"<p>The Nyquist plot in the given figure is for G(<i>s</i>) H(<i>s</i>) = <br/><img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/36-393.png""/></p>","<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/36-393-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/36-393-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/36-393-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/automatic-control-systems/36-393-4.png""/>",,C,
