question,A,B,C,D,E,answer,explanation
<p>At room temperature the current in an intrinsic semiconductor is due to</p>,holes,electrons,ions,holes and electrons,,D, <p>Intrinsic material has equal number of holes and electrons.</p> 
<p>Work function is the maximum energy required by the fastest electron at 0 K to escape from the metal surface.</p>,True,False,,,,B, <p>Work function is the minimum energy required by the fastest electron at 0 K to escape from the metal surface.</p> 
<p>The most commonly used semiconductor material is</p>,silicon,germanium,mixture of silicon and germanium,none of the above,,A, <p>Germanium is rarely used.</p> 
<p>In which of these is reverse recovery time nearly zero?</p>,Zener diode,Tunnel diode,Schottky diode,PIN diode,,C, <p>In schottky diode there is no charge storage and hence almost zero reverse recovery time.</p> 
<p>A transistor has a current gain of 0.99 in the CB mode. Its current gain in the CC mode is</p>,100,99,1.01,0.99,,A," <p><img src=""/_files/images/electronics-and-communication-engineering/electronic-devices-and-circuits/76-456-1.png""/> Current gain = 1 + β = 100.</p> "
<p>In <i>p</i>-<i>n</i>-<i>p</i> transistor the current I<sub>E</sub> has two components viz. I<sub>EP</sub> due to injection of holes from <i>p</i>-region to <i>n</i>-region and I<sub>E</sub> due to injection of electrons from <i>n</i>-region to <i>p</i>-region. Then</p>,I<sub>E<i>p</i></sub> and I<sub>E<i>n</i></sub> are almost equal,I<sub>E<i>p</i></sub> &gt;&gt; I<sub>E<i>n</i></sub>,I<sub>E<i>n</i></sub> &gt;&gt; I<sub>E<i>p</i></sub>,either (a) or (c),,B," <p>Emitter is <i>p</i>-type in <i>p</i>-<i>n</i>-<i>p</i> transistor. 
</p>
<p>Therefore holes are majority carriers.</p> "
"<p>In an <i>n</i> channel JFET, the gate is</p>",<i>n</i> type,<i>p</i> type,either <i>n</i> or <i>p</i>,partially <i>n</i> &amp; partially <i>p</i>,,B, <p>Since channel is <i>n</i> type gate must be <i>p</i> type.</p> 
<p>The amount of photoelectric emission current depends on</p>,frequency of incident radiation,intensity of incident radiation,both frequency and intensity of incident radiation,none of the above,,B, <p>Only the intensity of incident radiation governs the amount of photoelectric emission.</p> 
"<p><p><b>Assertion (A):</b>  A <i>p</i>-<i>n</i> junction has high resistance in reverse direction.
</p><p><b>Reason (R):</b>  When a reverse bias is applied to <i>p</i>-<i>n</i> junction, the width of depletion layer increases.
</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not a correct explanation of A,A is true but R is false,A is false but R is true,,A, <p>The increase in reverse resistance is due to widening of depletion layer.</p> 
"<p>In the circuit of figure the function of resistor R and diode D are <br/><img src=""/_files/images/electronics-and-communication-engineering/electronic-devices-and-circuits/47-256-1.png""/></p>",to limit the current and to protect LED against over voltage,to limit the voltage and to protect LED against over current,to limit the current and protect LED against reverse breakdown voltage.,none of the above.,,C, <p>Resistance limits current and diode is reverse connected and therefore protects LED against reverse breakdown.</p> 
<p>At very high temperatures the extrinsic semi conductors become intrinsic because</p>,drive in diffusion of dopants and carriers,band to band transition dominants over impurity ionization,impurity ionization dominants over band to band transition,band to band transition is balanced by impurity ionization,,B, <p>Covalent bonds are broken.</p> 
<p>When a voltage is applied to a semiconductor crystal then the free electrons will flow.</p>,towards positive terminal,towards negative terminal,either towards positive terminal or negative terminal,towards positive terminal for 1 μs and towards negative terminal for next 1 μs,,A, <p>Since electrons are negatively charged they will flow towards positive terminal.</p> 
