question,A,B,C,D,E,answer,explanation
"<p><p><b>Assertion (A):</b>  If the resistance of shunt of an ammeter is increased, the range of ammeter is reduced.</p><p><b>Reason (R):</b>  If the series resistance of a voltmeter is increased, the range of voltmeter is increased.</p></p>",Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true R is false,A is false R is true,,B,
<p>Two sinusoidal signals of equal amplitude and frequency are applied to X and Y plate of CRO respectively. The observed Lissajous pattern is a straight line. The phase shift between signals is</p>,zero,90°,either zero or 180°,either 90° or 270°,,C,
<p>The scale of a dynamometer is linear when used as</p>,ammeter,voltmeter,wattmeter,both (a) and (c),,C,
<p>Three phase four wire induction energy meter is used to measure</p>,energy in 3 phase balanced star load,energy in 3 phase balanced delta load,energy in 3 phase unbalanced load,either (a) or (b),,C,
<p>Thermistors are made of</p>,pure metals,pure insulators,tintered mixture of metallic oxides,pure semiconductors,,C,
<p>An induction wattmeter can be used for ac only.</p>,True,False,,,,A,
<p>To measure a resistance of about 8 ohms we should use</p>,Kelvin's double bridge,Wheatstone bridge,Meggar,Either (b) or (c),,B,
"<p>For measuring temperatures below 800°C with high accuracy, the best instrument is</p>",optical pyrometer,thermistor based thermometer,GaAs junction diode thermometer,platinum resistance thermometer,,D,
<p>Panel instruments are generally mounted vertically.</p>,True,False,,,,A,
<p><p><b>Assertion (A):</b>  Many instruments use eddy current damping.</p><p><b>Reason (R):</b>  Eddy currents set up a magnetic flux which opposes the original movement which generates them.</p></p>,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true R is false,A is false R is true,,A,
<p>The torque in induction wattmeters due to</p>,capacitive current,electrostatic effect,hall effect,eddy currents,,D, <p>Eddy currents are induced in the disc.</p> 
"<p>During testing of an energy meter, the energy recorded by meter was 0.05 kWh and correct energy was found to be 0.09 kWh. The error and correction respectively are</p>",-0.01 kWh and 0.01 kWh,0.01 kWh and -0.01 kWh,-0.01 kWh and ± 0.01 kWh,± 0.01 kWh and 0.01 kWh,,A,
