question,A,B,C,D,E,answer,explanation
<p>The velocity factor of a transmission line depends on</p>,temperature,skin effect,relative permittivity of dielectric,none of the above,,C, <p>∈<i><sub>r</sub></i> of a dielectric changes with humidity.</p> 
<p>A loss less line of characteristic impedance Z<sub>0</sub> is terminated in pure reactance of -<i>j</i><i>Z</i><sub>0</sub> value. VSWR is</p>,10,2,1,infinity,,D," <p>A pure reactance does not absorb any power.</p>
<p>Therefore VSWR is infinite because |<span class=""symbol"">r</span><i><sub>v</sub></i>| = 1.</p> "
<p>In a klystron amplifier the input cavity is called</p>,buncher,catcher,Pierce gun,collector,,A," <p>A Klystron is a vacuum tube used for generation/amplification of microwaves. </p>
<p>An electron beam is produced by oxide coated indirectly heated cathode and is focussed and accelerated by focussing electrode. </p>
<p>This beam is transmitted through a glass tube. The input cavity where the beam enters the glass tube is called buncher. </p>
<p>As electrons move ahead they see an accelerating field for half cycle and retarding field for the other half cycle. </p>
<p>Therefore, some electrons are accelerated and some are retarded. This process is called velocity modulation. </p>
<p>The velocity modulation causes bunching of electrons. This bunching effect converts velocity modulation into density modulation of beam. </p>
<p>The input is fed at buncher cavity and output is taken at catcher cavity. </p>
<p>In a two cavity klystron only buncher and catcher cavity are used. In multi cavity klystron one or more intermediate cavities are also used. </p>
<p>The features of a multicavity klystron are :</p>
<p>1. Frequency range - 0.25 GHz to 100 GHz</p>
<p>2. Power output - 10 kW to several hundred kW</p>
<p>3. Power gain - 60 dB (nominal value)</p>
<p>4. Efficiency - about 40%.</p>
<p>A multicavity klystron is used in UHF TV transmitters, Radar transmitter and satellite communication.</p> "
<p>In a circular waveguide the dominant mode is</p>,TE<sub>01</sub>,TE<sub>11</sub>,TE<sub>20</sub>,TE<sub>21</sub>,,B," <p>Some applications require dual polarization capability. Circular waveguide has this capability. </p>
<p>These analysis uses cylindrical coordinates. </p>
<p>In circular waveguide TE<sub>11</sub> mode has the lowest cut off frequency and is the dominant mode. </p>
<p>If D is diameter of waveguide</p>
<p>λ<i><sub>c</sub></i> = 1.706 D for TE<sub>11</sub> mode</p>
<p>λ<i><sub>c</sub></i> = 1.029 D for TE<sub>21</sub> mode</p>
<p>λ<i><sub>c</sub></i> = 0.82 D for TE<sub>01</sub> mode</p>
<p>λ<i><sub>c</sub></i> = 1.306 D for TM<sub>01</sub> mode.</p> "
<p>The reflection coefficient on a line is 0.2 ∠45°. The SWR is</p>,0.8,1.1,1.2,1.5,,D," <p><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/28-149.png""/></p> "
<p>Microwave resonators are used in</p>,microwave oscillators,microwave narrow band amplifier,microwave frequency metres,all of the above,,D, <p>They are used in all the devices.</p> 
<p><p><b>Assertion (A):</b>  TWT uses a focussing mechanism to prevent the electron beam from spreading.</p><p><b>Reason (R):</b> In a TWT the electron beam has to travel a much longer distance than in klystron.</p></p>,Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,A," <p>In a klystron the resonant structure limits the bandwidth. </p>
<p>A TWT is a broadband device. Its main components are electron gun (to produce the electron beam) and a structure supporting the slow electromagnetic wave. </p>
<p>The velocity of wave propagation along the helix structure is less than velocity of light. </p>
<p>The beam and wave travel along the structure at the same speed. </p>
<p>Thus interaction occurs between beam and wave and the beam delivers energy to the RF wave. </p>
<p>Therefore the signal gets strengthened and amplified output is delivered at the other end of tube. </p>
<p>The main features of TWT are :</p>
<p>1. Frequency range - 0.5 GHz to 90 GHz</p>
<p>2. Power output - 5 mW at low frequencies(less than 20 GHz) 250 kW (continuous wave) at 3 GHz 10 MW (pulsed) at 3 GHz</p>
<p>3. Efficiency - about 5 to 20%</p>
<p>4. Noise - about 5 dB for low power TWT 25 dB for high power TWT </p>
<p>TWT is used as RF amplifier in broadband microwave receivers, repeater amplifier in broad band communication systems, communication satellites etc.</p> "
<p>In a TWT the amplitude of resultant wave travelling down the helix</p>,increases exponentially,increases linearly,decreases exponentially,is almost constant,,A," <p>In a klystron the resonant structure limits the bandwidth. </p>
<p>A TWT is a broadband device. Its main components are electron gun (to produce the electron beam) and a structure supporting the slow electromagnetic wave. </p>
<p>The velocity of wave propagation along the helix structure is less than velocity of light. </p>
<p>The beam and wave travel along the structure at the same speed. </p>
<p>Thus interaction occurs between beam and wave and the beam delivers energy to the RF wave. </p>
<p>Therefore the signal gets strengthened and amplified output is delivered at the other end of tube. </p>
<p>The main features of TWT are :</p>
<p>1. Frequency range - 0.5 GHz to 90 GHz</p>
<p>2. Power output - 5 mW at low frequencies(less than 20 GHz) 250 kW (continuous wave) at 3 GHz 10 MW (pulsed) at 3 GHz</p>
<p>3. Efficiency - about 5 to 20%</p>
<p>4. Noise - about 5 dB for low power TWT 25 dB for high power TWT </p>
<p>TWT is used as RF amplifier in broadband microwave receivers, repeater amplifier in broad band communication systems, communication satellites etc.</p> "
<p>Which of the following is not a travelling wave?</p>,<i>e</i> = E<i><sub>m</sub></i> sin (β<i>x</i> - ω<i>t</i>),<i>e</i> = E<i><sub>m</sub></i> cos (β<i>x</i> - ω<i>t</i>),<i>e</i> = E<i><sub>m</sub></i> sin (ω<i>t</i> - β<i>x</i>),<i>e</i> = E<i><sub>m</sub></i> sin (β<i>x</i>),,D, <p>In a travelling wave both <i>x</i> and <i>t</i> increase simultaneously so that a constant phase point moves in the direction of positive (or negative) <i>x</i>.</p> 
<p>Both Impatt and Trapatt devices use avalanche effect</p>,True,False,,,,A," <p>An Impatt diode has <i>n</i><sup>+</sup> - <i>p</i> - <i>i</i> - <i>p</i> <sup>+</sup> structure and is used with reverse bias. </p>
<p>It exhibits negative resistance and operates on the principle of avalanche breakdown. </p>
<p>Impatt diode circuits are classified as broadly tunable circuit, low Q circuit and high Q circuit. </p>
<p>The impedance of Impatt diode is a few ohms. The word Impatt stands for Impact Avalanche Transit Time diode. </p>
<p>The features of Impatt diode oscillator are : frequency 1 to 300 GHz, Power output (0.5 W to 5 W for single diode circuit and upto 40 W for combination of several diodes), efficiency about 20%. </p>
<p>Its applications include police radar systems, low power microwave transmitter etc.</p>
<p>Avalanche diode can also be operated in large signal high efficiency mode called Trapped Avalanche Transit Time mode. </p>
<p>The Trapatt oscillations depend on the delay in the current caused by avalanche process. </p>
<p>The avalanche delay makes it possible to increase the diode voltage well above the breakdown voltage. </p>
<p>Therefore a very rapid multiplication of charge carriers occurs. A Trapatt diode is also a negative resistance device. </p>
<p>The features of Trapatt diode oscillator are : Frequency 3 to 50 GHz, Power output 1-3 W, efficiency about 25%. </p>
<p>Its applications are low power doppler radar, microwave beacon landing system etc.</p> "
