question,A,B,C,D,E,answer,explanation
<p>A magnetic circuit has an iron length of 20 cm and air gap length 0.1 cm. If μ<sub><i>r</i></sub> = 200 then</p>,mmf for iron and air gap are equal,mmf for iron is much less than that for air gap,mmf for iron is much more than that for air gap,either (a) or (c),,A," <p><img src=""/_files/images/electronics-and-communication-engineering/networks-analysis-and-synthesis/166-632-1.png""/></p>
<p><img src=""/_files/images/electronics-and-communication-engineering/networks-analysis-and-synthesis/166-632-2.png""/></p> "
"<p>A circuit is fed by two sources of the same frequency and values 100 ∠0° V and 20 ∠30°V. The current in a particular branch is 5 ∠19° A. If the magnitudes of the sources and changed to 200 ∠0° V and 40 ∠30° V, the current in that branch should be</p>",5 ∠19° A,10 ∠19° A,10 ∠38° A,10 ∠9.5° A,,B," <p>Since strengths of both sources are doubled, the current would become twice.</p> "
"<p>Two coils X and Y have self inductances of 5 mH and 10 mH and mutual inductance of 3 mH. If the current in coils X change at a steady rate of 100 A/s, the emf induced in coil Y is</p>",0.3 V,0.5 V,1 V,1.5 V,,A," <p><img src=""/_files/images/electronics-and-communication-engineering/networks-analysis-and-synthesis/160-144-1.png""/></p> "
"<p>Two capacitors of 2 μF and 4 μF capacitance are connected in series across a 30 V dc battery. After the capacitors have been charged, the voltage across them will be</p>",15 V each,10 V and 20 V,20 V and 10 V,30 V each,,C, <p>Charge will be the same. Since Q = C V voltage will be inversely proportional to Q. Hence 20 V and 10 V.</p> 
<p>A 50 Hz current has an amplitude of 10 A. The rate of change of current at <i>t</i> = 0.005 after <i>i</i> = 0 and is increasing is</p>,2221.44 A/s,0,- 2221.44 A/s,- 3141.6 A/s,,B," <p><i>i</i> = 10 sin 314.16 <i>t</i>, <img src=""/_files/images/electronics-and-communication-engineering/networks-analysis-and-synthesis/162-364-1.png""/> At <i>t</i> = 0.005, <i>i</i> = 314.16 cos (314.16 x .005) = 0.</p> "
"<p>In the circuit shown in the figure, the current supplied by the sinusoidal current source I is<br/><img src=""/_files/images/electronics-and-communication-engineering/networks-analysis-and-synthesis/144-1001-1.png""/></p>",28 A,4 A,20 A,not determinable from the data given,,C," <p>I = <span class=""root"">(12)<sup>2</sup> + (16)<sup>2</sup></span> = 20 A.</p> "
"<p>The frame of an electric motor is earthed through three earthing plates resistances 30 Ω, 20 Ω and 10 Ω respectively. During fault the energy dissipated by three plates are W<sub>1</sub>, W<sub>2</sub> and W<sub>3</sub>. Then</p>",W<sub>1</sub> &gt; W<sub>2</sub> &gt; W<sub>3</sub>,W<sub>1</sub> &lt; W<sub>2</sub> &lt; W<sub>3</sub>,W<sub>1</sub> = W<sub>2</sub> = W<sub>3</sub>,W<sub>1</sub> + W<sub>3</sub> &lt; W<sub>2</sub>,,B, <p>Energy dissipated by the plate with lowest resistance is maximum.</p> 
"<p>If figure, power dissipated in 30Ω resistance will be maximum when value of R =<br/><img src=""/_files/images/electronics-and-communication-engineering/networks-analysis-and-synthesis/115-602-1.png""/></p>",30 Ω,16 Ω,9 Ω,zero,,C," <p>When R = 0, circuit current = <img src=""/_files/images/electronics-and-communication-engineering/networks-analysis-and-synthesis/165-602-1.png""/> and power dissipated = <img src=""/_files/images/electronics-and-communication-engineering/networks-analysis-and-synthesis/165-602-2.png""/> watts, which is the maximum possible value.</p> "
"<p>In the following non-planar graph no.of independent loop equations are<br/><img src=""/_files/images/electronics-and-communication-engineering/networks-analysis-and-synthesis/135-884-1.png""/></p>",8,12,7,5,,D, <p>L = B - N + 1 = 12 - 8 + 1 = 5.</p> 
<p>Two voltages are 50 ∠0 V and 75 ∠ - 60° V. The sum of these voltages is</p>,109 ∠ - 60° V,109 ∠ - 25° V,109 ∠ - 36.6° V,100 ∠ - 50.1° V,,C," <p>50Ð0 = 50 + <i>j</i> 0.75∠-60° = 37.5 - <i>j</i> 64.95</p>
<p>Sum = (50 + 37.5) - <i>j</i> 64.95 = 87.5 - <i>j</i> 64.95 = 109∠-36.6°</p> "
